*ITEM#,SUBANS,CORANS,ISCORR,ACTANS,SGRP,SEED,RTIME
1001,5,5,1,6,A,276,1838.06
1002,4,3,0,3,A,276,3753.81
1003,2,1,0,0,A,276,1671.50
1004,5,4,0,5,A,276,1618.36
1005,6,4,0,5,A,276,2997.47
1006,5,4,0,5,A,276,718.16
1007,4,4,1,5,A,276,844.69
1008,1,1,1,0,A,276,979.56
1009,7,7,1,9,A,276,764.88
1010,2,3,0,3,A,276,2003.43
1011,3,3,1,3,A,276,1013.89
1012,1,1,1,0,A,276,1105.40
1013,2,2,1,2,A,276,898.67
1014,3,3,1,3,A,276,850.92
1015,2,2,1,2,A,276,743.35
1016,7,7,1,9,A,276,667.53
1017,1,1,1,0,A,276,614.39
1018,6,5,0,6,A,276,1407.90
1019,7,7,1,9,A,276,536.55
1020,1,1,1,0,A,276,1114.54
1021,5,4,0,5,A,276,1196.34
1022,1,1,1,0,A,276,1013.56
1023,1,1,1,0,A,276,639.89
1024,7,7,1,9,A,276,546.24
1025,2,2,1,2,A,276,1141.22
1026,3,3,1,3,A,276,857.37
1027,4,4,1,5,A,276,816.95
1028,3,2,0,2,A,276,1219.78
1029,7,6,0,8,A,276,976.71
1030,6,6,1,8,A,276,712.60
1031,6,5,0,6,A,268,676.90
1032,6,6,1,8,A,268,728.05
1033,1,1,1,0,A,268,694.96
1034,6,6,1,8,A,268,1796.62
1035,5,4,0,5,A,268,699.57
1036,6,6,1,8,A,268,688.59
1037,4,5,0,6,A,268,744.83
1038,1,1,1,0,A,268,732.24
1039,6,7,0,9,A,268,726.84
1040,3,3,1,3,A,268,1065.18
1041,2,2,1,2,A,268,641.84
1042,3,3,1,3,A,268,1071.03
1043,1,1,1,0,A,268,717.78
1044,7,7,1,9,A,268,708.20
1045,5,5,1,6,A,268,1241.60
1046,7,7,1,9,A,268,629.91
1047,2,2,1,2,A,268,1508.50
1048,4,4,1,5,A,268,1229.12
1049,2,2,1,2,A,268,826.24
1050,5,5,1,6,A,268,806.31
1051,2,2,1,2,A,268,1566.34
1052,3,3,1,3,A,268,882.99
1053,4,3,0,3,A,268,844.03
1054,4,4,1,5,A,268,626.55
1055,2,2,1,2,A,268,855.37
1056,2,2,1,2,A,268,600.09
1057,2,2,1,2,A,268,564.92
1058,7,6,0,8,A,268,779.81
1059,7,7,1,9,A,268,594.50
1060,5,5,1,6,A,268,813.22
*
1061,5,5,1,6,A,268,989.87
1062,1,1,1,0,A,268,744.90
1063,3,3,1,3,A,268,734.15
1064,3,3,1,3,A,268,971.10
1065,7,7,1,9,A,268,672.23
1066,7,7,1,9,A,268,606.43
1067,5,5,1,6,A,268,1152.33
1068,2,2,1,2,A,268,1009.79
1069,5,5,1,6,A,268,890.86
1070,1,1,1,0,A,268,632.82
1071,1,1,1,0,A,268,565.69
1072,2,2,1,2,A,268,559.28
1073,4,4,1,5,A,268,1915.32
1074,7,6,0,8,A,268,1265.94
1075,3,3,1,3,A,268,1131.87
1076,6,6,1,8,A,268,1084.99
1077,1,1,1,0,A,268,688.71
1078,2,2,1,2,A,268,645.00
1079,4,4,1,5,A,268,1947.44
1080,1,1,1,0,A,268,571.90
1081,6,7,0,9,A,268,1954.82
1082,5,5,1,6,A,268,921.09
1083,5,5,1,6,A,268,766.48
1084,5,5,1,6,A,268,648.90
1085,1,1,1,0,A,268,1104.43
1086,7,7,1,9,A,268,647.24
1087,1,1,1,0,A,268,1194.68
1088,6,6,1,8,A,268,830.96
1089,7,7,1,9,A,268,795.55
1090,5,5,1,6,A,268,761.54
1091,1,1,1,0,B,273,887.93
1092,1,2,0,1,B,273,523.01
1093,5,6,0,7,B,273,960.28
1094,1,1,1,0,B,273,654.59
1095,4,4,1,4,B,273,1288.28
1096,7,7,1,9,B,273,617.35
1097,1,1,1,0,B,273,748.31
1098,2,2,1,1,B,273,801.72
1099,3,3,1,3,B,273,932.56
1100,4,4,1,4,B,273,689.55
1101,6,5,0,6,B,273,820.68
1102,5,4,0,4,B,273,1100.86
1103,1,1,1,0,B,273,750.03
1104,7,7,1,9,B,273,590.35
1105,4,4,1,4,B,273,2170.67
1106,6,6,1,7,B,273,2942.84
1107,7,7,1,9,B,273,581.88
1108,5,5,1,6,B,273,1118.01
1109,5,5,1,6,B,273,991.24
1110,7,7,1,9,B,273,664.06
1111,7,7,1,9,B,273,542.33
1112,7,6,0,7,B,273,1009.70
1113,5,5,1,6,B,273,994.60
1114,3,3,1,3,B,273,1588.43
1115,1,1,1,0,B,273,700.75
1116,1,2,0,1,B,273,1148.07
1117,2,3,0,3,B,273,592.12
1118,7,7,1,9,B,273,701.72
1119,4,4,1,4,B,273,1204.72
1120,6,6,1,7,B,273,1037.35
*
1121,3,4,0,4,B,273,1522.96
1122,7,7,1,9,B,273,677.86
1123,2,2,1,1,B,273,1044.14
1124,5,6,0,7,B,273,894.51
1125,1,1,1,0,B,273,823.22
1126,5,5,1,6,B,273,1153.44
1127,1,1,1,0,B,273,759.10
1128,2,2,1,1,B,273,637.99
1129,2,2,1,1,B,273,654.67
1130,5,5,1,6,B,273,811.05
1131,5,5,1,6,B,273,550.92
