*BaseSeed:2000,Group:0
*CHUNK,SEED:2001,GROUP:A
1001,7,6
1002,5,4
1003,1,0
1004,7,6
1005,3,2
1006,7,6
1007,7,6
1008,2,1
1009,2,1
1010,1,0
1011,5,4
1012,1,0
1013,5,4
1014,6,5
1015,3,2
1016,6,5
1017,6,5
1018,7,6
1019,4,3
1020,7,6
1021,2,1
1022,2,1
1023,8,7
1024,5,4
1025,8,7
1026,1,0
1027,2,1
1028,2,1
1029,5,4
1030,5,4
*CHUNK,GROUP:A
1031,8,7
1032,8,7
1033,5,4
1034,5,4
1035,5,4
1036,2,1
1037,1,0
1038,8,7
1039,8,7
1040,1,0
1041,1,0
1042,6,5
1043,1,0
1044,6,5
1045,8,7
1046,5,4
1047,7,6
1048,7,6
1049,4,3
1050,4,3
1051,3,2
1052,4,3
1053,6,5
1054,8,7
1055,6,5
1056,6,5
1057,2,1
1058,5,4
1059,8,7
1060,2,1
*BREAK*
*CHUNK,SEED:2006,GROUP:A
1061,2,1
1062,7,6
1063,5,4
1064,8,7
1065,3,2
1066,6,5
1067,3,2
1068,6,5
1069,1,0
1070,2,1
1071,4,3
1072,4,3
1073,1,0
1074,2,1
1075,7,6
1076,4,3
1077,7,6
1078,4,3
1079,7,6
1080,1,0
1081,5,4
1082,8,7
1083,7,6
1084,8,7
1085,5,4
1086,1,0
1087,3,2
1088,1,0
1089,7,6
1090,5,4
*CHUNK,GROUP:A
1091,1,0
1092,5,4
1093,5,4
1094,6,5
1095,8,7
1096,3,2
1097,5,4
1098,5,4
1099,3,2
1100,2,1
1101,7,6
1102,6,5
1103,3,2
1104,8,7
1105,6,5
1106,5,4
1107,2,1
1108,1,0
1109,4,3
1110,1,0
1111,6,5
1112,1,0
1113,7,6
1114,6,5
1115,8,7
1116,1,0
1117,4,3
1118,1,0
1119,1,0
1120,1,0
*BREAK*
*CHUNK,SEED:2007,GROUP:B
1121,8,15
1122,3,10
1123,1,8
1124,5,12
1125,6,13
1126,1,8
1127,4,11
1128,7,14
1129,4,11
1130,6,13
1131,2,9
1132,3,10
1133,2,9
1134,6,13
1135,6,13
1136,3,10
1137,3,10
1138,2,9
1139,6,13
1140,7,14
1141,6,13
1142,5,12
1143,6,13
1144,3,10
1145,1,8
1146,7,14
1147,3,10
1148,2,9
1149,8,15
1150,7,14
*CHUNK,GROUP:B
1151,3,10
1152,3,10
1153,6,13
1154,3,10
1155,5,12
1156,8,15
1157,1,8
1158,1,8
1159,8,15
1160,7,14
1161,2,9
1162,5,12
1163,4,11
1164,5,12
1165,4,11
1166,7,14
1167,8,15
1168,4,11
1169,5,12
1170,6,13
1171,7,14
1172,1,8
1173,2,9
1174,5,12
1175,2,9
1176,7,14
1177,6,13
1178,3,10
1179,3,10
1180,2,9
*BREAK*
*CHUNK,SEED:2002,GROUP:B
1181,6,13
1182,8,15
1183,5,12
1184,4,11
1185,6,13
1186,2,9
1187,8,15
1188,3,10
1189,5,12
1190,5,12
1191,4,11
1192,8,15
1193,6,13
1194,2,9
1195,3,10
1196,6,13
1197,3,10
1198,5,12
1199,3,10
1200,4,11
1201,3,10
1202,7,14
1203,8,15
1204,8,15
1205,4,11
1206,7,14
1207,2,9
1208,3,10
1209,5,12
1210,6,13
*CHUNK,GROUP:B
1211,2,9
1212,5,12
1213,7,14
1214,2,9
1215,3,10
1216,7,14
1217,5,12
1218,4,11
1219,5,12
1220,6,13
1221,4,11
1222,6,13
1223,2,9
1224,4,11
1225,6,13
1226,7,14
1227,5,12
1228,2,9
1229,6,13
1230,2,9
1231,4,11
1232,3,10
1233,1,8
1234,8,15
1235,8,15
1236,3,10
1237,4,11
1238,7,14
1239,2,9
1240,3,10
*BREAK*
*CHUNK,SEED:2003,GROUP:A
1241,5,4
1242,4,3
1243,1,0
1244,1,0
1245,2,1
1246,5,4
1247,1,0
1248,4,3
1249,8,7
1250,8,7
1251,2,1
1252,7,6
1253,7,6
1254,6,5
1255,2,1
1256,5,4
1257,8,7
1258,3,2
1259,2,1
1260,1,0
1261,3,2
1262,3,2
1263,8,7
1264,2,1
1265,8,7
1266,6,5
1267,2,1
1268,5,4
1269,6,5
1270,8,7
*CHUNK,GROUP:A
1271,4,3
1272,3,2
1273,8,7
1274,7,6
1275,8,7
1276,4,3
1277,1,0
1278,8,7
1279,2,1
1280,3,2
1281,7,6
1282,6,5
1283,2,1
1284,1,0
1285,4,3
1286,1,0
1287,2,1
1288,6,5
1289,7,6
1290,7,6
1291,4,3
1292,3,2
1293,5,4
1294,7,6
1295,2,1
1296,1,0
1297,6,5
1298,2,1
1299,4,3
1300,5,4
*BREAK*
*CHUNK,SEED:2008,GROUP:A
1301,7,6
1302,7,6
1303,5,4
1304,2,1
1305,2,1
1306,4,3
1307,4,3
1308,8,7
1309,7,6
1310,1,0
1311,1,0
1312,2,1
1313,2,1
1314,2,1
1315,5,4
1316,3,2
1317,8,7
1318,8,7
1319,5,4
1320,4,3
1321,6,5
1322,1,0
1323,6,5
1324,5,4
1325,5,4
1326,5,4
1327,3,2
1328,3,2
1329,8,7
1330,8,7
*CHUNK,GROUP:A
1331,4,3
1332,1,0
1333,8,7
1334,8,7
1335,2,1
1336,5,4
1337,5,4
1338,5,4
1339,6,5
1340,4,3
1341,5,4
1342,5,4
1343,4,3
1344,2,1
1345,2,1
1346,8,7
1347,5,4
1348,8,7
1349,6,5
1350,4,3
1351,7,6
1352,8,7
1353,6,5
1354,5,4
1355,4,3
1356,4,3
1357,8,7
1358,6,5
1359,5,4
1360,3,2
*BREAK*
*CHUNK,SEED:2005,GROUP:B
1361,3,10
1362,3,10
1363,1,8
1364,3,10
1365,8,15
1366,3,10
1367,2,9
1368,6,13
1369,6,13
1370,7,14
1371,6,13
1372,5,12
1373,8,15
1374,6,13
1375,8,15
1376,4,11
1377,2,9
1378,7,14
1379,8,15
1380,4,11
1381,4,11
1382,4,11
1383,7,14
1384,6,13
1385,1,8
1386,2,9
1387,2,9
1388,7,14
1389,7,14
1390,3,10
*CHUNK,GROUP:B
1391,7,14
1392,7,14
1393,3,10
1394,1,8
1395,2,9
1396,6,13
1397,1,8
1398,1,8
1399,5,12
1400,5,12
1401,4,11
1402,6,13
1403,3,10
1404,3,10
1405,8,15
1406,4,11
1407,5,12
1408,5,12
1409,2,9
1410,3,10
1411,6,13
1412,2,9
1413,3,10
1414,6,13
1415,6,13
1416,4,11
1417,2,9
1418,7,14
1419,7,14
1420,7,14
*BREAK*
*CHUNK,SEED:2004,GROUP:B
1421,4,11
1422,8,15
1423,5,12
1424,6,13
1425,5,12
1426,8,15
1427,2,9
1428,5,12
1429,3,10
1430,4,11
1431,8,15
1432,6,13
1433,8,15
1434,2,9
1435,1,8
1436,5,12
1437,5,12
1438,1,8
1439,1,8
1440,7,14
1441,4,11
1442,8,15
1443,7,14
1444,4,11
1445,4,11
1446,4,11
1447,2,9
1448,6,13
1449,6,13
1450,2,9
*CHUNK,GROUP:B
1451,5,12
1452,1,8
1453,2,9
1454,4,11
1455,5,12
1456,1,8
1457,5,12
1458,5,12
1459,8,15
1460,8,15
1461,2,9
1462,6,13
1463,3,10
1464,6,13
1465,2,9
1466,2,9
1467,7,14
1468,2,9
1469,1,8
1470,5,12
1471,5,12
1472,2,9
1473,8,15
1474,7,14
1475,4,11
1476,6,13
1477,8,15
1478,4,11
1479,5,12
1480,6,13
*BREAK*
*CHUNK,SEED:2002,GROUP:A
1481,6,5
1482,8,7
1483,5,4
1484,4,3
1485,6,5
1486,2,1
1487,8,7
1488,3,2
1489,5,4
1490,5,4
1491,4,3
1492,8,7
1493,6,5
1494,2,1
1495,3,2
1496,6,5
1497,3,2
1498,5,4
1499,3,2
1500,4,3
1501,3,2
1502,7,6
1503,8,7
1504,8,7
1505,4,3
1506,7,6
1507,2,1
1508,3,2
1509,5,4
1510,6,5
*CHUNK,GROUP:A
1511,2,1
1512,5,4
1513,7,6
1514,2,1
1515,3,2
1516,7,6
1517,5,4
1518,4,3
1519,5,4
1520,6,5
1521,4,3
1522,6,5
1523,2,1
1524,4,3
1525,6,5
1526,7,6
1527,5,4
1528,2,1
1529,6,5
1530,2,1
1531,4,3
1532,3,2
1533,1,0
1534,8,7
1535,8,7
1536,3,2
1537,4,3
1538,7,6
1539,2,1
1540,3,2
*BREAK*
*CHUNK,SEED:2007,GROUP:A
1541,8,7
1542,3,2
1543,1,0
1544,5,4
1545,6,5
1546,1,0
1547,4,3
1548,7,6
1549,4,3
1550,6,5
1551,2,1
1552,3,2
1553,2,1
1554,6,5
1555,6,5
1556,3,2
1557,3,2
1558,2,1
1559,6,5
1560,7,6
1561,6,5
1562,5,4
1563,6,5
1564,3,2
1565,1,0
1566,7,6
1567,3,2
1568,2,1
1569,8,7
1570,7,6
*CHUNK,GROUP:A
1571,3,2
1572,3,2
1573,6,5
1574,3,2
1575,5,4
1576,8,7
1577,1,0
1578,1,0
1579,8,7
1580,7,6
1581,2,1
1582,5,4
1583,4,3
1584,5,4
1585,4,3
1586,7,6
1587,8,7
1588,4,3
1589,5,4
1590,6,5
1591,7,6
1592,1,0
1593,2,1
1594,5,4
1595,2,1
1596,7,6
1597,6,5
1598,3,2
1599,3,2
1600,2,1
*BREAK*
*CHUNK,SEED:2008,GROUP:B
1601,7,14
1602,7,14
1603,5,12
1604,2,9
1605,2,9
1606,4,11
1607,4,11
1608,8,15
1609,7,14
1610,1,8
1611,1,8
1612,2,9
1613,2,9
1614,2,9
1615,5,12
1616,3,10
1617,8,15
1618,8,15
1619,5,12
1620,4,11
1621,6,13
1622,1,8
1623,6,13
1624,5,12
1625,5,12
1626,5,12
1627,3,10
1628,3,10
1629,8,15
1630,8,15
*CHUNK,GROUP:B
1631,4,11
1632,1,8
1633,8,15
1634,8,15
1635,2,9
1636,5,12
1637,5,12
1638,5,12
1639,6,13
1640,4,11
