*BaseSeed:1006,Group:0
*CHUNK,SEED:1006,GROUP:A
1001,2,1
1002,5,4
1003,8,7
1004,2,1
1005,6,5
1006,1,0
1007,1,0
1008,7,6
1009,6,5
1010,5,4
1011,1,0
1012,3,2
1013,3,2
1014,2,1
1015,4,3
1016,8,7
1017,8,7
1018,4,3
1019,4,3
1020,7,6
1021,6,5
1022,5,4
1023,7,6
1024,3,2
*WARNING*
*CHUNK,GROUP:B
1025,7,14
1026,6,13
1027,2,9
1028,8,15
1029,7,14
1030,3,10
1031,1,8
1032,4,11
1033,8,15
1034,3,10
1035,5,12
1036,4,11
1037,1,8
1038,1,8
1039,5,12
1040,6,13
1041,3,10
1042,6,13
1043,5,12
1044,7,14
1045,4,11
1046,2,9
1047,2,9
1048,8,15
*CHUNK,GROUP:B
1049,3,10
1050,3,10
1051,6,13
1052,4,11
1053,1,8
1054,7,14
1055,4,11
1056,7,14
1057,4,11
1058,2,9
1059,2,9
1060,7,14
1061,5,12
1062,8,15
1063,8,15
1064,8,15
1065,1,8
1066,1,8
1067,2,9
1068,6,13
1069,5,12
1070,5,12
1071,6,13
1072,3,10
*CHUNK,GROUP:A
1073,4,3
1074,3,2
1075,8,7
1076,6,5
1077,2,1
1078,6,5
1079,4,3
1080,8,7
1081,1,0
1082,7,6
1083,3,2
1084,8,7
1085,6,5
1086,5,4
1087,7,6
1088,2,1
1089,4,3
1090,3,2
1091,7,6
1092,5,4
1093,2,1
1094,1,0
1095,5,4
1096,1,0
*BREAK*
*CHUNK,GROUP:A
1097,2,1
1098,2,1
1099,5,4
1100,1,0
1101,3,2
1102,6,5
1103,6,5
1104,4,3
1105,7,6
1106,4,3
1107,6,5
1108,1,0
1109,2,1
1110,5,4
1111,8,7
1112,5,4
1113,8,7
1114,1,0
1115,4,3
1116,7,6
1117,7,6
1118,3,2
1119,8,7
1120,3,2
*CHUNK,GROUP:A
1121,5,4
1122,3,2
1123,7,6
1124,5,4
1125,4,3
1126,8,7
1127,1,0
1128,4,3
1129,7,6
1130,6,5
1131,6,5
1132,3,2
1133,3,2
1134,1,0
1135,2,1
1136,2,1
1137,2,1
1138,6,5
1139,1,0
1140,5,4
1141,8,7
1142,7,6
1143,4,3
1144,8,7
*WARNING*
*CHUNK,GROUP:B
1145,5,12
1146,1,8
1147,3,10
1148,4,11
1149,5,12
1150,4,11
1151,2,9
1152,7,14
1153,7,14
1154,6,13
1155,8,15
1156,1,8
1157,4,11
1158,3,10
1159,2,9
1160,6,13
1161,8,15
1162,5,12
1163,6,13
1164,2,9
1165,1,8
1166,8,15
1167,7,14
1168,3,10
*CHUNK,GROUP:B
1169,5,12
1170,3,10
1171,2,9
1172,6,13
1173,4,11
1174,7,14
1175,7,14
1176,8,15
1177,2,9
1178,4,11
1179,5,12
1180,1,8
1181,3,10
1182,1,8
1183,7,14
1184,2,9
1185,6,13
1186,5,12
1187,4,11
1188,1,8
1189,8,15
1190,6,13
1191,3,10
1192,8,15
*CHUNK,GROUP:A
1193,4,3
1194,3,2
1195,7,6
1196,5,4
1197,1,0
1198,8,7
1199,8,7
1200,2,1
1201,2,1
1202,1,0
1203,5,4
1204,4,3
1205,7,6
1206,5,4
1207,6,5
1208,6,5
1209,7,6
1210,3,2
1211,4,3
1212,2,1
1213,1,0
1214,8,7
1215,6,5
1216,3,2
*CHUNK,GROUP:A
1217,8,7
1218,6,5
1219,8,7
1220,2,1
1221,1,0
1222,7,6
1223,2,1
1224,4,3
1225,1,0
1226,7,6
1227,4,3
1228,3,2
1229,5,4
1230,2,1
1231,6,5
1232,6,5
1233,7,6
1234,8,7
1235,5,4
1236,5,4
1237,1,0
1238,3,2
1239,3,2
1240,4,3
*CHUNK,GROUP:B
1241,8,15
1242,1,8
1243,2,9
1244,8,15
1245,1,8
1246,7,14
1247,2,9
1248,4,11
1249,6,13
1250,2,9
1251,8,15
1252,1,8
1253,7,14
1254,3,10
1255,6,13
1256,5,12
1257,4,11
1258,7,14
1259,6,13
1260,5,12
1261,3,10
1262,5,12
1263,3,10
1264,4,11
*BREAK*
*CHUNK,GROUP:B
1265,5,12
1266,7,14
1267,1,8
1268,2,9
1269,6,13
1270,7,14
1271,1,8
1272,5,12
1273,7,14
1274,4,11
1275,2,9
1276,3,10
1277,2,9
1278,8,15
1279,3,10
1280,5,12
1281,8,15
1282,6,13
1283,4,11
1284,4,11
1285,1,8
1286,3,10
1287,6,13
1288,8,15
*CHUNK,GROUP:B
1289,7,14
1290,4,11
1291,5,12
1292,4,11
1293,3,10
1294,8,15
1295,6,13
1296,8,15
1297,3,10
1298,8,15
1299,1,8
1300,7,14
1301,2,9
1302,1,8
1303,4,11
1304,6,13
1305,5,12
1306,5,12
1307,2,9
1308,7,14
1309,6,13
1310,2,9
1311,3,10
1312,1,8
*WARNING*
*CHUNK,GROUP:A
1313,6,5
1314,4,3
1315,6,5
1316,2,1
1317,7,6
1318,1,0
1319,7,6
1320,5,4
1321,4,3
1322,8,7
1323,5,4
1324,1,0
1325,6,5
1326,7,6
1327,2,1
1328,4,3
1329,3,2
1330,1,0
1331,8,7
1332,2,1
1333,8,7
1334,3,2
1335,3,2
1336,5,4
*CHUNK,GROUP:A
1337,1,0
1338,5,4
1339,1,0
1340,5,4
1341,8,7
1342,6,5
1343,2,1
1344,1,0
1345,2,1
1346,6,5
1347,4,3
1348,7,6
1349,3,2
1350,6,5
1351,3,2
1352,4,3
1353,8,7
1354,5,4
1355,2,1
1356,7,6
1357,4,3
1358,8,7
1359,3,2
1360,7,6
*CHUNK,GROUP:B
1361,8,15
1362,3,10
1363,6,13
1364,4,11
1365,1,8
1366,7,14
1367,5,12
1368,8,15
1369,3,10
1370,2,9
1371,8,15
1372,1,8
1373,6,13
1374,7,14
1375,1,8
1376,3,10
1377,5,12
1378,2,9
1379,7,14
1380,6,13
1381,2,9
1382,4,11
1383,4,11
1384,5,12
*CHUNK,GROUP:B
1385,4,11
1386,6,13
1387,3,10
1388,1,8
1389,4,11
1390,8,15
1391,6,13
1392,5,12
1393,5,12
1394,6,13
1395,7,14
1396,2,9
1397,2,9
1398,1,8
1399,7,14
1400,3,10
1401,8,15
1402,4,11
1403,7,14
1404,8,15
1405,5,12
1406,1,8
1407,3,10
1408,2,9
*WARNING*
*CHUNK,GROUP:A
1409,6,5
1410,2,1
1411,6,5
1412,4,3
1413,7,6
1414,1,0
1415,7,6
1416,2,1
1417,1,0
1418,3,2
1419,5,4
1420,3,2
1421,8,7
1422,2,1
1423,8,7
1424,4,3
1425,1,0
1426,5,4
1427,5,4
1428,7,6
1429,6,5
1430,3,2
1431,8,7
1432,4,3
*BREAK*
*CHUNK,GROUP:A
1433,1,0
1434,7,6
1435,3,2
1436,1,0
1437,6,5
1438,2,1
1439,1,0
1440,7,6
1441,7,6
1442,5,4
1443,3,2
1444,6,5
1445,4,3
1446,5,4
1447,8,7
1448,5,4
1449,2,1
1450,8,7
1451,4,3
1452,4,3
1453,3,2
1454,6,5
1455,2,1
1456,8,7
*CHUNK,GROUP:A
1457,8,7
1458,6,5
1459,1,0
1460,5,4
1461,3,2
