*BaseSeed:1000,Group:1
*CHUNK,SEED:1000,GROUP:B
1001,8,15
1002,3,10
1003,5,12
1004,4,11
1005,7,14
1006,6,13
1007,1,8
1008,1,8
1009,4,11
1010,8,15
1011,5,12
1012,8,15
1013,6,13
1014,2,9
1015,7,14
1016,3,10
1017,3,10
1018,2,9
1019,6,13
1020,4,11
1021,5,12
1022,1,8
1023,7,14
1024,2,9
*BREAK*
*CHUNK,GROUP:B
1025,4,11
1026,2,9
1027,1,8
1028,6,13
1029,1,8
1030,6,13
1031,2,9
1032,4,11
1033,8,15
1034,2,9
1035,7,14
1036,4,11
1037,5,12
1038,3,10
1039,3,10
1040,8,15
1041,5,12
1042,5,12
1043,7,14
1044,8,15
1045,7,14
1046,6,13
1047,1,8
1048,3,10
*BREAK*
*CHUNK,GROUP:A
1049,5,4
1050,8,7
1051,7,6
1052,8,7
1053,3,2
1054,4,3
1055,1,0
1056,2,1
1057,8,7
1058,6,5
1059,4,3
1060,2,1
1061,7,6
1062,1,0
1063,5,4
1064,4,3
1065,2,1
1066,3,2
1067,3,2
1068,7,6
1069,6,5
1070,6,5
1071,5,4
1072,1,0
*BREAK*
*CHUNK,GROUP:A
1073,3,2
1074,5,4
1075,7,6
1076,2,1
1077,2,1
1078,4,3
1079,5,4
1080,4,3
1081,4,3
1082,1,0
1083,6,5
1084,6,5
1085,6,5
1086,8,7
1087,8,7
1088,7,6
1089,3,2
1090,3,2
1091,5,4
1092,8,7
1093,7,6
1094,2,1
1095,1,0
1096,1,0
*BREAK*
*CHUNK,GROUP:B
1097,8,15
1098,2,9
1099,8,15
1100,1,8
1101,3,10
1102,2,9
1103,3,10
1104,3,10
1105,7,14
1106,5,12
1107,7,14
1108,6,13
1109,6,13
1110,4,11
1111,6,13
1112,5,12
1113,1,8
1114,4,11
1115,7,14
1116,4,11
1117,2,9
1118,5,12
1119,8,15
1120,1,8
*BREAK*
*CHUNK,GROUP:B
1121,5,12
1122,5,12
1123,4,11
1124,7,14
1125,2,9
1126,2,9
1127,2,9
1128,3,10
1129,7,14
1130,5,12
1131,8,15
1132,6,13
1133,1,8
1134,4,11
1135,6,13
1136,8,15
1137,1,8
1138,8,15
1139,3,10
1140,7,14
1141,3,10
1142,6,13
1143,4,11
1144,1,8
*BREAK*
*CHUNK,GROUP:A
1145,8,7
1146,5,4
1147,8,7
1148,5,4
1149,4,3
1150,1,0
1151,2,1
1152,3,2
1153,7,6
1154,1,0
1155,4,3
1156,7,6
1157,7,6
1158,3,2
1159,2,1
1160,2,1
1161,6,5
1162,4,3
1163,3,2
1164,8,7
1165,5,4
1166,6,5
1167,1,0
1168,6,5
*BREAK*
*CHUNK,GROUP:A
1169,3,2
1170,4,3
1171,3,2
1172,5,4
1173,5,4
1174,4,3
1175,5,4
1176,1,0
1177,4,3
1178,2,1
1179,8,7
1180,8,7
1181,6,5
1182,7,6
1183,7,6
1184,2,1
1185,7,6
1186,2,1
1187,1,0
1188,3,2
1189,6,5
1190,6,5
1191,8,7
1192,1,0
*BREAK*
*CHUNK,GROUP:B
1193,2,9
1194,2,9
1195,6,13
1196,3,10
1197,8,15
1198,8,15
1199,7,14
1200,5,12
1201,2,9
1202,4,11
1203,4,11
1204,5,12
1205,5,12
1206,1,8
1207,6,13
1208,3,10
1209,1,8
1210,7,14
1211,8,15
1212,4,11
1213,6,13
1214,1,8
1215,7,14
1216,3,10
*BREAK*
*CHUNK,GROUP:B
1217,6,13
1218,7,14
1219,5,12
1220,3,10
1221,3,10
1222,4,11
1223,1,8
1224,8,15
1225,8,15
1226,4,11
1227,2,9
1228,8,15
1229,5,12
1230,1,8
1231,4,11
1232,2,9
1233,1,8
1234,7,14
1235,5,12
1236,3,10
1237,2,9
1238,7,14
1239,6,13
1240,6,13
*BREAK*
*CHUNK,GROUP:A
1241,5,4
1242,8,7
1243,4,3
1244,6,5
1245,1,0
1246,3,2
1247,7,6
1248,7,6
1249,6,5
1250,3,2
1251,3,2
1252,5,4
1253,4,3
1254,5,4
1255,6,5
1256,2,1
1257,1,0
1258,2,1
1259,8,7
1260,7,6
1261,1,0
1262,4,3
1263,2,1
1264,8,7
*BREAK*
*CHUNK,GROUP:A
1265,7,6
1266,6,5
1267,7,6
1268,4,3
1269,8,7
1270,5,4
1271,6,5
1272,8,7
1273,1,0
1274,4,3
1275,1,0
1276,2,1
1277,7,6
1278,8,7
1279,3,2
