*BaseSeed:1101,Group:1
*CHUNK,SEED:1101,GROUP:B
1001,8,15
1002,4,11
1003,1,8
1004,4,11
1005,5,12
1006,5,12
1007,2,9
1008,7,14
1009,1,8
1010,6,13
1011,1,8
1012,2,9
1013,2,9
1014,4,11
1015,3,10
1016,6,13
1017,2,9
1018,2,9
1019,8,15
1020,4,11
1021,5,12
1022,3,10
1023,6,13
1024,5,12
1025,5,12
1026,7,14
1027,7,14
1028,3,10
1029,6,13
1030,8,15
1031,7,14
1032,1,8
1033,3,10
1034,8,15
1035,7,14
1036,6,13
1037,3,10
1038,1,8
1039,8,15
1040,4,11
*BREAK*
*CHUNK,GROUP:A
1041,4,3
1042,6,5
1043,1,0
1044,2,1
1045,3,2
1046,4,3
1047,1,0
1048,2,1
1049,7,6
1050,5,4
1051,6,5
1052,6,5
1053,4,3
1054,5,4
1055,8,7
1056,8,7
1057,4,3
1058,1,0
1059,3,2
1060,8,7
1061,3,2
1062,5,4
1063,5,4
1064,3,2
1065,7,6
1066,8,7
1067,6,5
1068,2,1
1069,2,1
1070,7,6
1071,5,4
1072,3,2
1073,2,1
1074,7,6
1075,7,6
1076,1,0
1077,1,0
1078,4,3
1079,8,7
1080,6,5
*BREAK*
*CHUNK,GROUP:B
1081,5,12
1082,1,8
1083,6,13
1084,5,12
1085,4,11
1086,6,13
1087,2,9
1088,4,11
1089,7,14
1090,2,9
1091,7,14
1092,7,14
1093,8,15
1094,1,8
1095,3,10
1096,8,15
1097,4,11
1098,1,8
1099,5,12
1100,2,9
1101,6,13
1102,4,11
1103,7,14
1104,2,9
1105,4,11
1106,3,10
1107,3,10
1108,8,15
1109,6,13
1110,6,13
1111,3,10
1112,2,9
1113,8,15
1114,1,8
1115,1,8
1116,7,14
1117,5,12
1118,8,15
1119,5,12
1120,3,10
*BREAK*
*CHUNK,GROUP:A
1121,4,3
1122,1,0
1123,6,5
1124,6,5
1125,7,6
1126,8,7
1127,1,0
1128,1,0
1129,2,1
1130,5,4
1131,1,0
1132,5,4
1133,8,7
1134,3,2
1135,8,7
1136,4,3
1137,4,3
1138,2,1
1139,8,7
1140,2,1
1141,6,5
1142,5,4
1143,2,1
1144,1,0
1145,7,6
1146,7,6
1147,3,2
1148,3,2
1149,6,5
1150,2,1
1151,6,5
1152,3,2
1153,7,6
1154,5,4
1155,3,2
1156,7,6
1157,8,7
1158,4,3
1159,4,3
1160,5,4
*BREAK*
*CHUNK,GROUP:B
1161,2,9
1162,6,13
1163,2,9
1164,3,10
1165,4,11
1166,5,12
1167,8,15
1168,7,14
1169,7,14
1170,8,15
1171,2,9
1172,5,12
1173,6,13
1174,8,15
1175,4,11
1176,3,10
1177,8,15
1178,7,14
1179,6,13
1180,3,10
1181,1,8
1182,1,8
1183,5,12
1184,6,13
1185,8,15
1186,7,14
1187,3,10
1188,4,11
1189,1,8
1190,3,10
1191,6,13
1192,5,12
1193,2,9
1194,7,14
1195,1,8
1196,4,11
1197,5,12
1198,1,8
1199,2,9
1200,4,11
*BREAK*
*CHUNK,GROUP:A
1201,7,6
1202,6,5
1203,2,1
1204,7,6
1205,2,1
1206,7,6
1207,1,0
1208,8,7
1209,6,5
1210,5,4
1211,8,7
1212,7,6
1213,6,5
1214,1,0
1215,3,2
1216,8,7
1217,4,3
1218,4,3
1219,3,2
1220,3,2
1221,5,4
1222,6,5
1223,1,0
1224,2,1
1225,1,0
1226,4,3
1227,7,6
1228,1,0
1229,8,7
1230,3,2
1231,8,7
1232,6,5
1233,2,1
1234,5,4
1235,5,4
1236,4,3
1237,5,4
1238,3,2
1239,4,3
1240,2,1
*BREAK*
*CHUNK,GROUP:B
1241,4,11
1242,3,10
1243,2,9
1244,5,12
1245,6,13
1246,4,11
1247,8,15
1248,6,13
1249,1,8
1250,2,9
1251,7,14
1252,1,8
1253,2,9
1254,8,15
1255,4,11
1256,7,14
1257,5,12
1258,8,15
1259,2,9
1260,2,9
1261,1,8
1262,3,10
1263,7,14
1264,8,15
1265,8,15
1266,3,10
1267,6,13
1268,6,13
1269,7,14
1270,7,14
1271,3,10
1272,3,10
1273,4,11
1274,5,12
1275,5,12
1276,1,8
1277,1,8
1278,4,11
1279,6,13
1280,5,12
*BREAK*
*CHUNK,GROUP:A
1281,3,2
1282,3,2
1283,8,7
1284,6,5
1285,5,4
1286,7,6
1287,2,1
1288,4,3
1289,4,3
1290,5,4
1291,6,5
1292,3,2
1293,8,7
1294,5,4
1295,8,7
1296,3,2
1297,4,3
1298,6,5
1299,7,6
1300,5,4
1301,1,0
1302,5,4
1303,2,1
1304,4,3
1305,8,7
1306,6,5
1307,1,0
1308,3,2
1309,2,1
