*BaseSeed:1035,Group:0
*CHUNK,SEED:1035,GROUP:A
1001,4,3
1002,1,0
1003,4,3
1004,6,5
1005,3,2
1006,3,2
1007,4,3
1008,7,6
1009,2,1
1010,6,5
1011,3,2
1012,6,5
1013,7,6
1014,3,2
1015,5,4
1016,7,6
1017,3,2
1018,8,7
1019,8,7
1020,5,4
1021,5,4
1022,5,4
1023,1,0
1024,2,1
1025,4,3
1026,6,5
1027,1,0
1028,8,7
1029,7,6
1030,5,4
1031,8,7
1032,7,6
1033,6,5
1034,2,1
1035,8,7
1036,2,1
1037,1,0
1038,4,3
1039,1,0
1040,2,1
*BREAK*
*CHUNK,GROUP:A
1041,7,6
1042,6,5
1043,6,5
1044,2,1
1045,7,6
1046,2,1
1047,1,0
1048,7,6
1049,4,3
1050,5,4
1051,2,1
1052,3,2
1053,6,5
1054,1,0
1055,8,7
1056,1,0
1057,8,7
1058,5,4
1059,3,2
1060,2,1
1061,4,3
1062,1,0
1063,5,4
1064,5,4
1065,4,3
1066,4,3
1067,6,5
1068,8,7
1069,4,3
1070,1,0
1071,6,5
1072,3,2
1073,3,2
1074,5,4
1075,8,7
1076,7,6
1077,2,1
1078,3,2
1079,7,6
1080,8,7
*BREAK*
*CHUNK,GROUP:B
1081,4,11
1082,5,12
1083,3,10
1084,2,9
1085,6,13
1086,7,14
1087,1,8
1088,2,9
1089,7,14
1090,3,10
1091,3,10
1092,2,9
1093,8,15
1094,4,11
1095,1,8
1096,3,10
1097,6,13
1098,1,8
1099,1,8
1100,5,12
1101,1,8
1102,8,15
1103,5,12
1104,8,15
1105,4,11
1106,7,14
1107,3,10
1108,5,12
1109,5,12
1110,8,15
1111,8,15
1112,6,13
1113,6,13
1114,2,9
1115,7,14
1116,2,9
1117,4,11
1118,4,11
1119,6,13
1120,7,14
*BREAK*
*CHUNK,GROUP:B
1121,5,12
1122,1,8
1123,3,10
1124,4,11
1125,1,8
1126,3,10
1127,6,13
1128,1,8
1129,4,11
1130,2,9
1131,1,8
1132,8,15
1133,7,14
1134,6,13
1135,4,11
1136,1,8
1137,3,10
1138,6,13
1139,8,15
1140,5,12
1141,8,15
1142,7,14
1143,4,11
1144,3,10
1145,2,9
1146,7,14
1147,8,15
1148,3,10
1149,7,14
1150,5,12
1151,6,13
1152,5,12
1153,6,13
1154,7,14
1155,8,15
1156,4,11
1157,2,9
1158,2,9
1159,5,12
1160,2,9
*BREAK*
*CHUNK,GROUP:A
1161,4,3
1162,3,2
1163,2,1
1164,4,3
1165,5,4
1166,5,4
1167,1,0
1168,2,1
1169,6,5
1170,8,7
1171,3,2
1172,2,1
1173,7,6
1174,8,7
1175,6,5
1176,1,0
1177,6,5
1178,7,6
1179,4,3
1180,7,6
1181,8,7
1182,4,3
1183,8,7
1184,1,0
1185,5,4
1186,6,5
1187,2,1
1188,1,0
1189,5,4
1190,3,2
1191,5,4
1192,3,2
1193,3,2
1194,6,5
1195,1,0
1196,8,7
1197,7,6
1198,4,3
1199,7,6
1200,2,1
*BREAK*
*CHUNK,GROUP:A
1201,5,4
1202,8,7
1203,6,5
1204,7,6
1205,7,6
1206,4,3
1207,2,1
1208,3,2
1209,4,3
1210,2,1
1211,7,6
1212,4,3
1213,8,7
1214,1,0
1215,7,6
1216,6,5
1217,5,4
1218,1,0
1219,4,3
1220,8,7
1221,2,1
1222,5,4
1223,2,1
1224,3,2
1225,3,2
1226,4,3
1227,5,4
1228,3,2
1229,5,4
1230,6,5
1231,6,5
1232,6,5
1233,3,2
1234,1,0
1235,2,1
1236,8,7
1237,8,7
1238,1,0
1239,1,0
1240,7,6
*BREAK*
*CHUNK,GROUP:B
1241,4,11
1242,7,14
1243,7,14
1244,3,10
1245,2,9
1246,8,15
1247,7,14
1248,2,9
1249,3,10
1250,7,14
1251,5,12
1252,3,10
1253,5,12
1254,6,13
1255,5,12
1256,6,13
1257,8,15
1258,4,11
1259,5,12
1260,2,9
1261,1,8
1262,4,11
1263,1,8
1264,8,15
1265,3,10
1266,6,13
1267,6,13
1268,7,14
1269,1,8
1270,5,12
1271,2,9
1272,1,8
1273,3,10
1274,4,11
1275,1,8
1276,6,13
1277,8,15
1278,8,15
1279,4,11
1280,2,9
*BREAK*
*CHUNK,GROUP:B
1281,4,11
1282,1,8
1283,1,8
1284,2,9
1285,7,14
1286,7,14
1287,5,12
1288,4,11
1289,5,12
1290,3,10
1291,8,15
1292,3,10
1293,2,9
