*BaseSeed:786,Group:0
*CHUNK,SEED:787,GROUP:A
1001,5,4
1002,4,3
1003,4,3
1004,3,2
1005,4,3
1006,8,7
1007,6,5
1008,6,5
1009,8,7
1010,6,5
1011,8,7
1012,3,2
1013,6,5
1014,1,0
1015,5,4
1016,4,3
1017,1,0
1018,1,0
1019,4,3
1020,4,3
*CHUNK,GROUP:A
1021,4,3
1022,6,5
1023,7,6
1024,2,1
1025,2,1
1026,2,1
1027,4,3
1028,2,1
1029,7,6
1030,2,1
1031,6,5
1032,4,3
1033,1,0
1034,3,2
1035,7,6
1036,5,4
1037,8,7
1038,8,7
1039,4,3
1040,4,3
*BREAK*
*CHUNK,SEED:792,GROUP:A
1041,8,7
1042,8,7
1043,1,0
1044,6,5
1045,3,2
1046,8,7
1047,2,1
1048,7,6
1049,3,2
1050,7,6
1051,4,3
1052,4,3
1053,6,5
1054,1,0
1055,3,2
1056,3,2
1057,6,5
1058,2,1
1059,8,7
1060,6,5
*CHUNK,GROUP:A
1061,2,1
1062,2,1
1063,1,0
1064,2,1
1065,1,0
1066,1,0
1067,4,3
1068,4,3
1069,3,2
1070,4,3
1071,5,4
1072,3,2
1073,8,7
1074,6,5
1075,8,7
1076,3,2
1077,3,2
1078,7,6
1079,8,7
1080,8,7
*BREAK*
*CHUNK,SEED:793,GROUP:B
1081,7,14
1082,5,12
1083,7,14
1084,2,9
1085,3,10
1086,2,9
1087,6,13
1088,4,11
1089,2,9
1090,4,11
1091,3,10
1092,6,13
1093,1,8
1094,8,15
1095,7,14
1096,6,13
1097,4,11
1098,7,14
1099,8,15
1100,7,14
*CHUNK,GROUP:B
1101,4,11
1102,3,10
1103,5,12
1104,3,10
1105,4,11
1106,4,11
1107,5,12
1108,7,14
1109,4,11
1110,1,8
1111,3,10
1112,2,9
1113,1,8
1114,5,12
1115,1,8
1116,2,9
1117,4,11
1118,4,11
1119,8,15
1120,4,11
*BREAK*
*CHUNK,SEED:788,GROUP:B
1121,4,11
1122,1,8
1123,1,8
1124,7,14
1125,4,11
1126,1,8
1127,2,9
1128,3,10
1129,7,14
1130,3,10
1131,7,14
1132,5,12
1133,1,8
1134,8,15
1135,1,8
1136,7,14
1137,7,14
1138,6,13
1139,5,12
1140,4,11
*CHUNK,GROUP:B
1141,5,12
1142,7,14
1143,2,9
1144,4,11
1145,5,12
1146,5,12
1147,4,11
1148,6,13
1149,8,15
1150,8,15
1151,5,12
1152,2,9
1153,2,9
1154,2,9
1155,7,14
1156,5,12
1157,1,8
1158,4,11
1159,3,10
1160,8,15
*BREAK*
*CHUNK,SEED:789,GROUP:A
1161,3,2
1162,7,6
1163,7,6
1164,3,2
1165,4,3
1166,3,2
1167,6,5
1168,8,7
1169,6,5
1170,8,7
1171,6,5
1172,7,6
1173,4,3
1174,6,5
1175,6,5
1176,2,1
1177,5,4
1178,3,2
1179,5,4
1180,5,4
*CHUNK,GROUP:A
1181,6,5
1182,8,7
1183,6,5
1184,5,4
1185,8,7
1186,8,7
1187,4,3
1188,1,0
1189,1,0
1190,5,4
1191,3,2
1192,8,7
1193,4,3
1194,1,0
1195,8,7
1196,4,3
1197,1,0
1198,1,0
1199,2,1
1200,4,3
*BREAK*
*CHUNK,SEED:794,GROUP:A
1201,6,5
1202,3,2
1203,5,4
1204,5,4
1205,3,2
1206,4,3
1207,2,1
1208,1,0
1209,1,0
1210,1,0
1211,3,2
1212,7,6
1213,4,3
1214,6,5
1215,4,3
1216,1,0
1217,2,1
1218,4,3
1219,1,0
1220,7,6
*CHUNK,GROUP:A
1221,5,4
1222,4,3
1223,8,7
1224,5,4
1225,7,6
1226,7,6
1227,5,4
1228,3,2
1229,5,4
1230,6,5
1231,2,1
1232,8,7
1233,3,2
1234,4,3
1235,1,0
1236,2,1
1237,5,4
1238,1,0
1239,7,6
1240,8,7
*BREAK*
*CHUNK,SEED:791,GROUP:B
1241,1,8
1242,2,9
1243,3,10
1244,2,9
1245,3,10
1246,6,13
1247,6,13
1248,2,9
1249,4,11
1250,2,9
1251,5,12
1252,2,9
1253,3,10
1254,3,10
1255,7,14
1256,8,15
1257,1,8
1258,5,12
1259,7,14
1260,6,13
*CHUNK,GROUP:B
1261,1,8
1262,1,8
1263,5,12
1264,8,15
1265,6,13
1266,6,13
1267,4,11
1268,8,15
1269,3,10
1270,7,14
1271,7,14
1272,5,12
1273,7,14
1274,7,14
1275,8,15
1276,3,10
1277,3,10
1278,3,10
1279,1,8
1280,4,11
*BREAK*
*CHUNK,SEED:790,GROUP:B
1281,2,9
1282,5,12
1283,5,12
1284,7,14
1285,3,10
1286,5,12
1287,2,9
1288,5,12
1289,5,12
1290,5,12
1291,6,13
1292,8,15
1293,8,15
1294,5,12
1295,2,9
1296,5,12
1297,3,10
1298,8,15
1299,6,13
1300,5,12
*CHUNK,GROUP:B
1301,8,15
1302,8,15
1303,2,9
1304,7,14
1305,3,10
1306,3,10
1307,4,11
1308,5,12
1309,2,9
1310,2,9
1311,1,8
1312,7,14
1313,5,12
1314,8,15
1315,8,15
1316,4,11
1317,2,9
1318,6,13
1319,2,9
1320,8,15
*BREAK*
*CHUNK,SEED:788,GROUP:A
1321,4,3
1322,1,0
1323,1,0
1324,7,6
1325,4,3
1326,1,0
1327,2,1
1328,3,2
1329,7,6
1330,3,2
1331,7,6
1332,5,4
1333,1,0
1334,8,7
1335,1,0
1336,7,6
1337,7,6
1338,6,5
1339,5,4
1340,4,3
*CHUNK,GROUP:A
1341,5,4
1342,7,6
1343,2,1
1344,4,3
1345,5,4
1346,5,4
1347,4,3
1348,6,5
1349,8,7
1350,8,7
1351,5,4
1352,2,1
1353,2,1
1354,2,1
1355,7,6
1356,5,4
1357,1,0
1358,4,3
1359,3,2
1360,8,7
*BREAK*
*CHUNK,SEED:793,GROUP:A
1361,7,6
1362,5,4
1363,7,6
1364,2,1
1365,3,2
1366,2,1
1367,6,5
1368,4,3
1369,2,1
1370,4,3
1371,3,2
1372,6,5
1373,1,0
1374,8,7
1375,7,6
1376,6,5
1377,4,3
1378,7,6
1379,8,7
1380,7,6
*CHUNK,GROUP:A
1381,4,3
1382,3,2
1383,5,4
1384,3,2
1385,4,3
1386,4,3
1387,5,4
1388,7,6
1389,4,3
1390,1,0
1391,3,2
1392,2,1
1393,1,0
1394,5,4
1395,1,0
1396,2,1
1397,4,3
1398,4,3
1399,8,7
1400,4,3
*BREAK*
*CHUNK,SEED:794,GROUP:B
1401,6,13
1402,3,10
1403,5,12
1404,5,12
1405,3,10
1406,4,11
1407,2,9
1408,1,8
1409,1,8
1410,1,8
1411,3,10
1412,7,14
1413,4,11
1414,6,13
1415,4,11
1416,1,8
1417,2,9
1418,4,11
1419,1,8
1420,7,14
*CHUNK,GROUP:B
1421,5,12
1422,4,11
1423,8,15
1424,5,12
1425,7,14
1426,7,14
1427,5,12
1428,3,10
1429,5,12
1430,6,13
1431,2,9
1432,8,15
1433,3,10
1434,4,11
1435,1,8
1436,2,9
1437,5,12
1438,1,8
1439,7,14
1440,8,15
*BREAK*
*CHUNK,SEED:789,GROUP:B
1441,3,10
1442,7,14
1443,7,14
1444,3,10
1445,4,11
1446,3,10
1447,6,13
1448,8,15
1449,6,13
1450,8,15
1451,6,13
1452,7,14
1453,4,11
1454,6,13
1455,6,13
1456,2,9
1457,5,12
1458,3,10
1459,5,12
1460,5,12
*CHUNK,GROUP:B
1461,6,13
1462,8,15
1463,6,13
1464,5,12
1465,8,15
1466,8,15
1467,4,11
1468,1,8
1469,1,8
1470,5,12
1471,3,10
