*BaseSeed:1000,Group:0
*CHUNK,SEED:1009,GROUP:A
1001,7,6
1002,6,5
1003,2,1
1004,5,4
1005,6,5
1006,6,5
1007,4,3
1008,5,4
1009,3,2
1010,4,3
1011,7,6
1012,8,7
1013,2,1
1014,3,2
1015,8,7
1016,8,7
1017,1,0
1018,1,0
1019,3,2
1020,1,0
1021,2,1
1022,7,6
1023,4,3
1024,5,4
*CHUNK,SEED:1001,GROUP:A
1025,7,6
1026,1,0
1027,3,2
1028,7,6
1029,6,5
1030,8,7
1031,5,4
1032,5,4
1033,3,2
1034,4,3
1035,4,3
1036,2,1
1037,2,1
1038,1,0
1039,6,5
1040,8,7
1041,2,1
1042,1,0
1043,7,6
1044,6,5
1045,8,7
1046,3,2
1047,4,3
1048,5,4
*BREAK*
*CHUNK,GROUP:A
1049,3,2
1050,8,7
1051,4,3
1052,5,4
1053,1,0
1054,3,2
1055,4,3
1056,5,4
1057,4,3
1058,2,1
1059,8,7
1060,8,7
1061,6,5
1062,5,4
1063,7,6
1064,2,1
1065,6,5
1066,1,0
1067,7,6
1068,3,2
1069,1,0
1070,6,5
1071,2,1
1072,7,6
*CHUNK,SEED:1006,GROUP:B
1073,2,9
1074,5,12
1075,8,15
1076,2,9
1077,6,13
1078,1,8
1079,1,8
1080,7,14
1081,6,13
1082,5,12
1083,1,8
1084,3,10
1085,3,10
1086,2,9
1087,4,11
1088,8,15
1089,8,15
1090,4,11
1091,4,11
1092,7,14
1093,6,13
1094,5,12
1095,7,14
1096,3,10
*BREAK*
*CHUNK,GROUP:B
1097,2,9
1098,8,15
1099,7,14
1100,3,10
1101,2,9
1102,4,11
1103,8,15
1104,3,10
1105,5,12
1106,4,11
1107,1,8
1108,1,8
1109,6,13
1110,6,13
1111,4,11
1112,6,13
1113,5,12
1114,7,14
1115,7,14
1116,2,9
1117,1,8
1118,8,15
1119,3,10
1120,5,12
*CHUNK,SEED:1007,GROUP:B
1121,1,8
1122,3,10
1123,6,13
1124,6,13
1125,6,13
1126,3,10
1127,5,12
1128,4,11
1129,5,12
1130,2,9
1131,8,15
1132,4,11
1133,5,12
1134,8,15
1135,7,14
1136,1,8
1137,7,14
1138,8,15
1139,2,9
1140,7,14
1141,4,11
1142,3,10
1143,1,8
1144,2,9
*BREAK*
*CHUNK,GROUP:B
1145,1,8
1146,6,13
1147,2,9
1148,3,10
1149,2,9
1150,8,15
1151,3,10
1152,5,12
1153,8,15
1154,6,13
1155,3,10
1156,7,14
1157,7,14
1158,6,13
1159,7,14
1160,1,8
1161,5,12
1162,4,11
1163,8,15
1164,5,12
1165,4,11
1166,2,9
1167,1,8
1168,4,11
*CHUNK,SEED:1002,GROUP:A
1169,6,5
1170,7,6
1171,1,0
1172,3,2
1173,6,5
1174,2,1
1175,1,0
1176,3,2
1177,3,2
1178,2,1
1179,5,4
1180,5,4
1181,6,5
1182,8,7
1183,1,0
1184,4,3
1185,8,7
1186,7,6
1187,8,7
1188,5,4
1189,2,1
1190,4,3
1191,7,6
1192,4,3
*BREAK*
*CHUNK,GROUP:A
1193,1,0
1194,6,5
1195,6,5
1196,4,3
1197,1,0
1198,8,7
1199,6,5
1200,5,4
1201,7,6
1202,4,3
1203,8,7
1204,4,3
1205,2,1
1206,7,6
1207,2,1
1208,7,6
1209,5,4
1210,5,4
1211,8,7
1212,2,1
1213,3,2
1214,1,0
1215,3,2
1216,3,2
*CHUNK,SEED:1003,GROUP:A
1217,5,4
1218,4,3
1219,7,6
1220,7,6
1221,6,5
1222,3,2
1223,5,4
1224,8,7
1225,1,0
1226,6,5
1227,2,1
1228,5,4
1229,8,7
1230,4,3
1231,4,3
1232,6,5
1233,3,2
1234,2,1
1235,8,7
1236,3,2
1237,1,0
1238,2,1
1239,1,0
1240,7,6
*BREAK*
*CHUNK,GROUP:A
1241,7,6
1242,5,4
1243,8,7
1244,4,3
1245,1,0
1246,4,3
1247,1,0
1248,7,6
1249,3,2
1250,6,5
1251,8,7
1252,2,1
1253,4,3
1254,8,7
1255,6,5
1256,2,1
1257,7,6
1258,3,2
1259,1,0
1260,2,1
1261,6,5
1262,5,4
1263,5,4
1264,3,2
*CHUNK,SEED:1008,GROUP:B
1265,8,15
1266,8,15
1267,4,11
1268,1,8
1269,6,13
1270,4,11
1271,1,8
1272,1,8
1273,5,12
1274,7,14
1275,7,14
1276,6,13
1277,8,15
1278,4,11
1279,3,10
1280,5,12
1281,3,10
1282,3,10
1283,2,9
1284,2,9
1285,2,9
1286,7,14
1287,6,13
1288,5,12
*BREAK*
*CHUNK,GROUP:B
1289,7,14
1290,4,11
1291,3,10
1292,2,9
1293,2,9
1294,6,13
1295,5,12
1296,6,13
1297,4,11
1298,8,15
1299,2,9
1300,3,10
1301,3,10
1302,8,15
1303,4,11
1304,5,12
1305,1,8
1306,1,8
1307,1,8
1308,7,14
1309,8,15
1310,5,12
1311,7,14
1312,6,13
