"ID";"congruency";"RT";"accuracy"
1;"congruent";740;1
1;"incongruent";646;1
1;"congruent";542;1
1;"incongruent";618;1
1;"neutral";673;1
1;"congruent";1658;1
1;"neutral";547;1
1;"incongruent";656;1
1;"incongruent";704;1
1;"incongruent";578;1
1;"congruent";616;1
1;"incongruent";614;1
1;"congruent";637;1
1;"neutral";516;1
1;"incongruent";457;1
1;"congruent";436;1
1;"congruent";486;1
1;"incongruent";545;1
1;"incongruent";462;0
1;"neutral";577;1
1;"congruent";478;0
1;"neutral";402;1
1;"congruent";635;1
1;"congruent";466;1
1;"incongruent";501;1
1;"neutral";625;1
1;"neutral";824;1
1;"neutral";552;1
1;"neutral";545;1
1;"incongruent";629;1
1;"congruent";517;1
1;"congruent";466;1
1;"congruent";796;1
1;"incongruent";600;1
1;"congruent";558;1
1;"neutral";988;1
1;"incongruent";444;1
1;"neutral";606;1
1;"incongruent";1029;1
1;"neutral";670;1
1;"incongruent";550;1
1;"neutral";563;1
1;"congruent";513;1
1;"neutral";445;1
1;"neutral";511;1
1;"congruent";627;1
1;"incongruent";546;1
1;"congruent";536;1
1;"incongruent";620;1
1;"neutral";539;1
1;"incongruent";496;1
1;"neutral";500;1
1;"incongruent";496;1
1;"incongruent";579;1
1;"neutral";665;1
1;"congruent";529;1
1;"incongruent";622;1
1;"neutral";652;1
1;"neutral";756;1
1;"incongruent";470;1
1;"congruent";698;1
1;"incongruent";490;1
1;"congruent";582;1
1;"congruent";476;1
1;"incongruent";663;1
1;"incongruent";495;1
1;"neutral";563;1
1;"incongruent";496;1
1;"neutral";588;1
1;"congruent";522;1
1;"neutral";550;1
1;"congruent";876;1
1;"neutral";481;1
1;"neutral";500;1
1;"congruent";536;1
1;"neutral";445;1
1;"neutral";496;1
1;"neutral";715;1
1;"incongruent";812;1
1;"congruent";448;1
1;"neutral";571;1
1;"incongruent";544;1
1;"incongruent";453;1
1;"congruent";440;1
1;"congruent";554;1
1;"congruent";535;1
1;"incongruent";492;1
1;"congruent";760;1
1;"congruent";546;1
1;"incongruent";535;1
1;"neutral";564;1
1;"congruent";442;1
1;"congruent";604;1
1;"incongruent";603;1
1;"congruent";529;1
1;"congruent";565;1
1;"congruent";539;1
1;"neutral";464;1
1;"neutral";691;0
1;"incongruent";652;1
1;"neutral";450;0
1;"congruent";661;1
1;"neutral";485;1
1;"neutral";441;1
1;"neutral";1131;1
1;"incongruent";535;1
1;"neutral";508;1
1;"congruent";536;1
1;"incongruent";525;1
1;"incongruent";570;1
1;"neutral";575;1
1;"congruent";565;1
1;"neutral";514;1
1;"neutral";526;1
1;"congruent";563;1
1;"incongruent";880;1
1;"neutral";550;1
1;"neutral";483;0
1;"congruent";934;1
1;"neutral";573;1
1;"incongruent";427;1
1;"neutral";645;1
1;"incongruent";820;1
1;"neutral";616;1
1;"incongruent";591;1
1;"congruent";693;1
1;"incongruent";526;1
1;"incongruent";570;1
1;"incongruent";592;1
1;"incongruent";622;1
1;"congruent";493;1
1;"neutral";664;1
1;"congruent";496;1
1;"congruent";628;1
1;"neutral";499;1
1;"congruent";494;1
1;"incongruent";610;1
1;"congruent";513;0
1;"incongruent";629;1
1;"incongruent";460;1
1;"congruent";551;1
1;"incongruent";604;1
1;"neutral";467;1
1;"congruent";661;1
2;"congruent";668;1
2;"incongruent";580;1
2;"congruent";545;1
2;"incongruent";414;1
2;"neutral";416;1
2;"congruent";473;0
2;"neutral";565;1
2;"incongruent";490;1
2;"incongruent";446;1
2;"incongruent";504;1
2;"congruent";484;1
2;"incongruent";400;1
2;"congruent";665;1
2;"neutral";497;1
2;"incongruent";468;1
2;"congruent";487;1
2;"congruent";451;1
2;"incongruent";477;1
2;"incongruent";448;1
2;"neutral";451;1
2;"congruent";589;1
2;"neutral";395;1
2;"congruent";500;1
2;"congruent";480;1
2;"incongruent";443;1
2;"neutral";406;0
2;"neutral";423;1
2;"neutral";480;1
2;"neutral";476;1
2;"incongruent";599;1
2;"congruent";413;0
2;"congruent";551;1
2;"congruent";468;1
2;"incongruent";567;1
2;"congruent";548;1
2;"neutral";425;1
2;"incongruent";492;1
2;"neutral";527;0
2;"incongruent";627;1
2;"neutral";579;1
2;"incongruent";528;1
2;"neutral";445;1
2;"congruent";375;1
2;"neutral";432;1
2;"neutral";402;0
2;"congruent";450;1
2;"incongruent";397;1
2;"congruent";846;1
2;"incongruent";643;1
2;"neutral";443;0
2;"incongruent";509;1
2;"neutral";441;0
2;"incongruent";620;1
2;"incongruent";618;1
2;"neutral";537;1
2;"congruent";542;1
2;"incongruent";539;1
2;"neutral";600;1
2;"neutral";534;1
2;"incongruent";451;1
2;"congruent";565;1
2;"incongruent";491;1
2;"congruent";414;1
2;"congruent";416;1
2;"incongruent";570;0
2;"incongruent";935;1
2;"neutral";478;1
2;"incongruent";449;1
2;"neutral";436;1
2;"congruent";438;1
2;"neutral";424;1
2;"congruent";626;1
2;"neutral";712;1
2;"neutral";514;1
2;"congruent";534;1
2;"neutral";386;1
2;"neutral";579;1
2;"neutral";393;1
2;"incongruent";426;0
2;"congruent";492;1
2;"neutral";504;1
2;"incongruent";452;0
2;"incongruent";582;1
2;"congruent";387;1
2;"congruent";461;1
2;"congruent";648;1
2;"incongruent";639;1
2;"congruent";518;1
2;"congruent";539;1
2;"incongruent";600;1
2;"neutral";1958;1
2;"congruent";671;1
2;"congruent";455;1
2;"incongruent";514;1
2;"congruent";502;1
2;"congruent";418;1
2;"congruent";516;1
2;"neutral";816;1
2;"neutral";491;1
2;"incongruent";471;1
2;"neutral";586;0
2;"congruent";664;0
2;"neutral";568;1
2;"neutral";870;1
2;"neutral";611;1
2;"incongruent";594;1
2;"neutral";656;1
2;"congruent";440;1
2;"incongruent";490;1
2;"incongruent";446;1
2;"neutral";408;1
2;"congruent";409;1
2;"neutral";411;1
2;"neutral";364;1
2;"congruent";453;1
2;"incongruent";719;1
2;"neutral";528;1
2;"neutral";469;1
2;"congruent";463;1
2;"neutral";410;1
2;"incongruent";500;1
2;"neutral";424;1
2;"incongruent";537;1
2;"neutral";366;1
2;"incongruent";462;1
2;"congruent";417;1
2;"incongruent";499;1
2;"incongruent";502;1
2;"incongruent";466;1
2;"incongruent";501;1
2;"congruent";457;1
2;"neutral";396;0
2;"congruent";565;1
2;"congruent";442;1
2;"neutral";781;1
2;"congruent";400;1
2;"incongruent";561;1
2;"congruent";462;1
2;"incongruent";409;1
2;"incongruent";698;1
2;"congruent";419;1
2;"incongruent";421;1
2;"neutral";454;0
2;"congruent";593;1
3;"congruent";673;1
3;"incongruent";491;1
3;"congruent";494;1
3;"incongruent";442;1
3;"neutral";460;1
3;"congruent";646;1
3;"neutral";606;1
3;"incongruent";492;1
3;"incongruent";831;1
3;"incongruent";531;1
3;"congruent";448;1
3;"incongruent";450;1
3;"congruent";460;1
3;"neutral";495;1
3;"incongruent";530;1
3;"congruent";551;1
3;"congruent";428;1
3;"incongruent";389;1
3;"incongruent";478;1
3;"neutral";457;1
3;"congruent";691;1
3;"neutral";412;1
3;"congruent";621;1
3;"congruent";484;1
3;"incongruent";455;1
3;"neutral";410;1
3;"neutral";427;1
3;"neutral";484;1
3;"neutral";399;1
3;"incongruent";465;1
3;"congruent";667;1
3;"congruent";444;1
3;"congruent";414;1
3;"incongruent";399;1
3;"congruent";768;1
3;"neutral";402;1
3;"incongruent";531;1
3;"neutral";352;1
3;"incongruent";440;1
3;"neutral";466;1
3;"incongruent";540;1
3;"neutral";473;1
3;"congruent";388;1
3;"neutral";341;1
3;"neutral";516;1
3;"congruent";544;1
3;"incongruent";501;1
3;"congruent";425;1
3;"incongruent";482;1
3;"neutral";357;1
3;"incongruent";350;1
3;"neutral";293;0
3;"incongruent";508;1
3;"incongruent";447;1
3;"neutral";617;1
3;"congruent";393;1
3;"incongruent";490;1
3;"neutral";437;1
3;"neutral";391;1
3;"incongruent";368;1
3;"congruent";448;1
3;"incongruent";386;0
3;"congruent";579;1
3;"congruent";888;1
3;"incongruent";686;1
3;"incongruent";678;1
3;"neutral";518;1
3;"incongruent";578;1
3;"neutral";584;1
3;"congruent";493;1
3;"neutral";448;1
3;"congruent";452;1
3;"neutral";446;1
3;"neutral";384;1
3;"congruent";441;1
3;"neutral";467;1
3;"neutral";374;1
3;"neutral";398;1
3;"incongruent";463;0
3;"congruent";586;1
3;"neutral";352;1
3;"incongruent";400;1
3;"incongruent";377;1
3;"congruent";474;1
3;"congruent";397;0
3;"congruent";470;1
3;"incongruent";472;1
3;"congruent";483;1
3;"congruent";502;1
3;"incongruent";402;1
3;"neutral";459;1
3;"congruent";413;1
3;"congruent";503;1
3;"incongruent";442;1
3;"congruent";460;1
3;"congruent";415;1
3;"congruent";424;1
3;"neutral";562;1
3;"neutral";447;1
3;"incongruent";417;1
3;"neutral";910;1
3;"congruent";505;1
3;"neutral";381;0
3;"neutral";461;1
3;"neutral";480;1
3;"incongruent";499;1
3;"neutral";431;1
3;"congruent";537;0
3;"incongruent";595;1
3;"incongruent";595;1
3;"neutral";385;1
3;"congruent";458;1
3;"neutral";404;1
3;"neutral";510;1
3;"congruent";698;1
3;"incongruent";755;1
3;"neutral";565;1
3;"neutral";474;1
3;"congruent";437;1
3;"neutral";471;1
3;"incongruent";505;1
3;"neutral";445;1
3;"incongruent";463;1
3;"neutral";418;1
3;"incongruent";411;1
3;"congruent";565;1
3;"incongruent";394;1
3;"incongruent";627;1
3;"incongruent";441;1
3;"incongruent";435;1
3;"congruent";405;1
3;"neutral";590;1
3;"congruent";565;1
3;"congruent";500;1
3;"neutral";477;1
3;"congruent";425;1
3;"incongruent";507;1
3;"congruent";694;1
3;"incongruent";407;1
3;"incongruent";552;1
3;"congruent";469;1
3;"incongruent";391;1
3;"neutral";616;1
3;"congruent";463;1
4;"congruent";602;1
4;"incongruent";537;1
4;"congruent";542;1
4;"incongruent";578;1
4;"neutral";520;1
4;"congruent";557;1
4;"neutral";530;1
4;"incongruent";566;1
4;"incongruent";516;1
4;"incongruent";544;1
4;"congruent";573;1
4;"incongruent";546;1
4;"congruent";535;1
4;"neutral";548;1
4;"incongruent";497;1
4;"congruent";517;1
4;"congruent";578;1
4;"incongruent";543;1
4;"incongruent";524;1
4;"neutral";472;1
4;"congruent";500;1
4;"neutral";535;1
4;"congruent";532;1
4;"congruent";544;1
4;"incongruent";502;1
4;"neutral";474;1
4;"neutral";501;1
4;"neutral";505;1
4;"neutral";485;1
4;"incongruent";512;1
4;"congruent";548;1
4;"congruent";562;1
4;"congruent";495;1
4;"incongruent";618;1
4;"congruent";529;1
4;"neutral";494;1
4;"incongruent";489;1
4;"neutral";501;1
4;"incongruent";497;1
4;"neutral";564;1
4;"incongruent";602;1
4;"neutral";592;1
4;"congruent";526;1
4;"neutral";563;1
4;"neutral";480;1
4;"congruent";579;1
4;"incongruent";546;1
4;"congruent";510;1
