"ID";"congruency";"RT";"accuracy"
1;"neutral";1389;1
1;"neutral";1200;1
1;"neutral";718;1
1;"incongruent";831;0
1;"neutral";743;1
1;"incongruent";701;1
1;"incongruent";838;1
1;"incongruent";659;1
1;"congruent";739;1
1;"incongruent";717;0
1;"neutral";670;1
1;"congruent";670;1
1;"congruent";626;1
1;"neutral";725;1
1;"incongruent";591;1
1;"congruent";589;1
1;"incongruent";835;1
1;"congruent";663;1
1;"incongruent";911;1
1;"congruent";557;1
1;"congruent";843;1
1;"neutral";623;1
1;"congruent";558;1
1;"incongruent";819;1
1;"congruent";575;1
1;"congruent";461;1
1;"congruent";504;1
1;"congruent";508;1
1;"incongruent";664;1
1;"neutral";555;1
1;"neutral";613;1
1;"incongruent";547;1
1;"congruent";609;1
1;"neutral";695;1
1;"congruent";480;1
1;"congruent";555;1
1;"neutral";633;1
1;"incongruent";892;1
1;"congruent";590;1
1;"incongruent";492;1
1;"incongruent";479;1
1;"incongruent";579;1
1;"congruent";472;1
1;"incongruent";1083;1
1;"incongruent";734;1
1;"neutral";595;1
1;"congruent";686;1
1;"incongruent";703;1
1;"neutral";791;1
1;"neutral";643;1
1;"congruent";634;1
1;"incongruent";585;1
1;"neutral";671;1
1;"incongruent";747;1
1;"neutral";562;1
1;"incongruent";727;0
1;"incongruent";817;1
1;"congruent";709;1
1;"incongruent";718;1
1;"congruent";983;1
1;"neutral";511;1
1;"incongruent";799;1
1;"incongruent";583;1
1;"congruent";613;1
1;"incongruent";499;1
1;"incongruent";815;1
1;"incongruent";563;1
1;"congruent";640;1
1;"congruent";551;1
1;"neutral";529;1
1;"neutral";737;1
1;"neutral";491;1
1;"incongruent";847;1
1;"neutral";548;1
1;"neutral";609;1
1;"congruent";591;1
1;"congruent";565;1
1;"congruent";603;1
1;"incongruent";513;1
1;"neutral";517;1
1;"incongruent";570;1
1;"neutral";695;1
1;"congruent";840;1
1;"neutral";485;1
1;"congruent";596;1
1;"congruent";606;1
1;"congruent";565;1
1;"neutral";538;1
1;"incongruent";823;1
1;"incongruent";571;1
1;"congruent";585;1
1;"neutral";591;1
1;"congruent";597;1
1;"neutral";491;1
1;"neutral";527;1
1;"neutral";491;1
1;"congruent";735;1
1;"neutral";649;1
1;"incongruent";665;1
1;"incongruent";940;1
1;"congruent";568;1
1;"congruent";533;1
1;"incongruent";650;1
1;"incongruent";746;1
1;"incongruent";1828;1
1;"neutral";714;1
1;"congruent";675;1
1;"neutral";819;1
1;"incongruent";1263;0
1;"congruent";607;1
1;"neutral";565;1
1;"congruent";459;1
1;"neutral";501;0
1;"neutral";681;1
1;"congruent";694;1
1;"neutral";683;1
1;"neutral";635;1
1;"neutral";658;1
1;"incongruent";642;0
1;"incongruent";1346;1
1;"neutral";795;1
1;"incongruent";567;0
1;"congruent";1188;1
1;"incongruent";674;1
1;"neutral";482;1
1;"neutral";605;1
1;"congruent";668;1
1;"congruent";548;1
1;"congruent";577;1
1;"congruent";526;1
1;"incongruent";739;1
1;"neutral";1085;1
1;"neutral";608;1
1;"incongruent";574;1
1;"congruent";580;1
1;"neutral";602;1
1;"incongruent";760;1
1;"neutral";618;1
1;"neutral";489;1
1;"incongruent";709;1
1;"incongruent";614;1
1;"congruent";541;1
1;"neutral";698;1
1;"congruent";531;1
2;"neutral";499;1
2;"neutral";822;1
2;"neutral";714;1
2;"incongruent";708;1
2;"neutral";549;1
2;"incongruent";474;1
2;"incongruent";645;1
2;"incongruent";549;1
2;"congruent";594;1
2;"incongruent";633;1
2;"neutral";600;1
2;"congruent";662;1
2;"congruent";630;1
2;"neutral";661;1
2;"incongruent";693;1
2;"congruent";518;1
2;"incongruent";643;1
2;"congruent";530;1
2;"incongruent";823;1
2;"congruent";579;1
2;"congruent";481;1
2;"neutral";548;1
2;"congruent";537;1
2;"incongruent";606;1
2;"congruent";581;1
2;"congruent";579;1
2;"congruent";681;1
2;"congruent";609;1
2;"incongruent";615;1
2;"neutral";574;1
2;"neutral";516;1
2;"incongruent";600;1
2;"congruent";519;1
2;"neutral";603;1
2;"congruent";633;1
2;"congruent";521;1
2;"neutral";493;1
2;"incongruent";784;1
2;"congruent";476;1
2;"incongruent";535;1
2;"incongruent";532;0
2;"incongruent";1169;1
2;"congruent";461;1
2;"incongruent";760;1
2;"incongruent";634;1
2;"neutral";674;1
2;"congruent";546;1
2;"incongruent";527;1
2;"neutral";531;1
2;"neutral";488;1
2;"congruent";532;1
2;"incongruent";521;1
2;"neutral";533;1
2;"incongruent";610;0
2;"neutral";936;1
2;"incongruent";592;1
2;"incongruent";758;0
2;"congruent";632;1
2;"incongruent";639;1
2;"congruent";1054;1
2;"neutral";537;1
2;"incongruent";605;1
2;"incongruent";1156;1
2;"congruent";681;1
2;"incongruent";569;1
2;"incongruent";558;0
2;"incongruent";1060;1
2;"congruent";590;1
2;"congruent";572;1
2;"neutral";793;1
2;"neutral";796;1
2;"neutral";584;1
2;"incongruent";678;1
2;"neutral";766;1
2;"neutral";521;1
2;"congruent";526;1
2;"congruent";522;1
2;"congruent";510;1
2;"incongruent";890;1
2;"neutral";576;1
2;"incongruent";598;1
2;"neutral";628;1
2;"congruent";676;1
2;"neutral";540;1
2;"congruent";449;1
2;"congruent";707;1
2;"congruent";557;1
2;"neutral";474;1
2;"incongruent";525;0
2;"incongruent";1257;1
2;"congruent";584;1
2;"neutral";686;1
2;"congruent";495;1
2;"neutral";506;1
2;"neutral";526;1
2;"neutral";707;1
2;"congruent";612;1
2;"neutral";563;1
2;"incongruent";504;1
2;"incongruent";532;1
2;"congruent";417;1
2;"congruent";475;1
2;"incongruent";729;1
2;"incongruent";616;0
2;"incongruent";1550;1
2;"neutral";542;1
2;"congruent";698;1
2;"neutral";595;1
2;"incongruent";466;1
2;"congruent";588;1
2;"neutral";514;1
2;"congruent";534;1
2;"neutral";675;1
2;"neutral";548;1
2;"congruent";473;1
2;"neutral";556;1
2;"neutral";529;1
2;"neutral";494;1
2;"incongruent";601;1
2;"incongruent";616;1
2;"neutral";622;1
2;"incongruent";909;1
2;"congruent";404;1
2;"incongruent";701;1
2;"neutral";558;1
2;"neutral";523;1
2;"congruent";663;1
2;"congruent";495;1
2;"congruent";531;1
2;"congruent";455;1
2;"incongruent";1258;1
2;"neutral";649;1
2;"neutral";497;1
2;"incongruent";564;1
2;"congruent";674;1
2;"neutral";450;1
2;"incongruent";653;1
2;"neutral";564;1
2;"neutral";665;1
2;"incongruent";570;1
2;"incongruent";632;1
2;"congruent";503;1
2;"neutral";515;1
2;"congruent";375;1
3;"neutral";787;1
3;"neutral";1182;1
3;"neutral";667;1
3;"incongruent";651;1
3;"neutral";499;1
3;"incongruent";655;1
3;"incongruent";918;1
3;"incongruent";588;1
3;"congruent";867;1
3;"incongruent";1039;1
3;"neutral";873;1
3;"congruent";1078;1
3;"congruent";568;1
3;"neutral";574;1
3;"incongruent";411;1
3;"congruent";733;1
3;"incongruent";982;1
3;"congruent";622;0
3;"incongruent";1053;1
3;"congruent";734;1
3;"congruent";688;1
3;"neutral";808;1
3;"congruent";692;1
3;"incongruent";765;1
3;"congruent";639;1
3;"congruent";590;1
3;"congruent";604;1
3;"congruent";907;1
3;"incongruent";889;1
3;"neutral";670;1
3;"neutral";734;1
3;"incongruent";736;1
3;"congruent";866;1
3;"neutral";686;1
3;"congruent";791;1
3;"congruent";866;1
3;"neutral";831;1
3;"incongruent";739;1
3;"congruent";548;1
3;"incongruent";777;1
3;"incongruent";532;0
3;"incongruent";1433;1
3;"congruent";804;1
3;"incongruent";639;1
3;"incongruent";670;1
3;"neutral";686;1
3;"congruent";863;1
3;"incongruent";908;1
3;"neutral";746;1
3;"neutral";732;1
3;"congruent";781;1
3;"incongruent";624;1
3;"neutral";839;1
3;"incongruent";555;1
3;"neutral";776;1
3;"incongruent";683;1
3;"incongruent";748;1
3;"congruent";630;1
3;"incongruent";812;1
3;"congruent";632;1
3;"neutral";711;1
3;"incongruent";864;1
3;"incongruent";533;1
3;"congruent";561;1
3;"incongruent";638;1
3;"incongruent";750;1
3;"incongruent";712;1
3;"congruent";665;1
3;"congruent";769;1
3;"neutral";787;1
3;"neutral";782;1
3;"neutral";497;1
3;"incongruent";492;1
3;"neutral";448;1
3;"neutral";530;1
3;"congruent";375;1
3;"congruent";639;1
3;"congruent";1158;1
3;"incongruent";651;1
3;"neutral";410;1
3;"incongruent";756;1
3;"neutral";574;1
3;"congruent";635;1
3;"neutral";649;1
3;"congruent";690;1
3;"congruent";1051;1
3;"congruent";604;1
3;"neutral";498;1
3;"incongruent";838;1
3;"incongruent";586;1
3;"congruent";432;1
3;"neutral";474;1
3;"congruent";557;1
3;"neutral";954;1
3;"neutral";962;1
3;"neutral";985;1
3;"congruent";1017;1
3;"neutral";586;1
3;"incongruent";656;1
3;"incongruent";800;1
3;"congruent";499;1
3;"congruent";750;1
3;"incongruent";928;1
3;"incongruent";647;1
3;"incongruent";598;1
3;"neutral";396;1
3;"congruent";709;1
3;"neutral";606;1
3;"incongruent";508;1
3;"congruent";800;1
3;"neutral";595;1
3;"congruent";1113;1
3;"neutral";380;1
3;"neutral";741;1
3;"congruent";798;1
3;"neutral";410;1
3;"neutral";723;1
3;"neutral";612;1
3;"incongruent";866;1
3;"incongruent";935;1
3;"neutral";710;1
3;"incongruent";511;0
3;"congruent";1331;1
3;"incongruent";476;1
3;"neutral";414;1
3;"neutral";672;1
3;"congruent";568;1
3;"congruent";773;1
3;"congruent";583;1
3;"congruent";733;1
3;"incongruent";870;1
3;"neutral";684;1
3;"neutral";516;1
3;"incongruent";616;1
3;"congruent";534;0
3;"neutral";1011;1
3;"incongruent";723;1
3;"neutral";629;1
