subject,session,date,time,block,trial,delay,acc,rt,target_side
9001,1,10/3/2022,9:55,slow_practice,1,2000,1,4884.4513,right
9001,1,10/3/2022,9:55,slow_practice,2,2000,1,2057.1698,right
9001,1,10/3/2022,9:55,slow_practice,3,3000,1,1353.3644,left
9001,1,10/3/2022,9:55,slow_practice,4,2000,1,859.9006,left
9001,1,10/3/2022,9:55,slow_practice,5,2000,1,679.7064,right
9001,1,10/3/2022,9:55,slow_practice,6,2000,1,881.1497,right
9001,1,10/3/2022,9:55,slow_practice,7,3000,1,810.2968,left
9001,1,10/3/2022,9:55,slow_practice,8,3000,1,856.0831,left
9001,1,10/3/2022,9:55,fast_practice,1,2000,1,489.1408,left
9001,1,10/3/2022,9:55,fast_practice,2,3000,1,483.6455,left
9001,1,10/3/2022,9:55,fast_practice,3,3000,1,572.6692,right
9001,1,10/3/2022,9:55,fast_practice,4,2000,1,464.5566,left
9001,1,10/3/2022,9:55,fast_practice,5,2000,1,366.0514,left
9001,1,10/3/2022,9:55,fast_practice,6,3000,1,453.3296,left
9001,1,10/3/2022,9:55,fast_practice,7,2000,1,547.5743,right
9001,1,10/3/2022,9:55,fast_practice,8,3000,0,1286.786,left
9001,1,10/3/2022,9:55,fast_practice,9,3000,1,421.3217,left
9001,1,10/3/2022,9:55,fast_practice,10,2000,1,442.2084,right
9001,1,10/3/2022,9:55,fast_practice,11,2000,1,643.3143,left
9001,1,10/3/2022,9:55,fast_practice,12,2000,1,314.9267,left
9001,1,10/3/2022,9:55,fast_practice,13,3000,1,591.9913,left
9001,1,10/3/2022,9:55,fast_practice,14,2000,1,646.3202,left
9001,1,10/3/2022,9:55,fast_practice,15,3000,1,579.1582,right
9001,1,10/3/2022,9:55,fast_practice,16,2000,0,1335.1938,left
9001,1,10/3/2022,9:55,antisaccade,1,2000,1,539.1461,left
9001,1,10/3/2022,9:55,antisaccade,2,3000,1,466.2161,right
9001,1,10/3/2022,9:55,antisaccade,3,2000,1,475.9202,right
9001,1,10/3/2022,9:55,antisaccade,4,2000,1,907.5423,left
9001,1,10/3/2022,9:55,antisaccade,5,3000,1,700.0331,left
9001,1,10/3/2022,9:55,antisaccade,6,2000,0,1344.0343,right
9001,1,10/3/2022,9:55,antisaccade,7,3000,1,570.7277,right
9001,1,10/3/2022,9:55,antisaccade,8,3000,1,508.5725,left
9001,1,10/3/2022,9:55,antisaccade,9,2000,0,1641.6901,right
9001,1,10/3/2022,9:55,antisaccade,10,3000,1,541.851,left
9001,1,10/3/2022,9:55,antisaccade,11,3000,1,581.3505,right
9001,1,10/3/2022,9:55,antisaccade,12,2000,1,536.9918,right
9001,1,10/3/2022,9:55,antisaccade,13,3000,1,601.3337,right
9001,1,10/3/2022,9:55,antisaccade,14,3000,1,491.6411,left
9001,1,10/3/2022,9:55,antisaccade,15,2000,0,1924.6975,left
9001,1,10/3/2022,9:55,antisaccade,16,2000,0,1122.5142,left
9001,1,10/3/2022,9:55,antisaccade,17,2000,1,889.0814,left
9001,1,10/3/2022,9:55,antisaccade,18,3000,1,616.9248,left
9001,1,10/3/2022,9:55,antisaccade,19,3000,1,1195.0793,left
9001,1,10/3/2022,9:55,antisaccade,20,2000,0,170.036,left
9001,1,10/3/2022,9:55,antisaccade,21,2000,1,108.0006,right
9001,1,10/3/2022,9:55,antisaccade,22,3000,0,165.8673,left
9001,1,10/3/2022,9:55,antisaccade,23,3000,1,175.4399,left
9001,1,10/3/2022,9:55,antisaccade,24,2000,0,121.2529,right
9001,1,10/3/2022,9:55,antisaccade,25,3000,0,111.8237,right
9001,1,10/3/2022,9:55,antisaccade,26,2000,1,163.4331,left
9001,1,10/3/2022,9:55,antisaccade,27,2000,1,117.0871,right
9001,1,10/3/2022,9:55,antisaccade,28,3000,1,164.4427,left
9001,1,10/3/2022,9:55,antisaccade,29,3000,0,164.3989,left
9001,1,10/3/2022,9:55,antisaccade,30,3000,0,108.0087,right
9001,1,10/3/2022,9:55,antisaccade,31,3000,1,165.2676,left
9001,1,10/3/2022,9:55,antisaccade,32,3000,0,110.6027,right
9001,1,10/3/2022,9:55,antisaccade,33,3000,0,116.7119,right
9001,1,10/3/2022,9:55,antisaccade,34,2000,1,166.8789,left
9001,1,10/3/2022,9:55,antisaccade,35,2000,0,109.6418,right
9001,1,10/3/2022,9:55,antisaccade,36,3000,1,166.8522,left
9001,1,10/3/2022,9:55,antisaccade,37,2000,0,110.7459,right
9001,1,10/3/2022,9:55,antisaccade,38,2000,1,174.0917,left
9001,1,10/3/2022,9:55,antisaccade,39,3000,0,118.2393,right
9001,1,10/3/2022,9:55,antisaccade,40,2000,0,164.1727,left
9001,1,10/3/2022,9:55,antisaccade,41,3000,0,109.3839,right
9001,1,10/3/2022,9:55,antisaccade,42,3000,0,121.2492,right
9001,1,10/3/2022,9:55,antisaccade,43,2000,1,165.5289,left
9001,1,10/3/2022,9:55,antisaccade,44,2000,1,179.96,left
9001,1,10/3/2022,9:55,antisaccade,45,3000,1,163.8044,left
9001,1,10/3/2022,9:55,antisaccade,46,3000,0,179.9086,left
9001,1,10/3/2022,9:55,antisaccade,47,3000,0,167.5806,left
9001,1,10/3/2022,9:55,antisaccade,48,2000,0,182.3089,left
9001,1,10/3/2022,9:55,antisaccade,49,3000,1,185.8845,left
9001,1,10/3/2022,9:55,antisaccade,50,3000,0,112.5915,right
9001,1,10/3/2022,9:55,antisaccade,51,3000,1,166.3997,left
9001,1,10/3/2022,9:55,antisaccade,52,2000,1,162.9538,left
9001,1,10/3/2022,9:55,antisaccade,53,3000,1,113.3037,right
9001,1,10/3/2022,9:55,antisaccade,54,3000,0,164.7427,left
9001,1,10/3/2022,9:55,antisaccade,55,2000,0,107.6554,right
9001,1,10/3/2022,9:55,antisaccade,56,3000,1,166.4298,left
9001,1,10/3/2022,9:55,antisaccade,57,3000,0,165.7576,left
9001,1,10/3/2022,9:55,antisaccade,58,2000,1,109.1869,right
9001,1,10/3/2022,9:55,antisaccade,59,3000,0,161.088,left
9001,1,10/3/2022,9:55,antisaccade,60,3000,0,173.1003,left
9002,1,10/3/2022,10:01,slow_practice,1,2000,1,1291.0119,right
9002,1,10/3/2022,10:01,slow_practice,2,3000,1,1032.6798,left
9002,1,10/3/2022,10:01,slow_practice,3,3000,1,1089.9369,left
9002,1,10/3/2022,10:01,slow_practice,4,3000,1,887.8215,right
9002,1,10/3/2022,10:01,slow_practice,5,2000,1,887.6385,left
9002,1,10/3/2022,10:01,slow_practice,6,3000,1,816.4593,left
9002,1,10/3/2022,10:01,slow_practice,7,3000,1,865.1086,right
9002,1,10/3/2022,10:01,slow_practice,8,2000,1,726.7784,right
9002,1,10/3/2022,10:01,fast_practice,1,3000,1,1781.0732,left
9002,1,10/3/2022,10:01,fast_practice,2,2000,1,1520.319,right
9002,1,10/3/2022,10:01,fast_practice,3,2000,1,2118.7389,right
9002,1,10/3/2022,10:01,fast_practice,4,3000,1,1337.593,right
9002,1,10/3/2022,10:01,fast_practice,5,3000,1,1319.262,left
9002,1,10/3/2022,10:01,fast_practice,6,2000,0,1675.3713,right
9002,1,10/3/2022,10:01,fast_practice,7,3000,0,974.9029,right
9002,1,10/3/2022,10:01,fast_practice,8,3000,1,707.3256,right
9002,1,10/3/2022,10:01,fast_practice,9,2000,0,1329.1316,left
9002,1,10/3/2022,10:01,fast_practice,10,3000,0,2008.692,right
9002,1,10/3/2022,10:01,fast_practice,11,2000,0,1191.7723,left
9002,1,10/3/2022,10:01,fast_practice,12,2000,1,1039.7857,left
9002,1,10/3/2022,10:01,fast_practice,13,3000,0,1705.7559,right
9002,1,10/3/2022,10:01,fast_practice,14,3000,1,2065.8239,right
9002,1,10/3/2022,10:01,fast_practice,15,3000,1,801.6417,right
9002,1,10/3/2022,10:01,fast_practice,16,2000,1,905.9802,left
9002,1,10/3/2022,10:01,antisaccade,1,2000,1,965.416,left
9002,1,10/3/2022,10:01,antisaccade,2,2000,1,840.4408,right
9002,1,10/3/2022,10:01,antisaccade,3,2000,1,683.6367,left
9002,1,10/3/2022,10:01,antisaccade,4,3000,0,1066.7054,left
9002,1,10/3/2022,10:01,antisaccade,5,3000,1,699.7327,right
9002,1,10/3/2022,10:01,antisaccade,6,2000,1,683.0156,left
9002,1,10/3/2022,10:01,antisaccade,7,2000,0,2011.4784,left
9002,1,10/3/2022,10:01,antisaccade,8,2000,1,1860.5911,right
9002,1,10/3/2022,10:01,antisaccade,9,2000,0,1757.1804,left
9002,1,10/3/2022,10:01,antisaccade,10,3000,1,643.8315,right
9002,1,10/3/2022,10:01,antisaccade,11,2000,1,1216.3846,left
9002,1,10/3/2022,10:01,antisaccade,12,3000,0,1439.1737,left
9002,1,10/3/2022,10:01,antisaccade,13,2000,1,695.494,left
9002,1,10/3/2022,10:01,antisaccade,14,2000,0,1090.1498,left
9002,1,10/3/2022,10:01,antisaccade,15,3000,0,2357.0275,right
9002,1,10/3/2022,10:01,antisaccade,16,3000,1,1415.5247,right
9002,1,10/3/2022,10:01,antisaccade,17,3000,0,1960.576,left
9002,1,10/3/2022,10:01,antisaccade,18,2000,1,771.2773,left
9002,1,10/3/2022,10:01,antisaccade,19,3000,0,1538.9292,left
9002,1,10/3/2022,10:01,antisaccade,20,3000,1,1039.8436,right
9002,1,10/3/2022,10:01,antisaccade,21,2000,1,1032.9861,right
9002,1,10/3/2022,10:01,antisaccade,22,3000,0,1649.6622,left
9002,1,10/3/2022,10:01,antisaccade,23,2000,0,1180.6035,right
9002,1,10/3/2022,10:01,antisaccade,24,3000,1,639.4258,right
9002,1,10/3/2022,10:01,antisaccade,25,3000,0,1427.4263,left
9002,1,10/3/2022,10:01,antisaccade,26,2000,1,1609.8124,right
9002,1,10/3/2022,10:01,antisaccade,27,3000,1,541.981,right
9002,1,10/3/2022,10:01,antisaccade,28,3000,1,1141.4032,left
9002,1,10/3/2022,10:01,antisaccade,29,3000,1,966.3632,right
9002,1,10/3/2022,10:01,antisaccade,30,3000,1,952.845,right
9002,1,10/3/2022,10:01,antisaccade,31,2000,0,1390.7047,right
9002,1,10/3/2022,10:01,antisaccade,32,3000,0,985.3808,right
9002,1,10/3/2022,10:01,antisaccade,33,2000,1,714.0831,right
9002,1,10/3/2022,10:01,antisaccade,34,2000,1,638.2727,right
9002,1,10/3/2022,10:01,antisaccade,35,2000,1,800.207,left
9002,1,10/3/2022,10:01,antisaccade,36,3000,0,1490.2367,right
9002,1,10/3/2022,10:01,antisaccade,37,2000,1,941.641,left
