subject,session,date,time,block,trial,delay,acc,rt,target_side,V11,V12
9001,2,10/17/22,09:19,slow_practice,1,2000,1,1113.024,left,NA,
9001,2,10/17/22,09:19,slow_practice,2,3000,1,831.8649,right,NA,
9001,2,10/17/22,09:19,slow_practice,3,2000,1,671.683,left,NA,
9001,2,10/17/22,09:19,slow_practice,4,2000,0,3259.2019,right,NA,
9001,2,10/17/22,09:19,slow_practice,5,3000,1,645.3061,right,NA,
9001,2,10/17/22,09:19,slow_practice,6,2000,1,612.2343,right,NA,
9001,2,10/17/22,09:19,slow_practice,7,3000,1,558.5871,left,NA,
9001,2,10/17/22,09:19,slow_practice,8,3000,1,352.4529,right,NA,
9001,2,10/17/22,09:19,fast_practice,1,3000,1,588.1466,,NA,left
9001,2,10/17/22,09:19,fast_practice,2,2000,1,539.7513,,NA,left
9001,2,10/17/22,09:19,fast_practice,3,2000,1,354.2823,,NA,left
9001,2,10/17/22,09:19,fast_practice,4,3000,1,487.4596,,NA,left
9001,2,10/17/22,09:19,fast_practice,5,3000,1,573.1993,,NA,right
9001,2,10/17/22,09:19,fast_practice,6,2000,1,477.2218,,NA,left
9001,2,10/17/22,09:19,fast_practice,7,3000,0,337.9125,,NA,left
9001,2,10/17/22,09:19,fast_practice,8,2000,1,507.3634,,NA,left
9001,2,10/17/22,09:19,fast_practice,9,3000,1,408.6323,,NA,left
9001,2,10/17/22,09:19,fast_practice,10,2000,1,532.7833,,NA,left
9001,2,10/17/22,09:19,fast_practice,11,3000,1,478.5819,,NA,left
9001,2,10/17/22,09:19,fast_practice,12,3000,0,886.9059,,NA,right
9001,2,10/17/22,09:19,fast_practice,13,2000,1,930.1939,,NA,right
9001,2,10/17/22,09:19,fast_practice,14,2000,1,499.9573,,NA,left
9001,2,10/17/22,09:19,fast_practice,15,3000,1,577.9608,,NA,right
9001,2,10/17/22,09:19,fast_practice,16,3000,1,559.2552,,NA,right
9001,2,10/17/22,09:19,antisaccade,1,3000,1,477.5858,right,NA,
9001,2,10/17/22,09:19,antisaccade,2,3000,0,435.481,right,NA,
9001,2,10/17/22,09:19,antisaccade,3,3000,1,468.8985,right,NA,
9001,2,10/17/22,09:19,antisaccade,4,3000,1,513.966,right,NA,
9001,2,10/17/22,09:19,antisaccade,5,3000,1,429.6104,left,NA,
9001,2,10/17/22,09:19,antisaccade,6,3000,0,587.3216,left,NA,
9001,2,10/17/22,09:19,antisaccade,7,3000,1,476.0744,left,NA,
9001,2,10/17/22,09:19,antisaccade,8,3000,1,482.2203,left,NA,
9001,2,10/17/22,09:19,antisaccade,9,3000,1,477.3396,right,NA,
9001,2,10/17/22,09:19,antisaccade,10,3000,1,348.7109,left,NA,
9001,2,10/17/22,09:19,antisaccade,11,3000,1,611.58,right,NA,
9001,2,10/17/22,09:19,antisaccade,12,3000,1,722.4253,right,NA,
9001,2,10/17/22,09:19,antisaccade,13,2000,0,1142.9549,right,NA,
9001,2,10/17/22,09:19,antisaccade,14,2000,0,1630.9917,right,NA,
9001,2,10/17/22,09:19,antisaccade,15,2000,1,554.5102,left,NA,
9001,2,10/17/22,09:19,antisaccade,16,3000,1,509.1976,left,NA,
9001,2,10/17/22,09:19,antisaccade,17,3000,1,489.836,right,NA,
9001,2,10/17/22,09:19,antisaccade,18,3000,1,1017.1738,left,NA,
9001,2,10/17/22,09:19,antisaccade,19,2000,1,556.7368,left,NA,
9001,2,10/17/22,09:19,antisaccade,20,2000,0,2651.3733,left,NA,
9001,2,10/17/22,09:19,antisaccade,21,3000,1,630.5605,right,NA,
9001,2,10/17/22,09:19,antisaccade,22,2000,1,1359.4294,right,NA,
9001,2,10/17/22,09:19,antisaccade,23,2000,1,726.8826,left,NA,
9001,2,10/17/22,09:19,antisaccade,24,2000,0,654.0197,left,NA,
9001,2,10/17/22,09:19,antisaccade,25,2000,1,533.3658,right,NA,
9001,2,10/17/22,09:19,antisaccade,26,3000,1,464.1694,left,NA,
9001,2,10/17/22,09:19,antisaccade,27,2000,1,539.7894,left,NA,
9001,2,10/17/22,09:19,antisaccade,28,2000,0,1763.5288,right,NA,
9001,2,10/17/22,09:19,antisaccade,29,2000,0,5377.7097,right,NA,
9001,2,10/17/22,09:19,antisaccade,30,3000,1,419.3237,right,NA,
9001,2,10/17/22,09:19,antisaccade,31,2000,0,959.6172,left,NA,
