subject,session,date,time,condition,block,sub_block,trial,subtrial,rt,acc
9001,1,10/10/22,09:18,practice,0,1,1,1,441.0773,1
9001,1,10/10/22,09:18,practice,0,1,2,2,348.496,1
9001,1,10/10/22,09:18,practice,0,1,3,3,378.3015,1
9001,1,10/10/22,09:18,practice,0,1,4,4,377.3032,1
9001,1,10/10/22,09:18,practice,0,1,5,5,403.0363,1
9001,1,10/10/22,09:18,practice,0,1,6,6,453.1416,1
9001,1,10/10/22,09:18,practice,0,1,7,7,463.0451,1
9001,1,10/10/22,09:18,practice,0,1,8,8,477.2024,1
9001,1,10/10/22,09:18,random,1,1,1,1,525.1675,1
9001,1,10/10/22,09:18,random,1,1,2,2,469.7998,1
9001,1,10/10/22,09:18,random,1,1,3,3,471.0932,1
9001,1,10/10/22,09:18,random,1,1,4,4,319.2003,1
9001,1,10/10/22,09:18,random,1,1,5,5,434.5214,1
9001,1,10/10/22,09:18,random,1,1,6,6,406.7747,1
9001,1,10/10/22,09:18,random,1,1,7,7,390.9605,1
9001,1,10/10/22,09:18,random,1,1,8,8,402.0882,1
9001,1,10/10/22,09:18,random,1,1,9,9,373.9298,1
9001,1,10/10/22,09:18,random,1,1,10,10,409.3072,1
9001,1,10/10/22,09:18,random,2,1,11,1,438.4741,0
9001,1,10/10/22,09:18,random,2,1,12,2,337.736,1
9001,1,10/10/22,09:18,random,2,1,13,3,429.0886,1
9001,1,10/10/22,09:18,random,2,1,14,4,422.5184,1
9001,1,10/10/22,09:18,random,2,1,15,5,497.7852,1
9001,1,10/10/22,09:18,random,2,1,16,6,568.1245,1
9001,1,10/10/22,09:18,random,2,1,17,7,441.2202,1
9001,1,10/10/22,09:18,random,2,1,18,8,419.6926,1
9001,1,10/10/22,09:18,random,2,1,19,9,416.966,1
9001,1,10/10/22,09:18,random,2,1,20,10,493.6555,1
9001,1,10/10/22,09:18,random,3,1,21,1,468.6459,1
9001,1,10/10/22,09:18,random,3,1,22,2,534.069,1
9001,1,10/10/22,09:18,random,3,1,23,3,478.3398,1
9001,1,10/10/22,09:18,random,3,1,24,4,446.9876,1
9001,1,10/10/22,09:18,random,3,1,25,5,505.1364,1
9001,1,10/10/22,09:18,random,3,1,26,6,480.6684,1
9001,1,10/10/22,09:18,random,3,1,27,7,365.6403,1
9001,1,10/10/22,09:18,random,3,1,28,8,413.7176,1
9001,1,10/10/22,09:18,random,3,1,29,9,491.353,1
9001,1,10/10/22,09:18,random,3,1,30,10,435.7993,1
9001,1,10/10/22,09:18,random,4,1,31,1,362.265,1
9001,1,10/10/22,09:18,random,4,1,32,2,361.4389,1
9001,1,10/10/22,09:18,random,4,1,33,3,417.456,1
9001,1,10/10/22,09:18,random,4,1,34,4,467.7908,1
9001,1,10/10/22,09:18,random,4,1,35,5,493.5059,1
9001,1,10/10/22,09:18,random,4,1,36,6,432.1025,1
9001,1,10/10/22,09:18,random,4,1,37,7,613.5216,1
9001,1,10/10/22,09:18,random,4,1,38,8,401.0489,1
9001,1,10/10/22,09:18,random,4,1,39,9,419.563,1
9001,1,10/10/22,09:18,random,4,1,40,10,537.8393,1
9001,1,10/10/22,09:18,random,5,1,41,1,451.7186,1
9001,1,10/10/22,09:18,random,5,1,42,2,488.6116,1
9001,1,10/10/22,09:18,random,5,1,43,3,422.4694,1
9001,1,10/10/22,09:18,random,5,1,44,4,388.1946,1
9001,1,10/10/22,09:18,random,5,1,45,5,474.0069,1
9001,1,10/10/22,09:18,random,5,1,46,6,615.2505,1
9001,1,10/10/22,09:18,random,5,1,47,7,525.6275,1
9001,1,10/10/22,09:18,random,5,1,48,8,547.317,1
9001,1,10/10/22,09:18,random,5,1,49,9,573.5027,1
9001,1,10/10/22,09:18,random,5,1,50,10,391.4368,1
1,NA,,,,NA,NA,NA,NA,NA,NA
9002,1,10/10/22,09:27,practice,0,1,1,1,574.3687,1
9002,1,10/10/22,09:27,practice,0,1,2,2,566.8803,1
9002,1,10/10/22,09:27,practice,0,1,3,3,676.4495,1
9002,1,10/10/22,09:27,practice,0,1,4,4,459.6926,1
9002,1,10/10/22,09:27,practice,0,1,5,5,453.3995,1
9002,1,10/10/22,09:27,practice,0,1,6,6,741.1827,1
9002,1,10/10/22,09:27,practice,0,1,7,7,581.4075,1
9002,1,10/10/22,09:27,practice,0,1,8,8,433.9241,1
9002,1,10/10/22,09:27,random,1,1,1,1,436.1191,1
9002,1,10/10/22,09:27,random,1,1,2,2,449.6811,1
9002,1,10/10/22,09:27,random,1,1,3,3,488.4638,1
9002,1,10/10/22,09:27,random,1,1,4,4,449.4297,1
9002,1,10/10/22,09:27,random,1,1,5,5,478.1266,0
9002,1,10/10/22,09:27,random,1,1,6,6,6.6948,0
9002,1,10/10/22,09:27,random,1,1,7,7,495.0008,1
9002,1,10/10/22,09:27,random,1,1,8,8,477.3937,1
9002,1,10/10/22,09:27,random,1,1,9,9,688.8324,1
9002,1,10/10/22,09:27,random,1,1,10,10,384.0021,1
9002,1,10/10/22,09:27,random,2,1,11,1,488.3907,1
9002,1,10/10/22,09:27,random,2,1,12,2,533.1514,1
