subject,session,date,time,list,phase,serial_position,cue,target,rt,correct,...11,...12,...13,...14,...15,...16
9001,1,10/10/2022,09:00:00,1,recall,10,NA,venue,3334.3659,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,1,recall,9,NA,vista,3840.8326,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,1,recall,5,NA,beach,2495.6825,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,1,recall,2,NA,batch,2385.1959,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,1,recall,7,NA,ebony,1895.1286,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,1,recall,1,NA,novel,11645.9357,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,2,recall,10,NA,pearl,3731.5351,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,2,recall,9,NA,liver,1959.9628,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,2,recall,3,NA,intro,3292.4548,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,2,recall,1,NA,music,1729.7698,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,2,recall,2,NA,angel,1747.8568,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,2,recall,4,NA,thing,2453.0547,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,2,recall,8,NA,shelf,2855.0935,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,2,recall,7,NA,metal,2223.3577,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,3,recall,10,NA,width,2939.1698,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,3,recall,6,NA,glory,2015.8823,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,3,recall,1,NA,bread,3102.3807,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,3,recall,3,NA,booth,2197.5784,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,4,recall,10,NA,karma,2712.8044,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,4,recall,9,NA,piano,2171.9026,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,4,recall,7,NA,thief,1457.5352,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,4,recall,1,NA,hobby,2937.9265,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,4,recall,2,NA,wagon,1857.077,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,4,recall,3,NA,arbor,1633.7836,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,4,recall,4,NA,youth,1498.7121,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,4,recall,6,NA,locus,15798.6567,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,5,recall,10,NA,chunk,2597.8185,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,5,recall,9,NA,bunny,1756.1758,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,5,recall,8,NA,ozone,2383.8329,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,5,recall,7,NA,drake,1579.017,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,5,recall,4,NA,tooth,1502.6018,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,5,recall,3,NA,beard,1574.0186,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,5,recall,2,NA,world,5980.4435,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,5,recall,1,NA,lemur,1629.0181,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,6,recall,10,NA,lotus,3645.1781,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,6,recall,1,NA,ridge,4672.1781,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,6,recall,2,NA,alley,3569.386,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,7,recall,10,NA,river,2261.9723,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,7,recall,1,NA,saint,2098.9624,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,7,recall,3,NA,adobe,10583.815,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,8,recall,1,NA,clock,4093.6351,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,8,recall,4,NA,valve,3424.4924,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,8,recall,3,NA,wrist,1547.4802,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,8,recall,6,NA,house,3687.0748,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,8,recall,10,NA,drama,3313.341,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,8,recall,9,NA,smith,1273.5897,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,8,recall,2,NA,flyer,5694.4303,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,9,recall,10,NA,puppy,3072.6277,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,9,recall,9,NA,theft,4252.1896,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,9,recall,8,NA,movie,2363.9174,1,NA,NA,NA,NA,NA,NA
9001,1,10/10/2022,09:00:00,9,recall,7,NA,elite,1669.9188,1,NA,NA,NA,NA,NA,NA
