subject,session,date,time,list,phase,serial_position,cue,target,rt,correct
9001,2,10/24/22,09:00:00,1,recall,1,NA,irony,2998.7101,1
9001,2,10/24/22,09:00:00,1,recall,3,NA,fever,2789.4837,1
9001,2,10/24/22,09:00:00,1,recall,9,NA,cargo,4408.2065,1
9001,2,10/24/22,09:00:00,1,recall,8,NA,witch,2456.2418,1
9001,2,10/24/22,09:00:00,1,recall,4,NA,arrow,2269.9616,1
9001,2,10/24/22,09:00:00,1,recall,5,NA,actor,3688.4048,1
9001,2,10/24/22,09:00:00,2,recall,10,NA,cobra,4548.8041,1
9001,2,10/24/22,09:00:00,2,recall,9,NA,rebel,1773.6918,1
9001,2,10/24/22,09:00:00,2,recall,7,NA,death,1695.7371,1
9001,2,10/24/22,09:00:00,2,recall,5,NA,march,1708.6454,1
9001,2,10/24/22,09:00:00,2,recall,6,NA,shirt,2290.9591,1
9001,2,10/24/22,09:00:00,2,recall,4,NA,bacon,5572.7469,1
9001,2,10/24/22,09:00:00,2,recall,1,NA,habit,6719.2757,1
9001,2,10/24/22,09:00:00,2,recall,2,NA,owner,2614.3625,1
9001,2,10/24/22,09:00:00,3,recall,10,NA,event,2336.0681,1
9001,2,10/24/22,09:00:00,3,recall,9,NA,grief,2358.2427,1
9001,2,10/24/22,09:00:00,3,recall,8,NA,aorta,10242.6776,1
9001,2,10/24/22,09:00:00,3,recall,6,NA,moron,4356.9079,1
9001,2,10/24/22,09:00:00,3,recall,2,NA,genie,24334.8817,1
9001,2,10/24/22,09:00:00,4,recall,10,NA,cedar,3027.4292,1
9001,2,10/24/22,09:00:00,4,recall,7,NA,entry,2060.1255,1
9001,2,10/24/22,09:00:00,4,recall,5,NA,daddy,15472.7722,1
9001,2,10/24/22,09:00:00,4,recall,9,NA,photo,4263.7661,1
9001,2,10/24/22,09:00:00,4,recall,1,NA,spite,11745.2725,1
9001,2,10/24/22,09:00:00,4,recall,2,NA,rabbi,5547.3044,1
9001,2,10/24/22,09:00:00,5,recall,1,NA,queen,4886.4327,1
9001,2,10/24/22,09:00:00,5,recall,2,NA,uncle,2070.0143,1
9001,2,10/24/22,09:00:00,6,recall,9,NA,scene,2735.4915,1
9001,2,10/24/22,09:00:00,6,recall,10,NA,saver,1429.0405,1
9001,2,10/24/22,09:00:00,6,recall,6,NA,woman,2200.0627,1
9001,2,10/24/22,09:00:00,6,recall,7,NA,wrath,2134.6354,1
9001,2,10/24/22,09:00:00,6,recall,8,NA,child,2292.5071,1
9001,2,10/24/22,09:00:00,6,recall,8,NA,cannon,3472.3655,0
9001,2,10/24/22,09:00:00,6,recall,4,NA,gloom,6394.836,1
9001,2,10/24/22,09:00:00,7,recall,8,NA,guilt,5150.5141,1
9001,2,10/24/22,09:00:00,7,recall,9,NA,vinyl,4356.4619,1
9001,2,10/24/22,09:00:00,7,recall,10,NA,thorn,2223.3045,1
9001,2,10/24/22,09:00:00,7,recall,1,NA,mouth,8494.3327,1
9001,2,10/24/22,09:00:00,7,recall,2,NA,urine,1943.9923,1
9001,2,10/24/22,09:00:00,7,recall,3,NA,maker,3574.5464,1
9001,2,10/24/22,09:00:00,7,recall,4,NA,depth,3192.4594,1
9001,2,10/24/22,09:00:00,8,recall,10,NA,wheat,2411.7444,1
9001,2,10/24/22,09:00:00,8,recall,9,NA,trunk,2878.5114,1
