subject,session,date,time,block,trial,string,match,rt,acc,target_length,total_correct
9001,2,10/24/22,10:46,0,1,WLDHY_____WLBHY,nonmatch,1379.4766,1,5,NA
9001,2,10/24/22,10:46,0,2,PHCMNYW_____PHCMNYW,match,1556.3038,1,7,NA
9001,2,10/24/22,10:46,0,3,MZP_____MZP,match,784.5942,1,3,NA
9001,2,10/24/22,10:46,0,4,YXC_____HXC,nonmatch,1011.0697,1,3,NA
9001,2,10/24/22,10:46,0,5,GBMNH_____GBMNH,match,957.5904,1,5,NA
9001,2,10/24/22,10:46,0,6,SNCYHDL_____SPCYHDL,nonmatch,1176.9114,1,7,NA
9001,2,10/24/22,10:46,1,1,CFRSGBWTK_____CFRMGBWTK,nonmatch,1270.3878,0,9,0
9001,2,10/24/22,10:46,1,2,LBM_____LBV,nonmatch,835.5539,1,3,1
9001,2,10/24/22,10:46,1,3,FKGZMSWPX_____FKGZMSWPX,match,1646.8667,1,9,2
9001,2,10/24/22,10:46,1,4,KSGHFQLYW_____KSGHFQLYW,match,3833.441,1,9,3
9001,2,10/24/22,10:46,1,5,JZMCBVNPT_____JZMCBVNPT,match,2650.0239,1,9,4
9001,2,10/24/22,10:46,1,6,XWJSMR_____XWJSMR,match,2025.7358,1,6,5
9001,2,10/24/22,10:46,1,7,NPQ_____NPQ,match,1028.9096,1,3,6
9001,2,10/24/22,10:46,1,8,YTKXLH_____YTKXLH,match,3183.4503,1,6,7
9001,2,10/24/22,10:46,1,9,VXNMPKDQH_____VXNMPZDQH,nonmatch,2963.8561,1,9,8
9001,2,10/24/22,10:46,1,10,XGRZDN_____HGRZDN,nonmatch,1466.3054,1,6,9
9001,2,10/24/22,10:46,1,11,YTPZFL_____YTPZFL,match,2145.8175,1,6,10
9001,2,10/24/22,10:46,1,12,ZPBHWKVFY_____ZPBHWKVFY,match,3102.025,1,9,11
9001,2,10/24/22,10:46,1,13,TBFSPX_____TMFSPX,nonmatch,1298.8253,1,6,12
9001,2,10/24/22,10:46,2,1,GVXRYM_____GVBRYM,nonmatch,1352.8603,1,2,13
9001,2,10/24/22,10:46,2,2,PVCMWG_____PVCMWG,match,1354.7335,1,2,14
9001,2,10/24/22,10:46,2,3,MXK_____GXK,nonmatch,1258.7832,1,2,15
9001,2,10/24/22,10:46,2,4,VHGSPQ_____LHGSPQ,nonmatch,1236.3413,1,2,16
9001,2,10/24/22,10:46,2,5,TPCHKG_____TPCHKG,match,2772.6819,1,2,17
9001,2,10/24/22,10:46,2,6,WDTPZBRJM_____WDTPZBRJM,match,3852.2992,1,2,18
9001,2,10/24/22,10:46,2,7,FHVGJPKWY_____FHVGJPKWN,nonmatch,2066.014,0,2,18
