subject,session,date,time,item,acc,rt
9001,2,10/17/22,09:49,1,1,5073.3877
9001,2,10/17/22,09:49,2,1,10876.8992
9001,2,10/17/22,09:49,3,1,12342.4008
9001,2,10/17/22,09:49,4,1,4568.0075
9001,2,10/17/22,09:49,5,1,24291.3006
9001,2,10/17/22,09:49,6,0,29424.6319
9001,2,10/17/22,09:49,7,1,7684.683
9001,2,10/17/22,09:49,8,1,17406.9309
9001,2,10/17/22,09:49,9,1,31619.7813
9001,2,10/17/22,09:49,10,1,16023.0486
9001,2,10/17/22,09:49,11,1,29368.2677
9001,2,10/17/22,09:49,12,1,10250.3688
9001,2,10/17/22,09:49,13,1,16293.7042
9001,2,10/17/22,09:49,14,1,7891.4453
9001,2,10/17/22,09:49,15,0,21372.3124
9002,2,10/17/22,10:43,1,0,35923.3346
9002,2,10/17/22,10:43,2,1,15481.7066
9002,2,10/17/22,10:43,3,1,7293.2424
9002,2,10/17/22,10:43,4,1,7500.1715
9002,2,10/17/22,10:43,5,0,32121.5322
9002,2,10/17/22,10:43,6,0,26736.5441
9002,2,10/17/22,10:43,7,0,17074.933
9002,2,10/17/22,10:43,8,1,15981.6093
9002,2,10/17/22,10:43,9,0,19909.4848
9002,2,10/17/22,10:43,10,0,29380.5299
9002,2,10/17/22,10:43,11,1,10387.6012
9002,2,10/17/22,10:43,12,1,15785.9903
9002,2,10/17/22,10:43,13,0,NA
9004,2,10/17/22,14:03,1,1,9753.9124
9004,2,10/17/22,14:03,2,1,28221.867
9004,2,10/17/22,14:03,3,1,7989.4978
9004,2,10/17/22,14:03,4,1,15874.836
9004,2,10/17/22,14:03,5,1,35706.773
9004,2,10/17/22,14:03,6,0,35224.8731
9004,2,10/17/22,14:03,7,0,NA
9004,2,10/17/22,14:03,8,1,26494.7731
9004,2,10/17/22,14:03,9,1,46246.842
9004,2,10/17/22,14:03,10,0,NA
9005,2,10/17/22,12:54,1,0,8925.4503
9005,2,10/17/22,12:54,2,1,9924.4473
9005,2,10/17/22,12:54,3,1,7447.8752
9005,2,10/17/22,12:54,4,1,18011.8447
9005,2,10/17/22,12:54,5,1,30967.5229
9005,2,10/17/22,12:54,6,0,48482.9391
9005,2,10/17/22,12:54,7,1,23679.3361
9005,2,10/17/22,12:54,8,1,18181.9584
9005,2,10/17/22,12:54,9,1,76221.0365
9005,2,10/17/22,12:54,10,0,NA
9006,2,10/18/22,10:03,1,1,9379.2528
9006,2,10/18/22,10:03,2,1,9772.31
9006,2,10/18/22,10:03,3,1,13320.6165
9006,2,10/18/22,10:03,4,1,10563.1329
9006,2,10/18/22,10:03,5,0,45940.9946
9006,2,10/18/22,10:03,6,0,52559.4602
9006,2,10/18/22,10:03,7,1,36209.0197
9006,2,10/18/22,10:03,8,1,32951.1251
9006,2,10/18/22,10:03,9,0,NA
9007,2,10/18/22,09:58,1,1,4011.4948
9007,2,10/18/22,09:58,2,1,9110.5849
9007,2,10/18/22,09:58,3,1,8264.0502
9007,2,10/18/22,09:58,4,1,3470.8227
9007,2,10/18/22,09:58,5,1,19569.8779
9007,2,10/18/22,09:58,6,0,35749.0275
9007,2,10/18/22,09:58,7,1,11392.3269
9007,2,10/18/22,09:58,8,1,15661.636
9007,2,10/18/22,09:58,9,1,37953.248
9007,2,10/18/22,09:58,10,1,12133.0668
9007,2,10/18/22,09:58,11,1,24588.9384
9007,2,10/18/22,09:58,12,1,20626.5692
9007,2,10/18/22,09:58,13,1,13824.1267
9007,2,10/18/22,09:58,14,1,12558.1705
9007,2,10/18/22,09:58,15,0,NA
9009,2,10/18/22,12:55,1,1,4757.1762
9009,2,10/18/22,12:55,2,1,6381.8357
9009,2,10/18/22,12:55,3,1,4420.8529
9009,2,10/18/22,12:55,4,1,7106.0051
9009,2,10/18/22,12:55,5,1,28621.9945
9009,2,10/18/22,12:55,6,0,35220.5034
9009,2,10/18/22,12:55,7,1,8462.7083
9009,2,10/18/22,12:55,8,1,6011.3783
9009,2,10/18/22,12:55,9,1,45758.0872
9009,2,10/18/22,12:55,10,1,13691.8887
9009,2,10/18/22,12:55,11,1,23896.9376
9009,2,10/18/22,12:55,12,1,12081.395
9009,2,10/18/22,12:55,13,1,12251.1256
9009,2,10/18/22,12:55,14,1,12828.191
9009,2,10/18/22,12:55,15,1,22105.7656
9010,2,10/18/22,15:51,1,1,5607.5044
9010,2,10/18/22,15:51,2,1,8104.5956
9010,2,10/18/22,15:51,3,1,6982.0009
9010,2,10/18/22,15:51,4,1,3068.6923
9010,2,10/18/22,15:51,5,0,30865.7764
9010,2,10/18/22,15:51,6,1,18908.3188
9010,2,10/18/22,15:51,7,1,17367.0231
9010,2,10/18/22,15:51,8,1,12224.2699
9010,2,10/18/22,15:51,9,0,27195.3223
9010,2,10/18/22,15:51,10,1,10405.0676
9010,2,10/18/22,15:51,11,1,47805.3985
9010,2,10/18/22,15:51,12,1,13716.6417
9010,2,10/18/22,15:51,13,1,27021.0595
9010,2,10/18/22,15:51,14,0,NA
9011,2,10/18/22,15:56,1,1,15279.0134
9011,2,10/18/22,15:56,2,1,15891.0183
9011,2,10/18/22,15:56,3,1,12987.5212
9011,2,10/18/22,15:56,4,1,17561.6203
9011,2,10/18/22,15:56,5,1,59813.7844
9011,2,10/18/22,15:56,6,0,29467.5207
9011,2,10/18/22,15:56,7,1,57995.5762
9011,2,10/18/22,15:56,8,1,29542.8148
9011,2,10/18/22,15:56,9,0,NA
9012,2,10/18/22,16:01,1,0,8898.6195
9012,2,10/18/22,16:01,2,1,14400.5547
9012,2,10/18/22,16:01,3,1,14268.2425
9012,2,10/18/22,16:01,4,0,NA
9012,2,10/18/22,16:01,5,0,48832.8612
9012,2,10/18/22,16:01,6,0,32368.238
9012,2,10/18/22,16:01,7,1,8862.2611
9012,2,10/18/22,16:01,8,1,18515.6366
9012,2,10/18/22,16:01,9,0,61545.9167
9012,2,10/18/22,16:01,10,1,35170.8573
9012,2,10/18/22,16:01,11,0,NA
9013,2,10/19/22,10:06,1,1,6412.9006
9013,2,10/19/22,10:06,2,1,7716.7702
9013,2,10/19/22,10:06,3,1,9367.3781
9013,2,10/19/22,10:06,4,1,5073.2161
9013,2,10/19/22,10:06,5,0,6161.7178
9013,2,10/19/22,10:06,6,0,19421.8968
9013,2,10/19/22,10:06,7,1,5797.1215
9013,2,10/19/22,10:06,8,0,17134.8606
9013,2,10/19/22,10:06,9,0,13890.077
9013,2,10/19/22,10:06,10,0,34802.0996
9013,2,10/19/22,10:06,11,0,45693.0089
9013,2,10/19/22,10:06,12,1,14046.2408
9013,2,10/19/22,10:06,13,1,20767.9491
9013,2,10/19/22,10:06,14,0,28431.1631
9013,2,10/19/22,10:06,15,0,26415.8706
9014,2,10/19/22,10:30,1,1,4703.2378
9014,2,10/19/22,10:30,2,1,9811.134
9014,2,10/19/22,10:30,3,1,7594.3637
9014,2,10/19/22,10:30,4,1,10228.372
9014,2,10/19/22,10:30,5,0,30761.6739
9014,2,10/19/22,10:30,6,0,35820.5655
9014,2,10/19/22,10:30,7,0,10529.2963
9014,2,10/19/22,10:30,8,1,14436.461
9014,2,10/19/22,10:30,9,0,43235.6772
9014,2,10/19/22,10:30,10,1,18437.2962
9014,2,10/19/22,10:30,11,0,16029.4216
9014,2,10/19/22,10:30,12,1,11975.0621
