subject,session,block,list,setsize,matherrors,lettertotal,ospantotal,motivation,alertness
9001,2,realblock,1,3,0,3,3,NA,NA
9001,2,realblock,2,5,0,4,7,NA,NA
9001,2,realblock,3,6,1,1,8,NA,NA
9001,2,realblock,4,7,0,2,10,NA,NA
9001,2,realblock,5,4,0,3,13,NA,NA
9001,2,realblock,6,6,1,5,18,NA,NA
9001,2,realblock,7,4,0,4,22,NA,NA
9001,2,realblock,8,5,0,5,27,NA,NA
9001,2,realblock,9,3,1,3,30,NA,NA
9001,2,realblock,10,7,0,0,30,NA,NA
9002,2,realblock,1,3,0,3,3,NA,NA
9002,2,realblock,2,7,1,6,9,NA,NA
9002,2,realblock,3,7,1,6,15,NA,NA
9002,2,realblock,4,5,0,5,20,NA,NA
9002,2,realblock,5,6,2,6,26,NA,NA
9002,2,realblock,6,4,0,4,30,NA,NA
9002,2,realblock,7,3,0,3,33,NA,NA
9002,2,realblock,8,4,0,4,37,NA,NA
9002,2,realblock,9,6,1,5,42,NA,NA
9002,2,realblock,10,5,0,5,47,NA,NA
9004,2,realblock,1,3,0,3,3,NA,NA
9004,2,realblock,2,7,1,7,10,NA,NA
9004,2,realblock,3,5,1,5,15,NA,NA
9004,2,realblock,4,5,0,4,19,NA,NA
9004,2,realblock,5,3,0,2,21,NA,NA
9004,2,realblock,6,6,1,6,27,NA,NA
9004,2,realblock,7,6,0,6,33,NA,NA
9004,2,realblock,8,7,0,5,38,NA,NA
9004,2,realblock,9,4,0,4,42,NA,NA
9004,2,realblock,10,4,0,4,46,NA,NA
9005,2,realblock,1,7,0,1,1,NA,NA
9005,2,realblock,2,5,0,5,6,NA,NA
9005,2,realblock,3,3,0,3,9,NA,NA
9005,2,realblock,4,6,0,3,12,NA,NA
9005,2,realblock,5,4,0,4,16,NA,NA
9005,2,realblock,6,3,0,3,19,NA,NA
9005,2,realblock,7,7,1,3,22,NA,NA
9005,2,realblock,8,4,0,4,26,NA,NA
9005,2,realblock,9,5,0,5,31,NA,NA
9005,2,realblock,10,6,0,6,37,NA,NA
9006,2,realblock,1,5,2,5,5,NA,NA
9006,2,realblock,2,7,2,3,8,NA,NA
9006,2,realblock,3,3,0,3,11,NA,NA
9006,2,realblock,4,6,0,6,17,NA,NA
9006,2,realblock,5,5,0,4,21,NA,NA
9006,2,realblock,6,6,0,6,27,NA,NA
9006,2,realblock,7,4,0,3,30,NA,NA
9006,2,realblock,8,7,3,3,33,NA,NA
9006,2,realblock,9,3,0,3,36,NA,NA
9006,2,realblock,10,4,0,4,40,NA,NA
9007,2,realblock,1,6,2,6,6,NA,NA
9007,2,realblock,2,5,1,5,11,NA,NA
9007,2,realblock,3,4,0,4,15,NA,NA
9007,2,realblock,4,5,0,5,20,NA,NA
9007,2,realblock,5,6,0,6,26,NA,NA
9007,2,realblock,6,4,0,4,30,NA,NA
9007,2,realblock,7,3,0,3,33,NA,NA
9007,2,realblock,8,7,1,7,40,NA,NA
9007,2,realblock,9,3,2,3,43,NA,NA
9007,2,realblock,10,7,1,7,50,NA,NA
9009,2,realblock,1,4,0,4,4,NA,NA
9009,2,realblock,2,5,0,5,9,NA,NA
9009,2,realblock,3,3,0,3,12,NA,NA
9009,2,realblock,4,5,0,5,17,NA,NA
9009,2,realblock,5,7,1,7,24,NA,NA
9009,2,realblock,6,4,1,4,28,NA,NA
9009,2,realblock,7,7,2,5,33,NA,NA
9009,2,realblock,8,3,0,3,36,NA,NA
9009,2,realblock,9,6,0,6,42,NA,NA
9009,2,realblock,10,6,0,6,48,NA,NA
9010,2,realblock,1,6,0,6,6,NA,NA
9010,2,realblock,2,7,3,6,12,NA,NA
9010,2,realblock,3,4,0,4,16,NA,NA
9010,2,realblock,4,5,0,5,21,NA,NA
9010,2,realblock,5,3,0,3,24,NA,NA
9010,2,realblock,6,3,0,3,27,NA,NA
9010,2,realblock,7,7,0,5,32,NA,NA
9010,2,realblock,8,4,0,4,36,NA,NA
9010,2,realblock,9,6,1,6,42,NA,NA
9010,2,realblock,10,5,1,5,47,NA,NA
9011,2,realblock,1,3,0,3,3,NA,NA
9011,2,realblock,2,6,0,3,6,NA,NA
9011,2,realblock,3,4,1,4,10,NA,NA
9011,2,realblock,4,5,0,3,13,NA,NA
9011,2,realblock,5,4,0,4,17,NA,NA
9011,2,realblock,6,3,0,3,20,NA,NA
9011,2,realblock,7,7,1,4,24,NA,NA
9011,2,realblock,8,7,0,3,27,NA,NA
9011,2,realblock,9,6,1,5,32,NA,NA
9011,2,realblock,10,5,1,5,37,NA,NA
9012,2,realblock,1,6,2,6,6,NA,NA
9012,2,realblock,2,5,0,4,10,NA,NA
9012,2,realblock,3,7,0,3,13,NA,NA
9012,2,realblock,4,4,0,4,17,NA,NA
9012,2,realblock,5,5,1,2,19,NA,NA
9012,2,realblock,6,3,0,3,22,NA,NA
9012,2,realblock,7,3,0,3,25,NA,NA
9012,2,realblock,8,6,0,4,29,NA,NA
9012,2,realblock,9,4,0,2,31,NA,NA
9012,2,realblock,10,7,0,3,34,NA,NA
9013,2,realblock,1,3,0,3,3,NA,NA
9013,2,realblock,2,4,0,3,6,NA,NA
9013,2,realblock,3,5,1,5,11,NA,NA
9013,2,realblock,4,7,1,2,13,NA,NA
9013,2,realblock,5,3,0,3,16,NA,NA
9013,2,realblock,6,5,0,4,20,NA,NA
9013,2,realblock,7,7,1,5,25,NA,NA
9013,2,realblock,8,6,0,6,31,NA,NA
9013,2,realblock,9,4,0,4,35,NA,NA
9013,2,realblock,10,6,0,2,37,NA,NA
9014,2,realblock,1,5,0,3,3,NA,NA
9014,2,realblock,2,7,0,3,6,NA,NA
9014,2,realblock,3,4,0,4,10,NA,NA
9014,2,realblock,4,4,1,4,14,NA,NA
