subject,session,date,time,item,acc,rt
9001,1,10/03/22,09:42,1,1,32524.0694
9001,1,10/03/22,09:42,2,1,8819.9937
9001,1,10/03/22,09:42,3,1,10018.4785
9001,1,10/03/22,09:42,4,1,23435.1002
9001,1,10/03/22,09:42,5,1,30762.6738
9001,1,10/03/22,09:42,6,1,22897.3682
9001,1,10/03/22,09:42,7,1,46494.1928
9001,1,10/03/22,09:42,8,1,24878.5552
9001,1,10/03/22,09:42,9,1,14035.8162
9001,1,10/03/22,09:42,10,0,25253.9191
9001,1,10/03/22,09:42,11,1,29381.314
9001,1,10/03/22,09:42,12,1,68106.7035
9001,1,10/03/22,09:42,13,1,37703.5953
9001,1,10/03/22,09:42,14,0,54550.7053
9001,1,10/03/22,09:42,15,0,33075.7503
9001,1,10/03/22,09:42,16,1,117840.3695
9001,1,10/03/22,09:42,17,1,53117.3752
9002,1,10/03/22,09:46,1,0,45279.0793
9002,1,10/03/22,09:46,2,0,20377.7673
9002,1,10/03/22,09:46,3,1,21934.1716
9002,1,10/03/22,09:46,4,0,13904.3258
9002,1,10/03/22,09:46,5,1,13076.6096
9002,1,10/03/22,09:46,6,1,13685.4744
9002,1,10/03/22,09:46,7,1,31330.0782
9002,1,10/03/22,09:46,8,1,41795.9975
9002,1,10/03/22,09:46,9,0,51707.0154
9002,1,10/03/22,09:46,10,0,14750.0921
9002,1,10/03/22,09:46,11,1,30935.9112
9002,1,10/03/22,09:46,12,1,26717.3433
9002,1,10/03/22,09:46,13,1,39182.5988
9002,1,10/03/22,09:46,14,0,17942.7
9002,1,10/03/22,09:46,15,0,22059.1552
9002,1,10/03/22,09:46,16,0,53000.4321
9002,1,10/03/22,09:46,17,0,75713.2689
9002,1,10/03/22,09:46,18,0,21067.3089
9003,1,10/03/22,09:45,1,0,16625.6858
9003,1,10/03/22,09:45,2,1,10871.7051
9003,1,10/03/22,09:45,3,0,10913.8516
9003,1,10/03/22,09:45,4,1,14440.2297
9003,1,10/03/22,09:45,5,1,6999.2953
9003,1,10/03/22,09:45,6,1,10214.399
9003,1,10/03/22,09:45,7,1,41174.2783
9003,1,10/03/22,09:45,8,1,24404.5096
9003,1,10/03/22,09:45,9,1,24653.0294
9003,1,10/03/22,09:45,10,0,21551.0015
9003,1,10/03/22,09:45,11,1,59215.3927
9003,1,10/03/22,09:45,12,0,28403.974
9003,1,10/03/22,09:45,13,1,21791.2585
9003,1,10/03/22,09:45,14,0,50792.4257
9003,1,10/03/22,09:45,15,0,39523.3358
9003,1,10/03/22,09:45,16,0,41483.7073
9003,1,10/03/22,09:45,17,0,38656.8225
9003,1,10/03/22,09:45,18,1,25931.2084
9004,1,10/03/22,12:18,1,1,27866.2587
9004,1,10/03/22,12:18,2,1,11669.7926
9004,1,10/03/22,12:18,3,1,10368.5818
9004,1,10/03/22,12:18,4,0,18713.1635
9004,1,10/03/22,12:18,5,1,6919.4247
9004,1,10/03/22,12:18,6,1,11847.4317
9004,1,10/03/22,12:18,7,1,70116.6282
9004,1,10/03/22,12:18,8,1,37928.4641
9004,1,10/03/22,12:18,9,1,17597.261
9004,1,10/03/22,12:18,10,1,32925.3951
9004,1,10/03/22,12:18,11,0,46773.3704
9004,1,10/03/22,12:18,12,1,369.5733
9004,1,10/03/22,12:18,13,0,39391.0331
9004,1,10/03/22,12:18,14,1,43717.1821
9004,1,10/03/22,12:18,15,1,52990.7473
9004,1,10/03/22,12:18,16,0,73993.1231
9004,1,10/03/22,12:18,17,0,9773.5247
9004,1,10/03/22,12:18,18,0,1858.0431
9005,1,10/03/22,12:30,1,1,14186.7938
9005,1,10/03/22,12:30,2,1,5753.6798
9005,1,10/03/22,12:30,3,1,9845.0364
9005,1,10/03/22,12:30,4,1,23484.4784
9005,1,10/03/22,12:30,5,0,32021.4432
9005,1,10/03/22,12:30,6,1,10899.1523
9005,1,10/03/22,12:30,7,0,10409.8675
9005,1,10/03/22,12:30,8,1,32755.1096
9005,1,10/03/22,12:30,9,0,11388.4736
9005,1,10/03/22,12:30,10,0,11835.1002
9005,1,10/03/22,12:30,11,1,29059.2426
9005,1,10/03/22,12:30,12,1,21556.2729
9005,1,10/03/22,12:30,13,0,20054.8093
9005,1,10/03/22,12:30,14,0,21275.8679
