subject,session,date,time,list,phase,subtrial,word,old_new,acc,resp,rt
9001,1,10/10/22,10:29,0,encoding,1,actual,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,2,monkey,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,3,upward,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,4,fellow,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,5,fiscal,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,6,outlet,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,7,tactic,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,8,parade,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,9,dancer,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,10,muscle,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,11,viewer,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,12,neural,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,13,folder,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,14,killer,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,15,hunger,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,16,knight,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,17,finite,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,18,frames,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,19,cannon,,NA,,NA
9001,1,10/10/22,10:29,0,encoding,20,puzzle,,NA,,NA
9001,1,10/10/22,10:29,0,test,1,muscle,old,1,f,4296.7349
9001,1,10/10/22,10:29,0,test,2,fiscal,old,1,f,812.7373
9001,1,10/10/22,10:29,0,test,3,oracle,new,1,j,565.5462
9001,1,10/10/22,10:29,0,test,4,upward,old,1,f,720.3105
9001,1,10/10/22,10:29,0,test,5,outlet,old,1,f,1162.1892
9001,1,10/10/22,10:29,0,test,6,decade,new,1,j,805.3851
9001,1,10/10/22,10:29,0,test,7,parade,old,0,j,1120.9489
9001,1,10/10/22,10:29,0,test,8,tactic,old,1,f,665.1454
9001,1,10/10/22,10:29,0,test,9,figure,new,1,j,899.8622
9001,1,10/10/22,10:29,0,test,10,supply,new,1,j,671.2875
9001,1,10/10/22,10:29,0,test,11,sequel,new,1,j,861.4277
9001,1,10/10/22,10:29,0,test,12,fellow,old,1,f,849.2753
9001,1,10/10/22,10:29,0,test,13,vendor,new,1,j,592.1214
9001,1,10/10/22,10:29,0,test,14,actual,old,1,f,758.3073
9001,1,10/10/22,10:29,0,test,15,dancer,old,1,f,884.8528
9001,1,10/10/22,10:29,0,test,16,dinner,new,1,j,664.1709
9001,1,10/10/22,10:29,0,test,17,ticket,new,1,j,972.2118
9001,1,10/10/22,10:29,0,test,18,maiden,new,1,j,938.2
9001,1,10/10/22,10:29,0,test,19,tattoo,new,1,j,896.0251
9001,1,10/10/22,10:29,0,test,20,monkey,old,1,f,599.3412
9001,1,10/10/22,10:29,1,encoding,1,minute,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,2,domain,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,3,member,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,4,binary,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,5,vision,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,6,energy,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,7,format,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,8,radius,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,9,absurd,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,10,random,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,11,deputy,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,12,crotch,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,13,create,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,14,bishop,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,15,breath,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,16,target,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,17,notice,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,18,outfit,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,19,mother,,NA,,NA
9001,1,10/10/22,10:29,1,encoding,20,freeze,,NA,,NA
9001,1,10/10/22,10:29,1,test,1,vision,old,1,f,946.9237
9001,1,10/10/22,10:29,1,test,2,radius,old,1,f,743.6059
9001,1,10/10/22,10:29,1,test,3,random,old,1,f,1379.1288
9001,1,10/10/22,10:29,1,test,4,region,new,1,j,669.4743
9001,1,10/10/22,10:29,1,test,5,energy,old,1,f,882.5702
9001,1,10/10/22,10:29,1,test,6,caller,new,1,j,762.322
9001,1,10/10/22,10:29,1,test,7,prison,new,1,j,640.9005
9001,1,10/10/22,10:29,1,test,8,liquid,new,1,j,699.39
9001,1,10/10/22,10:29,1,test,9,travel,new,1,j,2638.0225
