subid,installerName,mode,trialnum,correctAnswer,theirAnswer,match,startTime,responseTime,date,time
9002,UTA Session 2,practice,1,B,E,0,2384.675,15.5999999999999,10/10/2022 12:00:00 AM,10:12:25.8475858
9002,UTA Session 2,practice,2,B,B,1,2472.601,21.0679999999998,10/10/2022 12:00:00 AM,10:13:59.2393680
9002,UTA Session 2,practice,3,C,C,1,2496.532,10.8959999999997,10/10/2022 12:00:00 AM,10:14:12.9979223
9002,UTA Session 2,practice,4,A,A,1,2508.673,19.835,10/10/2022 12:00:00 AM,10:14:34.0783174
9002,UTA Session 2,trial,1,B,A,0,2543.835,12.0160000000001,10/10/2022 12:00:00 AM,10:15:01.4241075
9002,UTA Session 2,trial,2,B,E,0,2559.663,11.7750000000001,10/10/2022 12:00:00 AM,10:15:17.0086848
9002,UTA Session 2,trial,3,C,C,1,2574.315,17.011,10/10/2022 12:00:00 AM,10:15:36.8972777
9002,UTA Session 2,trial,4,A,A,1,2594.311,7.49399999999969,10/10/2022 12:00:00 AM,10:15:47.3766977
9002,UTA Session 2,trial,5,B,D,0,2604.934,10.2109999999998,10/10/2022 12:00:00 AM,10:16:00.7171322
9002,UTA Session 2,trial,6,D,A,0,2618.098,3.65300000000025,10/10/2022 12:00:00 AM,10:16:07.3224990
9002,UTA Session 2,trial,7,B,E,0,2624.711,10.3630000000003,10/10/2022 12:00:00 AM,10:16:20.6448604
9002,UTA Session 2,trial,8,D,A,0,2637.77,10.665,10/10/2022 12:00:00 AM,10:16:34.0065292
9002,UTA Session 2,trial,9,C,C,1,2651.644,9.37700000000041,10/10/2022 12:00:00 AM,10:16:46.5930476
9002,UTA Session 2,trial,10,C,B,0,2663.93,11.1130000000003,10/10/2022 12:00:00 AM,10:17:00.6148426
9002,UTA Session 2,trial,11,B,B,1,2677.99,9.48100000000022,10/10/2022 12:00:00 AM,10:17:13.0428058
9002,UTA Session 2,trial,12,E,B,0,2690.371,8.4699999999998,10/10/2022 12:00:00 AM,10:17:24.4127492
9002,UTA Session 2,trial,13,B,C,0,2702.253,17.52,10/10/2022 12:00:00 AM,10:17:45.3445658
9002,UTA Session 2,trial,14,A,A,1,2722.72,6.11700000000019,10/10/2022 12:00:00 AM,10:17:54.4092075
9002,UTA Session 2,trial,15,E,A,0,2731.816,6.99500000000035,10/10/2022 12:00:00 AM,10:18:04.3827230
9002,UTA Session 2,trial,16,B,C,0,2741.927,11.7919999999999,10/10/2022 12:00:00 AM,10:18:19.2904155
9002,UTA Session 2,trial,17,A,B,0,2756.753,13.8909999999996,10/10/2022 12:00:00 AM,10:18:36.2146620
9002,UTA Session 2,trial,18,D,B,0,2773.551,13.0439999999999,10/10/2022 12:00:00 AM,10:18:52.1667627
9002,UTA Session 2,trial,19,E,E,1,2790.299,8.45800000000008,10/10/2022 12:00:00 AM,10:19:04.3290370
9002,UTA Session 2,trial,20,D,E,0,2801.528,15.9790000000003,10/10/2022 12:00:00 AM,10:19:23.0793636
9002,UTA Session 2,trial,21,A,B,0,2820.526,21.0770000000002,10/10/2022 12:00:00 AM,10:19:47.1739829
9002,UTA Session 2,trial,22,A,A,1,2845.413,3.95800000000008,10/10/2022 12:00:00 AM,10:19:54.9436476
9002,UTA Session 2,trial,23,D,C,0,2852.164,14.761,10/10/2022 12:00:00 AM,10:20:12.4975188
9002,UTA Session 2,trial,24,D,D,1,2869.725,12.9500000000003,10/10/2022 12:00:00 AM,10:20:28.2465435
9002,UTA Session 2,trial,25,E,B,0,2885.904,7.03900000000021,10/10/2022 12:00:00 AM,10:20:38.5151069
9002,UTA Session 2,trial,26,D,B,0,2896.021,7.55999999999995,10/10/2022 12:00:00 AM,10:20:49.1528876
9002,UTA Session 2,trial,27,E,C,0,2906.384,15.1089999999999,10/10/2022 12:00:00 AM,10:21:07.0644047
9002,UTA Session 2,trial,28,C,B,0,2924.352,5.69200000000001,10/10/2022 12:00:00 AM,10:21:15.6163325
9002,UTA Session 2,trial,29,C,C,1,2932.739,6.44599999999991,10/10/2022 12:00:00 AM,10:21:24.7575770
9002,UTA Session 2,trial,30,D,D,1,2941.911,8.87599999999975,10/10/2022 12:00:00 AM,10:21:36.3596102
9002,UTA Session 2,trial,31,C,E,0,2953.497,22.752,10/10/2022 12:00:00 AM,10:22:01.8205159
9002,UTA Session 2,trial,32,E,E,1,2979.054,9.53099999999995,10/10/2022 12:00:00 AM,10:22:14.1569332
9002,UTA Session 2,trial,33,A,D,0,2991.249,6.89400000000023,10/10/2022 12:00:00 AM,10:22:23.7155379
9001,UTA Session 2,practice,1,B,C,0,2869.914,8.0939999999996,10/10/2022 12:00:00 AM,10:13:26.0892983
9001,UTA Session 2,practice,2,B,B,1,2939.283,10.9340000000002,10/10/2022 12:00:00 AM,10:14:38.2955383
9001,UTA Session 2,practice,3,C,E,0,2951.801,5.54399999999987,10/10/2022 12:00:00 AM,10:14:45.4246786
9001,UTA Session 2,practice,4,A,C,0,2957.928,6.96900000000005,10/10/2022 12:00:00 AM,10:14:52.9759095
9001,UTA Session 2,trial,1,B,B,1,2983.699,7.96199999999999,10/10/2022 12:00:00 AM,10:15:19.7412197
9001,UTA Session 2,trial,2,B,A,0,2995.1,7.1869999999999,10/10/2022 12:00:00 AM,10:15:30.3652962
9001,UTA Session 2,trial,3,C,C,1,3005.626,6.23899999999958,10/10/2022 12:00:00 AM,10:15:39.9439299
9001,UTA Session 2,trial,4,A,A,1,3014.822,6.49699999999984,10/10/2022 12:00:00 AM,10:15:49.3969994
9001,UTA Session 2,trial,5,B,B,1,3024.342,10.569,10/10/2022 12:00:00 AM,10:16:02.9888601
9001,UTA Session 2,trial,6,D,D,1,3037.884,10.8180000000002,10/10/2022 12:00:00 AM,10:16:16.7799195
9001,UTA Session 2,trial,7,B,B,1,3052.113,20.6280000000002,10/10/2022 12:00:00 AM,10:16:40.8181660
9001,UTA Session 2,trial,8,D,A,0,3075.804,8.64899999999989,10/10/2022 12:00:00 AM,10:16:52.5309267
9001,UTA Session 2,trial,9,C,C,1,3087.936,5.73099999999977,10/10/2022 12:00:00 AM,10:17:01.7445406
9001,UTA Session 2,trial,10,C,C,1,3096.675,8.73999999999978,10/10/2022 12:00:00 AM,10:17:13.4920591
9001,UTA Session 2,trial,11,B,D,0,3108.391,4.19799999999987,10/10/2022 12:00:00 AM,10:17:20.6661857
9001,UTA Session 2,trial,12,E,C,0,3120.667,15.4880000000003,10/10/2022 12:00:00 AM,10:17:44.2313004
9001,UTA Session 2,trial,13,B,D,0,3139.442,14.0169999999998,10/10/2022 12:00:00 AM,10:18:01.5354230
9001,UTA Session 2,trial,14,A,E,0,3156.628,6.79299999999967,10/10/2022 12:00:00 AM,10:18:11.4965928
9001,UTA Session 2,trial,15,E,A,0,3166.769,6.596,10/10/2022 12:00:00 AM,10:18:21.4413711
9001,UTA Session 2,trial,16,B,B,1,3179.719,16.2559999999999,10/10/2022 12:00:00 AM,10:18:44.0507900
9001,UTA Session 2,trial,17,A,A,1,3199.587,8.53400000000011,10/10/2022 12:00:00 AM,10:18:56.1959295
9001,UTA Session 2,trial,18,D,B,0,3212.103,13.9059999999999,10/10/2022 12:00:00 AM,10:19:14.0836969
9001,UTA Session 2,trial,19,E,B,0,3229.46,7.3449999999998,10/10/2022 12:00:00 AM,10:19:24.8788335
9001,UTA Session 2,trial,20,D,D,1,3240.717,8.94000000000005,10/10/2022 12:00:00 AM,10:19:37.7306870
9001,UTA Session 2,trial,21,A,B,0,3252.828,11.0540000000001,10/10/2022 12:00:00 AM,10:19:51.9560955
9001,UTA Session 2,trial,22,A,B,0,3267.113,6.50600000000031,10/10/2022 12:00:00 AM,10:20:01.6930607
