subID,session,trial,seedNumber,stimulus,stimulusConflict,responseConflict,repsonse,buttonPosition,correct,rt,dateTime,score,computerName,installerName
9002,Practice,1,6,RightinLeft,1,0,RIGHT,0,1,1.19500000000062,10/10/2022 10:51:19 AM,1,PSYC-134128,UTA Session 2
9002,Practice,2,2,RightinLeft,1,1,RIGHT,1,1,1.33899999999994,10/10/2022 10:51:20 AM,2,PSYC-134128,UTA Session 2
9002,Practice,3,5,LeftinRight,1,0,LEFT,0,1,1.86699999999928,10/10/2022 10:51:22 AM,3,PSYC-134128,UTA Session 2
9002,Practice,4,3,RightinRight,0,1,RIGHT,1,1,1.8760000000002,10/10/2022 10:51:24 AM,4,PSYC-134128,UTA Session 2
9002,Practice,5,7,RightinRight,0,0,RIGHT,0,1,1.75500000000011,10/10/2022 10:51:26 AM,5,PSYC-134128,UTA Session 2
9002,Practice,6,1,LeftinRight,1,1,LEFT,1,1,2.38699999999972,10/10/2022 10:51:29 AM,6,PSYC-134128,UTA Session 2
9002,Practice,7,6,RightinLeft,1,0,RIGHT,1,1,1.75500000000011,10/10/2022 10:51:31 AM,7,PSYC-134128,UTA Session 2
9002,Practice,8,5,LeftinRight,1,0,LEFT,0,1,1.22099999999955,10/10/2022 10:51:32 AM,8,PSYC-134128,UTA Session 2
9002,Practice,9,8,LeftinLeft,0,0,LEFT,0,1,1.03999999999996,10/10/2022 10:51:33 AM,9,PSYC-134128,UTA Session 2
9002,Practice,10,7,RightinRight,0,0,RIGHT,1,1,1.38000000000011,10/10/2022 10:51:35 AM,10,PSYC-134128,UTA Session 2
9002,Practice,11,5,LeftinRight,1,0,LEFT,1,1,1.54700000000048,10/10/2022 10:51:37 AM,11,PSYC-134128,UTA Session 2
9002,Practice,12,7,RightinRight,0,0,RIGHT,0,1,1.38400000000001,10/10/2022 10:51:38 AM,12,PSYC-134128,UTA Session 2
9002,Practice,13,3,RightinRight,0,1,RIGHT,0,1,1.78999999999996,10/10/2022 10:51:40 AM,13,PSYC-134128,UTA Session 2
9002,Practice,14,8,LeftinLeft,0,0,LEFT,0,1,1.59400000000005,10/10/2022 10:51:42 AM,14,PSYC-134128,UTA Session 2
