subject,session,date,time,block,list,setsize,symmetryerrors,spantotal,symspantotal
9001,2,10/17/22,09:44,realblock,1,4,0,4,4
9001,2,10/17/22,09:44,realblock,2,3,0,3,7
9001,2,10/17/22,09:44,realblock,3,5,2,1,8
9001,2,10/17/22,09:44,realblock,4,3,0,3,11
9001,2,10/17/22,09:44,realblock,5,5,0,5,16
9001,2,10/17/22,09:44,realblock,6,4,0,4,20
9001,2,10/17/22,09:44,realblock,7,2,0,2,22
9001,2,10/17/22,09:44,realblock,8,2,0,2,24
9002,2,10/17/22,10:20,realblock,1,2,0,2,2
9002,2,10/17/22,10:20,realblock,2,5,0,3,5
9002,2,10/17/22,10:20,realblock,3,4,0,3,8
9002,2,10/17/22,10:20,realblock,4,5,0,4,12
9002,2,10/17/22,10:20,realblock,5,2,0,2,14
9002,2,10/17/22,10:20,realblock,6,4,0,4,18
9002,2,10/17/22,10:20,realblock,7,3,0,3,21
9002,2,10/17/22,10:20,realblock,8,3,0,3,24
9004,2,10/17/22,13:49,realblock,1,2,2,2,2
9004,2,10/17/22,13:49,realblock,2,4,1,4,6
9004,2,10/17/22,13:49,realblock,3,2,1,2,8
9004,2,10/17/22,13:49,realblock,4,4,3,0,8
9004,2,10/17/22,13:49,realblock,5,3,0,3,11
9004,2,10/17/22,13:49,realblock,6,5,0,2,13
9004,2,10/17/22,13:49,realblock,7,3,2,1,14
9004,2,10/17/22,13:49,realblock,8,5,2,0,14
9005,2,10/17/22,12:37,realblock,1,5,0,4,4
9005,2,10/17/22,12:37,realblock,2,2,0,2,6
9005,2,10/17/22,12:37,realblock,3,2,0,2,8
9005,2,10/17/22,12:37,realblock,4,3,0,3,11
9005,2,10/17/22,12:37,realblock,5,5,0,4,15
9005,2,10/17/22,12:37,realblock,6,3,0,3,18
9005,2,10/17/22,12:37,realblock,7,4,0,4,22
9005,2,10/17/22,12:37,realblock,8,4,0,0,22
9006,2,10/18/22,09:45,realblock,1,3,0,3,3
9006,2,10/18/22,09:45,realblock,2,2,0,2,5
9006,2,10/18/22,09:45,realblock,3,2,0,2,7
9006,2,10/18/22,09:45,realblock,4,5,1,4,11
9006,2,10/18/22,09:45,realblock,5,4,1,4,15
9006,2,10/18/22,09:45,realblock,6,3,0,3,18
9006,2,10/18/22,09:45,realblock,7,5,0,5,23
9006,2,10/18/22,09:45,realblock,8,4,0,0,23
9007,2,10/18/22,09:42,realblock,1,5,0,5,5
9007,2,10/18/22,09:42,realblock,2,4,0,4,9
9007,2,10/18/22,09:42,realblock,3,2,0,2,11
9007,2,10/18/22,09:42,realblock,4,5,0,5,16
9007,2,10/18/22,09:42,realblock,5,4,0,4,20
9007,2,10/18/22,09:42,realblock,6,2,0,2,22
9007,2,10/18/22,09:42,realblock,7,3,0,3,25
9007,2,10/18/22,09:42,realblock,8,3,0,3,28
9009,2,10/18/22,12:40,realblock,1,5,0,5,5
9009,2,10/18/22,12:40,realblock,2,2,0,2,7
9009,2,10/18/22,12:40,realblock,3,3,0,3,10
9009,2,10/18/22,12:40,realblock,4,3,0,3,13
9009,2,10/18/22,12:40,realblock,5,4,0,4,17
9009,2,10/18/22,12:40,realblock,6,5,0,5,22
9009,2,10/18/22,12:40,realblock,7,2,0,2,24
9009,2,10/18/22,12:40,realblock,8,4,0,4,28
9010,2,10/18/22,15:35,realblock,1,3,0,3,3
9010,2,10/18/22,15:35,realblock,2,3,0,3,6
9010,2,10/18/22,15:35,realblock,3,5,0,5,11
9010,2,10/18/22,15:35,realblock,4,4,0,4,15
