SubID,compName,taskType,Mode,TrialNum,Grade,refMapName,viewMapName,ImageOritentation,TheirResponse,TimeToRespond,ISIEnd,InitiResp,NextClicked,trueScore,zeroFloorScore,lastPositiveScore,Difficulty,itemLabel,EntryDTS
9001,PSYC-132589,TOTDay1,Training, 1,0, 2.jpg,2.jpg,90,270,6.208, 104.587,110.788,104.586,-1,0,0,1,PE2_90,2022-10-24 09:24:53.979
9001,PSYC-132589,TOTDay1,Training, 2,1, 2.jpg,2.jpg,180,180,5.601, 117.275,122.876,117.274,0,0,0,1,PE2_180,2022-10-24 09:25:06.060
9001,PSYC-132589,TOTDay1,Training, 3,0, 2.jpg,2.jpg,60,30,6.903, 125.22,132.123,125.219,-1,0,0,2,PM2_60,2022-10-24 09:25:15.306
9001,PSYC-132589,TOTDay1,Training, 4,0, 2.jpg,2.jpg,30,60,5.475, 136.494,141.969,136.493,-2,0,0,2,PM2_30,2022-10-24 09:25:25.153
9001,PSYC-132589,TOTDay1,Training, 5,0, 2.jpg,2.jpg,210,300,8.523, 144.452,152.975,144.451,-3,0,0,3,PH2_210,2022-10-24 09:25:36.159
9001,PSYC-132589,TOTDay1,Training, 6,1, 2.jpg,2.jpg,120,120,9.519, 163.412,172.931,163.411,-2,0,0,3,PH2_120,2022-10-24 09:25:56.115
9001,PSYC-132589,TOTDay1,Training, 7,1, 2.jpg,2.jpg,0,0,8.366, 174.43,182.795,174.429,-1,0,0,1,PE2_0,2022-10-24 09:26:05.979
9001,PSYC-132589,TOTDay1,Training, 8,0, 2.jpg,2.jpg,240,300,13.681, 183.77,197.451,183.769,-2,0,0,3,PH2_240,2022-10-24 09:26:20.635
9001,PSYC-132589,TOTDay1,Training, 9,0, 2.jpg,2.jpg,330,300,4.171, 200.018,204.189,200.018,-3,0,0,2,PM2_330,2022-10-24 09:26:27.373
9001,PSYC-132589,TOTDay1,Training, 10,0, 2.jpg,2.jpg,150,120,12.826, 205.657,218.483,205.656,-4,0,0,3,PH2_150,2022-10-24 09:26:41.667
9001,PSYC-132589,TOTDay1,Training, 11,1, 2.jpg,2.jpg,300,300,5.783, 220.753,226.536,220.753,-3,0,0,2,PM2_300,2022-10-24 09:26:49.720
9001,PSYC-132589,TOTDay1,Training, 12,1, 2.jpg,2.jpg,270,270,4.157, 228.582,232.739,228.582,-2,0,0,1,PE2_270,2022-10-24 09:26:55.923
9001,PSYC-132589,TOTDay1,Experiment, 1,1, 8.jpg,8.jpg,330,330,22.715, 236.432,259.147,233.71,1,0,0,2,BM8_330,2022-10-24 09:27:22.331
9001,PSYC-132589,TOTDay1,Experiment, 2,1, 6.jpg,6.jpg,90,90,14.883, 260.944,275.827,260.943,2,0,0,1,BE6_90,2022-10-24 09:27:39.011
9001,PSYC-132589,TOTDay1,Experiment, 3,0, 8.jpg,8.jpg,210,60,25.213, 277.083,302.297,277.083,1,0,0,3,AH8_210,2022-10-24 09:28:05.480
9001,PSYC-132589,TOTDay1,Experiment, 4,1, 6.jpg,6.jpg,30,30,14.251, 305.244,319.495,305.243,2,0,0,2,AM6_30,2022-10-24 09:28:22.678
9001,PSYC-132589,TOTDay1,Experiment, 5,1, 4.jpg,4.jpg,180,180,33.001, 320.784,353.786,320.784,3,0,0,1,AE4_180,2022-10-24 09:28:56.970
9001,PSYC-132589,TOTDay1,Experiment, 6,0, 10.jpg,10.jpg,150,30,29.973, 354.612,384.585,354.611,2,0,0,3,AH10_150,2022-10-24 09:29:27.770
9001,PSYC-132589,TOTDay1,Experiment, 7,0, 1.jpg,1.jpg,150,210,20.7, 385.754,406.454,385.753,1,0,0,3,BH1_150,2022-10-24 09:29:49.638
9001,PSYC-132589,TOTDay1,Experiment, 8,1, 3.jpg,3.jpg,90,90,11.691, 407.615,419.307,407.615,2,0,0,1,AE3_90,2022-10-24 09:30:02.490
9001,PSYC-132589,TOTDay1,Experiment, 9,1, 7.jpg,7.jpg,330,330,10.305, 420.126,430.431,420.126,3,0,0,2,AM7_330,2022-10-24 09:30:13.615
9001,PSYC-132589,TOTDay1,Experiment, 10,0, 9.jpg,9.jpg,240,300,24.743, 431.274,456.016,431.273,2,0,0,3,AH9_240,2022-10-24 09:30:39.200
9001,PSYC-132589,TOTDay1,Experiment, 11,0, 7.jpg,7.jpg,270,90,4.739, 459.296,464.035,459.295,1,0,0,1,BE7_270,2022-10-24 09:30:47.219
9001,PSYC-132589,TOTDay1,Experiment, 12,1, 11.jpg,11.jpg,60,60,22.454, 471.147,493.601,471.146,2,0,0,2,AM11_60,2022-10-24 09:31:16.784
9001,PSYC-132589,TOTDay1,Experiment, 13,0, 3.jpg,3.jpg,240,300,29.402, 494.479,523.881,494.478,1,0,0,3,BH3_240,2022-10-24 09:31:47.065
9001,PSYC-132589,TOTDay1,Experiment, 14,0, 9.jpg,9.jpg,30,150,22.916, 524.945,547.861,524.944,0,0,0,2,BM9_30,2022-10-24 09:32:11.045
9001,PSYC-132589,TOTDay1,Experiment, 15,1, 1.jpg,1.jpg,270,270,9.544, 548.894,558.438,548.893,1,0,0,1,AE1_270,2022-10-24 09:32:21.621
9001,PSYC-132589,TOTDay1,Experiment, 16,1, 4.jpg,4.jpg,210,210,30.519, 559.174,589.693,559.174,2,0,0,3,BH4_210,2022-10-24 09:32:52.877
9001,PSYC-132589,TOTDay1,Experiment, 17,1, 11.jpg,11.jpg,180,180,19.957, 590.479,610.437,590.479,3,0,0,1,BE11_180,2022-10-24 09:33:13.620
9001,PSYC-132589,TOTDay1,Experiment, 18,0, 10.jpg,10.jpg,60,120,13.907, 611.192,625.099,611.191,2,0,0,2,BM10_60,2022-10-24 09:33:28.283
9002,PSYC-134128,TOTDay1,Training, 1,0, 2.jpg,2.jpg,90,270,5.197, 21.823,27.014,21.822,-1,0,0,1,PE2_90,2022-10-24 09:38:39.604
9002,PSYC-134128,TOTDay1,Training, 2,1, 2.jpg,2.jpg,180,180,4.283, 32.118,36.4,32.118,0,0,0,1,PE2_180,2022-10-24 09:38:48.986
9002,PSYC-134128,TOTDay1,Training, 3,0, 2.jpg,2.jpg,60,120,10.3, 37.662,47.962,37.662,-1,0,0,2,PM2_60,2022-10-24 09:39:00.546
