Subject,TrialProc,Trial,Accuracy,RT,Target,FixationDuration,SessionDate,SessionTime
12000,practice,1,1,654,Q,2000,02-18-2015,12:39:50
12000,practice,2,1,556,Q,1000,02-18-2015,12:39:50
12000,practice,3,1,550,O,1000,02-18-2015,12:39:50
12000,practice,4,1,400,Q,2000,02-18-2015,12:39:50
12000,practice,5,1,417,Q,1000,02-18-2015,12:39:50
12000,practice,6,0,680,Q,2000,02-18-2015,12:39:50
12000,practice,7,1,382,Q,2000,02-18-2015,12:39:50
12000,practice,8,1,327,Q,1000,02-18-2015,12:39:50
12000,practice,9,1,394,O,1000,02-18-2015,12:39:50
12000,practice,10,1,492,O,2000,02-18-2015,12:39:50
12000,practice,11,1,512,O,1000,02-18-2015,12:39:50
12000,practice,12,1,348,O,2000,02-18-2015,12:39:50
12000,practice,13,0,446,Q,1000,02-18-2015,12:39:50
12000,practice,14,1,398,O,2000,02-18-2015,12:39:50
12000,practice,15,1,615,O,1000,02-18-2015,12:39:50
12000,practice,16,1,406,O,2000,02-18-2015,12:39:50
12000,real,1,1,441,Q,1000,02-18-2015,12:39:50
12000,real,2,1,335,O,2000,02-18-2015,12:39:50
12000,real,3,1,291,O,2000,02-18-2015,12:39:50
12000,real,4,0,407,Q,1000,02-18-2015,12:39:50
12000,real,5,1,359,Q,2000,02-18-2015,12:39:50
12000,real,6,1,274,Q,1000,02-18-2015,12:39:50
12000,real,7,0,1422,Q,1000,02-18-2015,12:39:50
12000,real,8,1,350,Q,1000,02-18-2015,12:39:50
12000,real,9,1,312,O,2000,02-18-2015,12:39:50
12000,real,10,1,357,O,2000,02-18-2015,12:39:50
12000,real,11,1,278,O,1000,02-18-2015,12:39:50
12000,real,12,1,396,O,2000,02-18-2015,12:39:50
12000,real,13,1,261,O,1000,02-18-2015,12:39:50
12000,real,14,1,515,O,1000,02-18-2015,12:39:50
12000,real,15,1,318,O,1000,02-18-2015,12:39:50
12000,real,16,1,354,Q,1000,02-18-2015,12:39:50
12000,real,17,1,308,Q,2000,02-18-2015,12:39:50
12000,real,18,1,288,Q,2000,02-18-2015,12:39:50
12000,real,19,1,309,Q,2000,02-18-2015,12:39:50
12000,real,20,1,393,O,1000,02-18-2015,12:39:50
12000,real,21,1,968,Q,1000,02-18-2015,12:39:50
12000,real,22,1,306,O,2000,02-18-2015,12:39:50
12000,real,23,1,414,O,2000,02-18-2015,12:39:50
12000,real,24,1,294,Q,2000,02-18-2015,12:39:50
12000,real,25,1,259,Q,2000,02-18-2015,12:39:50
12000,real,26,1,241,O,1000,02-18-2015,12:39:50
12000,real,27,1,336,Q,1000,02-18-2015,12:39:50
12000,real,28,1,282,Q,1000,02-18-2015,12:39:50
12000,real,29,1,296,Q,2000,02-18-2015,12:39:50
12000,real,30,1,261,O,1000,02-18-2015,12:39:50
12000,real,31,1,283,Q,1000,02-18-2015,12:39:50
12000,real,32,1,352,O,1000,02-18-2015,12:39:50
12000,real,33,1,306,Q,1000,02-18-2015,12:39:50
12000,real,34,1,606,O,1000,02-18-2015,12:39:50
12000,real,35,1,358,O,2000,02-18-2015,12:39:50
12000,real,36,1,240,Q,2000,02-18-2015,12:39:50
12000,real,37,1,319,O,1000,02-18-2015,12:39:50
12000,real,38,1,306,Q,2000,02-18-2015,12:39:50
12000,real,39,1,591,O,1000,02-18-2015,12:39:50
12000,real,40,1,280,Q,1000,02-18-2015,12:39:50
12000,real,41,1,356,O,2000,02-18-2015,12:39:50
12000,real,42,1,310,O,2000,02-18-2015,12:39:50
12000,real,43,1,490,O,2000,02-18-2015,12:39:50
12000,real,44,1,319,Q,2000,02-18-2015,12:39:50
12000,real,45,1,258,Q,2000,02-18-2015,12:39:50
12000,real,46,1,3057,O,1000,02-18-2015,12:39:50
12000,real,47,0,1054,Q,2000,02-18-2015,12:39:50
12000,real,48,0,245,O,2000,02-18-2015,12:39:50
12002,practice,1,1,438,Q,2000,02-18-2015,15:37:06
12002,practice,2,1,868,Q,2000,02-18-2015,15:37:06
12002,practice,3,1,402,Q,1000,02-18-2015,15:37:06
12002,practice,4,1,546,O,1000,02-18-2015,15:37:06
12002,practice,5,1,358,O,1000,02-18-2015,15:37:06
12002,practice,6,1,352,O,2000,02-18-2015,15:37:06
12002,practice,7,0,570,O,2000,02-18-2015,15:37:06
12002,practice,8,1,564,Q,1000,02-18-2015,15:37:06
12002,practice,9,1,437,O,2000,02-18-2015,15:37:06
12002,practice,10,1,372,Q,2000,02-18-2015,15:37:06
12002,practice,11,1,549,Q,2000,02-18-2015,15:37:06
12002,practice,12,1,392,O,1000,02-18-2015,15:37:06
12002,practice,13,1,457,Q,1000,02-18-2015,15:37:06
12002,practice,14,1,454,Q,1000,02-18-2015,15:37:06
12002,practice,15,0,749,O,1000,02-18-2015,15:37:06
12002,practice,16,1,495,O,2000,02-18-2015,15:37:06
12002,real,1,1,340,Q,2000,02-18-2015,15:37:06
12002,real,2,1,374,O,1000,02-18-2015,15:37:06
12002,real,3,1,376,O,2000,02-18-2015,15:37:06
12002,real,4,1,338,Q,2000,02-18-2015,15:37:06
12002,real,5,1,308,O,1000,02-18-2015,15:37:06
12002,real,6,1,1081,O,1000,02-18-2015,15:37:06
12002,real,7,1,326,Q,2000,02-18-2015,15:37:06
12002,real,8,1,442,Q,2000,02-18-2015,15:37:06
12002,real,9,1,338,Q,1000,02-18-2015,15:37:06
12002,real,10,1,717,Q,1000,02-18-2015,15:37:06
12002,real,11,0,825,O,1000,02-18-2015,15:37:06
12002,real,12,1,439,Q,1000,02-18-2015,15:37:06
12002,real,13,1,439,Q,2000,02-18-2015,15:37:06
12002,real,14,1,446,Q,1000,02-18-2015,15:37:06
12002,real,15,1,572,O,2000,02-18-2015,15:37:06
12002,real,16,1,374,O,1000,02-18-2015,15:37:06
12002,real,17,1,575,Q,1000,02-18-2015,15:37:06
12002,real,18,1,377,O,2000,02-18-2015,15:37:06
12002,real,19,0,538,O,2000,02-18-2015,15:37:06
12002,real,20,1,517,Q,2000,02-18-2015,15:37:06
12002,real,21,1,604,O,1000,02-18-2015,15:37:06
12002,real,22,1,389,O,2000,02-18-2015,15:37:06
12002,real,23,1,325,Q,1000,02-18-2015,15:37:06
12002,real,24,0,657,O,2000,02-18-2015,15:37:06
12002,real,25,0,566,Q,2000,02-18-2015,15:37:06
12002,real,26,1,319,Q,1000,02-18-2015,15:37:06
12002,real,27,1,451,O,1000,02-18-2015,15:37:06
12002,real,28,1,369,O,2000,02-18-2015,15:37:06
12002,real,29,1,419,O,1000,02-18-2015,15:37:06
12002,real,30,1,362,O,1000,02-18-2015,15:37:06
12002,real,31,1,388,Q,1000,02-18-2015,15:37:06
12002,real,32,1,422,Q,2000,02-18-2015,15:37:06
12002,real,33,1,413,O,1000,02-18-2015,15:37:06
12002,real,34,0,749,Q,2000,02-18-2015,15:37:06
12002,real,35,1,391,O,2000,02-18-2015,15:37:06
12002,real,36,1,456,O,1000,02-18-2015,15:37:06
12002,real,37,1,375,Q,2000,02-18-2015,15:37:06
