Subject,Trial,Circle1,Circle2,Difference,CorrectResponse,Accuracy,CircleThreshold.last,NextTrial.ACC,Reversal,ReversalNumb
12000,1,40,50,10,right,1,1,,,
12000,2,70,78,8,right,1,1,1,0,
12000,3,60,54,6,left,1,1,1,0,
12000,4,40,44,4,right,1,1,1,0,
12000,5,48,50,2,right,1,1,1,0,
12000,6,70,71,1,right,1,1,1,0,
12000,7,70,69,1,left,1,1,1,0,
12000,8,49,50,1,right,1,1,1,0,
12000,9,40,39,1,left,0,1,1,1,1
12000,10,50,46,4,left,1,1,0,1,2
12000,11,40,37,3,left,1,1,1,0,
12000,12,72,70,2,left,1,1,1,0,
12000,13,70,71,1,right,0,1,1,1,3
12000,14,74,70,4,left,1,1,0,1,4
12000,15,53,50,3,left,0,1,1,1,5
12000,16,54,60,6,right,1,1,0,1,6
12000,17,50,55,5,right,1,1,1,0,
12000,18,74,70,4,left,1,1,1,0,
12000,19,37,40,3,right,1,1,1,0,
12000,20,58,60,2,right,1,1,1,0,
12000,21,39,40,1,right,1,1,1,0,
12000,22,41,40,1,left,1,1,1,0,
12000,23,50,51,1,right,1,1,1,0,
12000,24,61,60,1,left,0,1,1,1,7
12000,25,40,44,4,right,1,1,0,1,8
12000,26,63,60,3,left,0,1,1,1,9
12000,27,66,60,6,left,1,1,0,1,10
12000,28,60,55,5,left,1,1,1,0,
12000,29,54,50,4,left,1,1,1,0,
12000,30,67,70,3,right,1,1,1,0,
12000,31,48,50,2,right,1,1,1,0,
12000,32,50,49,1,left,1,1,1,0,
12000,33,51,50,1,left,1,1,1,0,
12000,34,71,70,1,left,1,1,1,0,
12000,35,61,60,1,left,1,1,1,0,
12000,36,70,69,1,left,1,1,1,0,
12000,37,60,61,1,right,1,1,1,0,
12000,38,39,40,1,right,0,1,1,1,11
12000,39,60,64,4,right,0,1,0,0,
12000,40,47,40,7,left,1,1,0,1,12
12000,41,50,44,6,left,1,1,1,0,
12000,42,50,45,5,left,1,1,1,0,
12000,43,54,50,4,left,1,1,1,0,
12000,44,40,43,3,right,1,1,1,0,
12000,45,68,70,2,right,1,1,1,0,
12000,46,70,69,1,left,1,1,1,0,
12000,47,40,39,1,left,1,1,1,0,
12000,48,50,51,1,right,0,1,1,1,13
12000,49,40,36,4,left,1,1,0,1,14
12000,50,67,70,3,right,1,1,1,0,
12000,51,58,60,2,right,0,1,1,1,15
12000,52,60,65,5,right,0,1,0,0,
12000,53,60,52,8,left,1,1,0,1,16
12000,54,33,40,7,right,1,1,1,0,
12000,55,50,56,6,right,1,1,1,0,
12000,56,60,65,5,right,1,1,1,0,
12000,57,66,70,4,right,1,1,1,0,
12000,58,60,57,3,left,1,1,1,0,
12000,59,42,40,2,left,1,1,1,0,
12000,60,70,69,1,left,1,1,1,0,
12000,61,70,71,1,right,0,1,1,1,17
12000,62,44,40,4,left,1,1,0,1,18
12000,63,57,60,3,right,1,1,1,0,
12000,64,48,50,2,right,1,1,1,0,
12002,1,40,50,10,right,1,3,,,
12002,2,32,40,8,right,1,3,1,0,
12002,3,70,64,6,left,1,3,1,0,
12002,4,70,74,4,right,1,3,1,0,
12002,5,38,40,2,right,1,3,1,0,
12002,6,40,39,1,left,1,3,1,0,
12002,7,51,50,1,left,1,3,1,0,
12002,8,49,50,1,right,1,3,1,0,
12002,9,50,49,1,left,1,3,1,0,
12002,10,50,51,1,right,0,3,1,1,1
12002,11,74,70,4,left,1,3,0,1,2
12002,12,67,70,3,right,1,3,1,0,
12002,13,52,50,2,left,1,3,1,0,
12002,14,70,69,1,left,1,3,1,0,
12002,15,41,40,1,left,1,3,1,0,
12002,16,69,70,1,right,0,3,1,1,3
12002,17,60,64,4,right,1,3,0,1,4
12002,18,60,63,3,right,1,3,1,0,
12002,19,60,58,2,left,1,3,1,0,
12002,20,60,59,1,left,1,3,1,0,
12002,21,70,71,1,right,1,3,1,0,
12002,22,61,60,1,left,1,3,1,0,
12002,23,50,51,1,right,1,3,1,0,
12002,24,70,71,1,right,1,3,1,0,
12002,25,41,40,1,left,0,3,1,1,5
12002,26,40,36,4,left,1,3,0,1,6
12002,27,60,57,3,left,1,3,1,0,
12002,28,52,50,2,left,1,3,1,0,
12002,29,59,60,1,right,1,3,1,0,
12002,30,71,70,1,left,1,3,1,0,
12002,31,69,70,1,right,1,3,1,0,
12002,32,60,61,1,right,1,3,1,0,
12002,33,50,49,1,left,1,3,1,0,
12002,34,71,70,1,left,1,3,1,0,
