Subject,Trial,Tone1,Tone2,Difference,CorrectResponse,Accuracy,PitchThreshold.last,NextTrial.ACC,Reversal,ReversalNumb
12000,1,820,835,15,second,1,5,,,
12000,2,800,787,13,first,1,5,1,0,
12000,3,831,820,11,first,1,5,1,0,
12000,4,820,829,9,second,0,5,1,1,1
12000,5,800,815,15,second,1,5,0,1,2
12000,6,787,800,13,second,0,5,1,1,3
12000,7,801,820,19,second,1,5,0,1,4
12000,8,820,802,18,first,1,5,1,0,
12000,9,847,830,17,first,1,5,1,0,
12000,10,800,784,16,first,1,5,1,0,
12000,11,810,825,15,second,1,5,1,0,
12000,12,814,800,14,first,1,5,1,0,
12000,13,810,797,13,first,1,5,1,0,
12000,14,822,810,12,first,1,5,1,0,
12000,15,800,811,11,second,1,5,1,0,
12000,16,810,820,10,second,1,5,1,0,
12000,17,820,811,9,first,1,5,1,0,
12000,18,838,830,8,first,1,5,1,0,
12000,19,830,837,7,second,1,5,1,0,
12000,20,814,820,6,second,1,5,1,0,
12000,21,830,825,5,first,1,5,1,0,
12000,22,800,796,4,first,1,5,1,0,
12000,23,830,833,3,second,1,5,1,0,
12000,24,810,812,2,second,0,5,1,1,5
12000,25,825,820,5,first,1,5,0,1,6
12000,26,834,830,4,first,0,5,1,1,7
12000,27,793,800,7,second,1,5,0,1,8
12000,28,800,794,6,first,1,5,1,0,
12000,29,815,820,5,second,1,5,1,0,
12000,30,814,810,4,first,1,5,1,0,
12000,31,797,800,3,second,0,5,1,1,9
12000,32,814,820,6,second,1,5,0,1,10
12000,33,810,805,5,first,1,5,1,0,
12000,34,820,816,4,first,1,5,1,0,
12000,35,817,820,3,second,1,5,1,0,
12000,36,830,828,2,first,1,5,1,0,
12000,37,810,809,1,first,0,5,1,1,11
12000,38,830,826,4,first,1,5,0,1,12
12000,39,813,810,3,first,1,5,1,0,
12000,40,828,830,2,second,0,5,1,1,13
12000,41,805,800,5,first,1,5,0,1,14
12000,42,810,814,4,second,0,5,1,1,15
12000,43,823,830,7,second,1,5,0,1,16
12000,44,794,800,6,second,0,5,1,1,17
12000,45,811,820,9,second,1,5,0,1,18
12000,46,820,828,8,second,1,5,1,0,
12000,47,830,837,7,second,1,5,1,0,
12000,48,820,814,6,first,1,5,1,0,
12000,49,805,800,5,first,1,5,1,0,
12000,50,800,804,4,second,0,5,1,1,19
12000,51,810,817,7,second,1,5,0,1,20
12000,52,800,806,6,second,1,5,1,0,
12000,53,835,830,5,first,1,5,1,0,
12000,54,824,820,4,first,1,5,1,0,
12000,55,803,800,3,first,1,5,1,0,
12000,56,830,832,2,second,1,5,1,0,
12000,57,810,809,1,first,0,5,1,1,21
12000,58,816,820,4,second,0,5,0,0,
12000,59,817,810,7,first,1,5,0,1,22
12000,60,826,820,6,first,1,5,1,0,
12000,61,825,830,5,second,0,5,1,1,23
12000,62,820,828,8,second,1,5,0,1,24
12000,63,830,823,7,first,1,5,1,0,
12000,64,824,830,6,second,1,5,1,0,
12002,1,820,835,15,second,1,4,,,
12002,2,830,817,13,first,1,4,1,0,
12002,3,841,830,11,first,1,4,1,0,
12002,4,811,820,9,second,1,4,1,0,
12002,5,813,820,7,second,1,4,1,0,
12002,6,830,835,5,second,1,4,1,0,
12002,7,800,797,3,first,1,4,1,0,
12002,8,818,820,2,second,1,4,1,0,
12002,9,829,830,1,second,1,4,1,0,
12002,10,811,810,1,first,1,4,1,0,
12002,11,810,809,1,first,1,4,1,0,
12002,12,799,800,1,second,0,4,1,1,1
12002,13,814,810,4,first,1,4,0,1,2
12002,14,800,803,3,second,0,4,1,1,3
12002,15,810,816,6,second,1,4,0,1,4
12002,16,825,830,5,second,1,4,1,0,
12002,17,816,820,4,second,1,4,1,0,
12002,18,797,800,3,second,0,4,1,1,5
12002,19,814,820,6,second,1,4,0,1,6
12002,20,830,835,5,second,1,4,1,0,
12002,21,820,816,4,first,1,4,1,0,
12002,22,800,803,3,second,1,4,1,0,
12002,23,832,830,2,first,1,4,1,0,
12002,24,821,820,1,first,1,4,1,0,
12002,25,811,810,1,first,1,4,1,0,
12002,26,810,809,1,first,1,4,1,0,
12002,27,800,799,1,first,1,4,1,0,
12002,28,830,829,1,first,0,4,1,1,7
12002,29,804,800,4,first,1,4,0,1,8
12002,30,810,807,3,first,1,4,1,0,
12002,31,800,802,2,second,0,4,1,1,9
12002,32,805,800,5,first,1,4,0,1,10
12002,33,820,816,4,first,1,4,1,0,
12002,34,810,813,3,second,0,4,1,1,11
12002,35,826,820,6,first,1,4,0,1,12
12002,36,810,805,5,first,1,4,1,0,
12002,37,796,800,4,second,0,4,1,1,13
12002,38,810,817,7,second,1,4,0,1,14
12002,39,824,830,6,second,1,4,1,0,
12002,40,815,820,5,second,1,4,1,0,
12002,41,820,816,4,first,1,4,1,0,
12002,42,813,810,3,first,0,4,1,1,15
12002,43,820,814,6,first,1,4,0,1,16
12002,44,830,825,5,first,0,4,1,1,17
12002,45,808,800,8,first,1,4,0,1,18
12002,46,830,823,7,first,0,4,1,1,19
12002,47,830,840,10,second,1,4,0,1,20
12002,48,839,830,9,first,1,4,1,0,
12002,49,838,830,8,first,1,4,1,0,
12002,50,820,827,7,second,1,4,1,0,
12002,51,826,820,6,first,1,4,1,0,
12002,52,825,820,5,first,1,4,1,0,
12002,53,800,796,4,first,1,4,1,0,
12002,54,803,800,3,first,1,4,1,0,
12002,55,830,832,2,second,1,4,1,0,
12002,56,810,811,1,second,0,4,1,1,21
12002,57,820,824,4,second,1,4,0,1,22
12002,58,800,797,3,first,1,4,1,0,
12002,59,818,820,2,second,0,4,1,1,23
12002,60,800,805,5,second,0,4,0,0,
12002,61,820,828,8,second,1,4,0,1,24
12002,62,823,830,7,second,1,4,1,0,
12002,63,794,800,6,second,1,4,1,0,
12002,64,815,820,5,second,1,4,1,0,
12006,1,825,810,15,first,0,9,,,
12006,2,809,830,21,second,1,9,0,1,1
12006,3,849,830,19,first,1,9,1,0,
12006,4,830,847,17,second,1,9,1,0,
12006,5,820,805,15,first,1,9,1,0,
12006,6,810,797,13,first,1,9,1,0,
12006,7,841,830,11,first,0,9,1,1,2
12006,8,810,824,14,second,0,9,0,0,
12006,9,837,820,17,first,1,9,0,1,3
12006,10,820,836,16,second,1,9,1,0,
12006,11,815,830,15,second,1,9,1,0,
12006,12,820,834,14,second,1,9,1,0,
12006,13,820,807,13,first,1,9,1,0,
12006,14,800,812,12,second,0,9,1,1,4
12006,15,800,785,15,first,1,9,0,1,5
12006,16,824,810,14,first,1,9,1,0,
12006,17,810,823,13,second,0,9,1,1,6
12006,18,784,800,16,second,1,9,0,1,7
12006,19,800,815,15,second,0,9,1,1,8
12006,20,830,848,18,second,1,9,0,1,9
12006,21,783,800,17,second,1,9,1,0,
12006,22,804,820,16,second,1,9,1,0,
12006,23,805,820,15,second,1,9,1,0,
12006,24,830,816,14,first,1,9,1,0,
12006,25,813,800,13,first,1,9,1,0,
12006,26,830,818,12,first,1,9,1,0,
12006,27,811,800,11,first,1,9,1,0,
12006,28,820,830,10,second,1,9,1,0,
12006,29,839,830,9,first,1,9,1,0,
12006,30,822,830,8,second,1,9,1,0,
12006,31,807,800,7,first,1,9,1,0,
12006,32,826,820,6,first,0,9,1,1,10
12006,33,809,800,9,first,1,9,0,1,11
12006,34,830,838,8,second,1,9,1,0,
12006,35,820,813,7,first,0,9,1,1,12
12006,36,810,820,10,second,1,9,0,1,13
12006,37,800,809,9,second,1,9,1,0,
12006,38,812,820,8,second,1,9,1,0,
12006,39,810,803,7,first,1,9,1,0,
12006,40,814,820,6,second,1,9,1,0,
12006,41,830,825,5,first,1,9,1,0,
12006,42,820,824,4,second,0,9,1,1,14
12006,43,830,823,7,first,1,9,0,1,15
12006,44,820,826,6,second,0,9,1,1,16
12006,45,800,809,9,second,1,9,0,1,17
12006,46,818,810,8,first,1,9,1,0,
12006,47,813,820,7,second,1,9,1,0,
12006,48,800,794,6,first,1,9,1,0,
12006,49,835,830,5,first,1,9,1,0,
12006,50,810,814,4,second,0,9,1,1,18
12006,51,817,810,7,first,1,9,0,1,19
12006,52,810,816,6,second,0,9,1,1,20
12006,53,820,811,9,first,1,9,0,1,21
12006,54,828,820,8,first,0,9,1,1,22
12006,55,800,789,11,first,1,9,0,1,23
12006,56,830,840,10,second,1,9,1,0,
12006,57,810,801,9,first,1,9,1,0,
12006,58,800,792,8,first,1,9,1,0,
12006,59,813,820,7,second,0,9,1,1,24
12006,60,810,820,10,second,1,9,0,1,25
12006,61,810,801,9,first,1,9,1,0,
12006,62,828,820,8,first,0,9,1,1,26
12006,63,789,800,11,second,1,9,0,1,27
12006,64,790,800,10,second,1,9,1,0,
12008,1,830,815,15,first,1,9,,,
12008,2,820,807,13,first,1,9,1,0,
12008,3,811,800,11,first,1,9,1,0,
