Subject,TrialProc,Trial,Condition,RT,Accuracy,Response,Word,Hue,SessionDate,SessionTime
12000,practice,1,congruent,541,1,RED,RED,red,02-24-2015,11:38:53
12000,practice,2,incongruent,1007,1,GREEN,BLUE,green,02-24-2015,11:38:53
12000,practice,3,congruent,519,1,RED,RED,red,02-24-2015,11:38:53
12000,practice,4,congruent,763,1,BLUE,BLUE,blue,02-24-2015,11:38:53
12000,practice,5,congruent,526,1,BLUE,BLUE,blue,02-24-2015,11:38:53
12000,practice,6,incongruent,825,1,RED,GREEN,red,02-24-2015,11:38:53
12000,practice,7,incongruent,528,1,GREEN,RED,green,02-24-2015,11:38:53
12000,practice,8,congruent,491,1,BLUE,BLUE,blue,02-24-2015,11:38:53
12000,practice,9,congruent,416,1,BLUE,BLUE,blue,02-24-2015,11:38:53
12000,practice,10,congruent,511,1,GREEN,GREEN,green,02-24-2015,11:38:53
12000,practice,11,congruent,499,1,GREEN,GREEN,green,02-24-2015,11:38:53
12000,practice,12,incongruent,792,0,RED,RED,blue,02-24-2015,11:38:53
12000,practice,13,incongruent,544,1,BLUE,GREEN,blue,02-24-2015,11:38:53
12000,practice,14,congruent,570,1,GREEN,GREEN,green,02-24-2015,11:38:53
12000,practice,15,congruent,603,1,RED,RED,red,02-24-2015,11:38:53
12000,practice,16,congruent,500,1,RED,RED,red,02-24-2015,11:38:53
12000,practice,17,congruent,568,1,GREEN,GREEN,green,02-24-2015,11:38:53
12000,practice,18,incongruent,721,1,RED,BLUE,red,02-24-2015,11:38:53
12000,real,1,congruent,653,1,BLUE,BLUE,blue,02-24-2015,11:38:53
12000,real,2,congruent,514,1,GREEN,GREEN,green,02-24-2015,11:38:53
12000,real,3,congruent,423,1,GREEN,GREEN,green,02-24-2015,11:38:53
12000,real,4,congruent,582,1,RED,RED,red,02-24-2015,11:38:53
12000,real,5,congruent,407,1,RED,RED,red,02-24-2015,11:38:53
12000,real,6,congruent,479,1,RED,RED,red,02-24-2015,11:38:53
12000,real,7,incongruent,837,1,GREEN,BLUE,green,02-24-2015,11:38:53
12000,real,8,congruent,516,1,RED,RED,red,02-24-2015,11:38:53
12000,real,9,incongruent,719,1,RED,BLUE,red,02-24-2015,11:38:53
12000,real,10,incongruent,641,1,RED,BLUE,red,02-24-2015,11:38:53
12000,real,11,incongruent,584,1,GREEN,RED,green,02-24-2015,11:38:53
12000,real,12,incongruent,665,1,GREEN,RED,green,02-24-2015,11:38:53
