Subject,Block,Trial,SetSize,SubTrial,SubTrialProc,RT,Accuracy,Response,CorrectResponse,MemoryItem,Processing.total,Recall.total,SymSpan.Absolute,SymSpan.Partial,SymSpan.Partial_Block1,SymSpan.Partial_Block2,SymSpan.SymmetryACC,SymSpan.SymmetryDuration,SessionDate,SessionTime
12000,1,1,3,1,ProcessingTask,869,1,FALSE,FALSE,12,3,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,1,3,2,ProcessingTask,591,1,FALSE,FALSE,13,3,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,1,3,3,ProcessingTask,676,1,TRUE,TRUE,1,3,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,1,3,4,Recall,1200,0,15,12,,3,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,1,3,5,Recall,303,0,12,13,,3,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,1,3,6,Recall,707,1,1,1,,3,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,2,6,1,ProcessingTask,613,1,FALSE,FALSE,4,6,6,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,2,6,2,ProcessingTask,644,1,FALSE,FALSE,6,6,6,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,2,6,3,ProcessingTask,507,1,FALSE,FALSE,10,6,6,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,2,6,4,ProcessingTask,672,1,TRUE,TRUE,8,6,6,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,2,6,5,ProcessingTask,595,1,TRUE,TRUE,2,6,6,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,2,6,6,ProcessingTask,476,1,FALSE,FALSE,13,6,6,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,2,6,7,Recall,1032,1,4,4,,6,6,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,2,6,8,Recall,1174,1,6,6,,6,6,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,2,6,9,Recall,432,1,10,10,,6,6,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,2,6,10,Recall,518,1,8,8,,6,6,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,2,6,11,Recall,464,1,2,2,,6,6,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,2,6,12,Recall,533,1,13,13,,6,6,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,3,5,1,ProcessingTask,476,1,TRUE,TRUE,2,5,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,3,5,2,ProcessingTask,1106,1,TRUE,TRUE,12,5,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,3,5,3,ProcessingTask,905,1,TRUE,TRUE,10,5,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,3,5,4,ProcessingTask,605,1,FALSE,FALSE,9,5,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,3,5,5,ProcessingTask,544,1,FALSE,FALSE,4,5,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,3,5,6,Recall,1673,0,10,2,,5,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,3,5,7,Recall,478,1,12,12,,5,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,3,5,8,Recall,483,0,4,10,,5,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,4,4,1,ProcessingTask,848,1,TRUE,TRUE,9,4,3,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,4,4,2,ProcessingTask,599,1,FALSE,FALSE,8,4,3,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,4,4,3,ProcessingTask,914,1,TRUE,TRUE,13,4,3,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,4,4,4,ProcessingTask,462,1,TRUE,TRUE,6,4,3,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,4,4,5,Recall,818,1,9,9,,4,3,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,4,4,6,Recall,705,0,12,8,,4,3,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,4,4,7,Recall,541,1,13,13,,4,3,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,4,4,8,Recall,335,1,6,6,,4,3,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,5,7,1,ProcessingTask,779,1,TRUE,TRUE,10,7,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,5,7,2,ProcessingTask,558,1,FALSE,FALSE,4,7,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,5,7,3,ProcessingTask,717,1,TRUE,TRUE,5,7,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,5,7,4,ProcessingTask,436,1,FALSE,FALSE,12,7,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,5,7,5,ProcessingTask,581,1,FALSE,FALSE,6,7,1,20,34,14,20,1,,02-24-2015,11:19:03
12000,1,5,7,6,ProcessingTask,523,1,FALSE,FALSE,13,7,1,20,34,14,20,1,,02-24-2015,11:19:03
