Subject,TrialProc,Trial,Accuracy,RT,Target,FixationDuration,AdminTime,SessionDate,SessionTime
14003,practice,1,0,2082,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,practice,2,0,2180,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,practice,3,0,1444,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,practice,4,1,665,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,practice,5,0,800,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,practice,6,1,1042,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,practice,7,1,1900,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,practice,8,1,1107,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,practice,9,1,1035,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,practice,10,0,3717,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,practice,11,0,887,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,practice,12,0,756,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,practice,13,0,486,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,practice,14,0,506,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,practice,15,1,633,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,practice,16,1,1024,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,1,0,608,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,2,0,970,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,3,1,1247,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,4,0,689,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,5,1,862,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,6,0,685,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,7,0,591,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,8,1,302,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,9,1,645,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,10,1,860,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,11,1,771,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,12,0,687,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,13,1,676,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,14,1,558,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,15,0,776,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,16,0,2372,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,17,0,777,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,18,0,808,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,19,0,789,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,20,0,1204,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,21,0,1209,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,22,1,485,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,23,1,714,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,24,0,724,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,25,0,632,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,26,0,4202,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,27,1,1335,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,28,1,1894,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,29,0,1894,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,30,1,1253,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,31,1,1924,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,32,1,1057,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,33,1,1252,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,34,1,992,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,35,0,1072,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,36,1,1847,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,37,1,1667,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,38,0,1354,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,39,1,1466,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,40,0,1193,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,41,1,827,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,42,0,1162,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,43,0,548,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,44,0,1106,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,45,0,785,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,46,0,1033,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,47,1,2026,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,48,0,2298,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,49,0,658,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,50,0,0,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,51,0,1229,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,52,1,991,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,53,1,1048,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,54,1,1029,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,55,0,1055,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,56,0,1510,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,57,1,1073,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,58,0,1203,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,59,1,944,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,60,1,1151,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,61,0,1044,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,62,1,1163,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,63,0,1002,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,64,0,1188,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,65,0,1460,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,66,0,1232,Q,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,67,0,1167,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,68,1,1049,O,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,69,1,1070,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,70,1,1261,O,2000,9.116383333333333,10-06-2017,12:31:03
14003,real,71,1,1165,Q,3000,9.116383333333333,10-06-2017,12:31:03
14003,real,72,1,1111,O,3000,9.116383333333333,10-06-2017,12:31:03
14004,practice,1,1,319,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,2,0,652,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,3,1,549,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,4,0,1050,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,5,1,587,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,6,1,479,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,7,1,352,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,8,1,597,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,9,1,672,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,10,1,575,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,11,1,698,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,12,1,401,Q,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,13,1,429,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,practice,14,0,461,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,15,1,366,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,practice,16,1,267,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,1,1,385,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,2,1,262,O,2000,9.007533333333333,10-24-2017,15:12:49
14004,real,3,1,439,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,4,0,671,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,5,1,398,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,6,1,746,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,7,1,455,Q,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,8,1,353,O,3000,9.007533333333333,10-24-2017,15:12:49
14004,real,9,0,540,O,3000,9.007533333333333,10-24-2017,15:12:49
