Subject,TrialProc,Trial,Accuracy,RT,Response,CorrectResponse,Symbol,Time,SessionDate,SessionTime
14005,practice,1,1,2421,1,1,–,71603,09-04-2014,11:26:22
14005,practice,2,1,2547,3,3,?,74053,09-04-2014,11:26:22
14005,practice,3,1,2845,7,7,?,76619,09-04-2014,11:26:22
14005,practice,4,1,2139,2,2,?,79485,09-04-2014,11:26:22
14005,practice,5,1,1589,4,4,L,81651,09-04-2014,11:26:22
14005,practice,6,1,2005,8,8,X,83267,09-04-2014,11:26:22
14005,practice,7,1,1380,1,1,–,85300,09-04-2014,11:26:22
14005,practice,8,1,2332,5,5,U,86700,09-04-2014,11:26:22
14005,practice,9,1,1311,4,4,L,89049,09-04-2014,11:26:22
14005,real,1,1,1386,2,2,?,93198,09-04-2014,11:26:22
14005,real,2,1,1218,1,1,–,94598,09-04-2014,11:26:22
14005,real,3,1,1169,3,3,?,95831,09-04-2014,11:26:22
14005,real,4,1,1010,2,2,?,97014,09-04-2014,11:26:22
14005,real,5,1,809,1,1,–,98047,09-04-2014,11:26:22
14005,real,6,0,1240,5,4,L,98880,09-04-2014,11:26:22
14005,real,7,1,2486,2,2,?,100146,09-04-2014,11:26:22
14005,real,8,1,1634,3,3,?,102646,09-04-2014,11:26:22
14005,real,9,1,1777,5,5,U,104295,09-04-2014,11:26:22
14005,real,10,1,1577,2,2,?,106095,09-04-2014,11:26:22
14005,real,11,1,1418,3,3,?,107694,09-04-2014,11:26:22
14005,real,12,1,1185,1,1,–,109127,09-04-2014,11:26:22
14005,real,13,1,1905,4,4,L,110327,09-04-2014,11:26:22
14005,real,14,1,4788,6,6,0,112260,09-04-2014,11:26:22
14005,real,15,1,2579,3,3,?,117076,09-04-2014,11:26:22
14005,real,16,1,2893,1,1,–,119675,09-04-2014,11:26:22
14005,real,17,1,3352,5,5,U,122591,09-04-2014,11:26:22
14005,real,18,1,1394,4,4,L,125973,09-04-2014,11:26:22
14005,real,19,1,1385,2,2,?,127390,09-04-2014,11:26:22
14005,real,20,1,1794,7,7,?,128789,09-04-2014,11:26:22
14005,real,21,1,1562,6,6,0,130605,09-04-2014,11:26:22
14005,real,22,1,1915,3,3,?,132188,09-04-2014,11:26:22
14005,real,23,1,1774,5,5,U,134121,09-04-2014,11:26:22
14005,real,24,1,1878,7,7,?,135921,09-04-2014,11:26:22
14005,real,25,1,1339,2,2,?,137820,09-04-2014,11:26:22
14005,real,26,1,1716,8,8,X,139187,09-04-2014,11:26:22
14005,real,27,1,1679,5,5,U,140920,09-04-2014,11:26:22
14005,real,28,1,1996,4,4,L,142619,09-04-2014,11:26:22
14005,real,29,1,2252,6,6,0,144635,09-04-2014,11:26:22
14005,real,30,1,1506,3,3,?,146901,09-04-2014,11:26:22
14005,real,31,1,1925,7,7,?,148434,09-04-2014,11:26:22
14005,real,32,1,1367,2,2,?,150384,09-04-2014,11:26:22
14005,real,33,1,1616,8,8,X,151767,09-04-2014,11:26:22
14005,real,34,1,1071,1,1,–,153400,09-04-2014,11:26:22
14005,real,35,1,2883,9,9,=,154500,09-04-2014,11:26:22
14005,real,36,1,1552,5,5,U,157399,09-04-2014,11:26:22
14005,real,37,1,1698,8,8,X,158965,09-04-2014,11:26:22
14005,real,38,1,1246,4,4,L,160681,09-04-2014,11:26:22
14005,real,39,1,1467,7,7,?,161948,09-04-2014,11:26:22
14005,real,40,1,1120,3,3,?,163431,09-04-2014,11:26:22
14005,real,41,1,3123,6,6,0,164580,09-04-2014,11:26:22
14005,real,42,1,1045,2,2,?,167730,09-04-2014,11:26:22
14005,real,43,1,1483,5,5,U,168796,09-04-2014,11:26:22
14005,real,44,1,1919,1,1,–,170296,09-04-2014,11:26:22
14005,real,45,1,1426,9,9,=,172245,09-04-2014,11:26:22
14005,real,46,1,1016,2,2,?,173695,09-04-2014,11:26:22
14005,real,47,1,2415,8,8,X,174728,09-04-2014,11:26:22
14005,real,48,1,990,3,3,?,177161,09-04-2014,11:26:22
14005,real,49,1,1382,7,7,?,178177,09-04-2014,11:26:22
14005,real,50,1,1566,4,4,L,179577,09-04-2014,11:26:22
14005,real,51,1,2623,6,6,0,181160,09-04-2014,11:26:22
14009,practice,1,1,3276,1,1,–,43299,01-05-2014,15:00:24
14009,practice,2,1,3849,3,3,?,46598,01-05-2014,15:00:24
14009,practice,3,1,3327,7,7,?,50464,01-05-2014,15:00:24
14009,practice,4,1,1898,2,2,?,53813,01-05-2014,15:00:24
14009,practice,5,1,1774,4,4,L,55729,01-05-2014,15:00:24
14009,practice,6,1,2182,8,8,X,57529,01-05-2014,15:00:24
14009,practice,7,1,1775,1,1,–,59728,01-05-2014,15:00:24
14009,practice,8,1,2615,5,5,U,61528,01-05-2014,15:00:24
14009,practice,9,1,1742,4,4,L,64161,01-05-2014,15:00:24
14009,real,1,1,2037,2,2,?,70026,01-05-2014,15:00:24
14009,real,2,1,963,1,1,–,72092,01-05-2014,15:00:24
14009,real,3,1,1132,3,3,?,73075,01-05-2014,15:00:24
14009,real,4,1,1598,2,2,?,74225,01-05-2014,15:00:24
14009,real,5,1,958,1,1,–,75841,01-05-2014,15:00:24
14009,real,6,1,2935,4,4,L,76824,01-05-2014,15:00:24
14009,real,7,1,1714,2,2,?,79773,01-05-2014,15:00:24
14009,real,8,1,1149,3,3,?,81506,01-05-2014,15:00:24
14009,real,9,1,2494,5,5,U,82673,01-05-2014,15:00:24
14009,real,10,1,1354,2,2,?,85189,01-05-2014,15:00:24
14009,real,11,1,1618,3,3,?,86572,01-05-2014,15:00:24
14009,real,12,1,1041,1,1,–,88205,01-05-2014,15:00:24
14009,real,13,1,1799,4,4,L,89271,01-05-2014,15:00:24
14009,real,14,1,2735,6,6,0,91087,01-05-2014,15:00:24
14009,real,15,1,2050,3,3,?,93836,01-05-2014,15:00:24
14009,real,16,1,719,1,1,–,95903,01-05-2014,15:00:24
14009,real,17,1,2898,5,5,U,96636,01-05-2014,15:00:24
14009,real,18,1,1054,4,4,L,99552,01-05-2014,15:00:24
14009,real,19,1,1763,2,2,?,100635,01-05-2014,15:00:24
14009,real,20,1,2012,7,7,?,102418,01-05-2014,15:00:24
14009,real,21,1,4396,6,6,0,104450,01-05-2014,15:00:24
14009,real,22,1,1756,3,3,?,108866,01-05-2014,15:00:24
14009,real,23,1,2437,5,5,U,110649,01-05-2014,15:00:24
14009,real,24,1,2307,7,7,?,113115,01-05-2014,15:00:24
14009,real,25,1,1462,2,2,?,115448,01-05-2014,15:00:24
14009,real,26,1,1931,8,8,X,116931,01-05-2014,15:00:24
14009,real,27,1,2798,5,5,U,118880,01-05-2014,15:00:24
14009,real,28,1,1582,4,4,L,121696,01-05-2014,15:00:24
14009,real,29,1,2078,6,6,0,123296,01-05-2014,15:00:24
14009,real,30,1,1595,3,3,?,125395,01-05-2014,15:00:24
14009,real,31,1,2059,7,7,?,127011,01-05-2014,15:00:24
14009,real,32,1,1544,2,2,?,129094,01-05-2014,15:00:24
14009,real,33,1,1914,8,8,X,130660,01-05-2014,15:00:24
14009,real,34,1,989,1,1,–,132593,01-05-2014,15:00:24
14009,real,35,1,1060,9,9,=,133610,01-05-2014,15:00:24
14009,real,36,1,3369,5,5,U,134693,01-05-2014,15:00:24
14009,real,37,1,2066,8,8,X,138092,01-05-2014,15:00:24
14009,real,38,1,2623,4,4,L,140175,01-05-2014,15:00:24
14009,real,39,1,1974,7,7,?,142824,01-05-2014,15:00:24
14009,real,40,1,1798,3,3,?,144824,01-05-2014,15:00:24
14009,real,41,1,2558,6,6,0,146640,01-05-2014,15:00:24
14009,real,42,1,1607,2,2,?,149222,01-05-2014,15:00:24
14009,real,43,1,2038,5,5,U,150855,01-05-2014,15:00:24
14009,real,44,1,1268,1,1,–,152921,01-05-2014,15:00:24
14009,real,45,1,5200,9,9,=,154205,01-05-2014,15:00:24
14009,real,46,1,1105,2,2,?,159420,01-05-2014,15:00:24
14011,practice,1,1,2298,1,1,–,47255,09-07-2014,14:58:33
14011,practice,2,1,1869,3,3,?,49588,09-07-2014,14:58:33
14011,practice,3,1,2209,7,7,?,51488,09-07-2014,14:58:33
14011,practice,4,1,1769,2,2,?,53720,09-07-2014,14:58:33
14011,practice,5,1,1474,4,4,L,55503,09-07-2014,14:58:33
14011,practice,6,1,1558,8,8,X,57003,09-07-2014,14:58:33
14011,practice,7,1,1542,1,1,–,58586,09-07-2014,14:58:33
14011,practice,8,1,1448,5,5,U,60152,09-07-2014,14:58:33
14011,practice,9,1,2286,4,4,L,61618,09-07-2014,14:58:33
14011,real,1,1,3054,2,2,?,68050,09-07-2014,14:58:33
14011,real,2,1,1092,1,1,–,71132,09-07-2014,14:58:33
14011,real,3,1,1751,3,3,?,72249,09-07-2014,14:58:33
14011,real,4,1,1057,2,2,?,74015,09-07-2014,14:58:33
14011,real,5,1,1094,1,1,–,75098,09-07-2014,14:58:33
14011,real,6,1,1418,4,4,L,76214,09-07-2014,14:58:33
14011,real,7,1,1217,2,2,?,77647,09-07-2014,14:58:33
14011,real,8,1,1456,3,3,?,78880,09-07-2014,14:58:33
14011,real,9,1,1157,5,5,U,80363,09-07-2014,14:58:33
14011,real,10,1,1286,2,2,?,81546,09-07-2014,14:58:33
14011,real,11,1,1506,3,3,?,82846,09-07-2014,14:58:33
14011,real,12,1,1093,1,1,–,84379,09-07-2014,14:58:33
14011,real,13,0,1161,6,4,L,85495,09-07-2014,14:58:33
14011,real,14,1,3114,6,6,0,86678,09-07-2014,14:58:33
14011,real,15,1,2013,3,3,?,89811,09-07-2014,14:58:33
14011,real,16,1,1740,1,1,–,91844,09-07-2014,14:58:33
14011,real,17,1,1878,5,5,U,93610,09-07-2014,14:58:33
14011,real,18,1,1642,4,4,L,95509,09-07-2014,14:58:33
14011,real,19,1,1752,2,2,?,97175,09-07-2014,14:58:33
14011,real,20,1,1793,7,7,?,98942,09-07-2014,14:58:33
14011,real,21,1,1545,6,6,0,100758,09-07-2014,14:58:33
14011,real,22,1,1419,3,3,?,102324,09-07-2014,14:58:33
14011,real,23,1,1378,5,5,U,103757,09-07-2014,14:58:33
14011,real,24,1,2058,7,7,?,105157,09-07-2014,14:58:33
14011,real,25,1,1304,2,2,?,107239,09-07-2014,14:58:33
14011,real,26,1,1891,8,8,X,108572,09-07-2014,14:58:33
14011,real,27,1,1318,5,5,U,110489,09-07-2014,14:58:33
14011,real,28,1,1281,4,4,L,111822,09-07-2014,14:58:33
14011,real,29,1,1758,6,6,0,113121,09-07-2014,14:58:33
14011,real,30,1,1287,3,3,?,114904,09-07-2014,14:58:33
14011,real,31,1,2691,7,7,?,116220,09-07-2014,14:58:33
14011,real,32,1,1735,2,2,?,118936,09-07-2014,14:58:33
14011,real,33,1,1937,8,8,X,120686,09-07-2014,14:58:33
14011,real,34,1,1091,1,1,–,122652,09-07-2014,14:58:33
14011,real,35,1,1495,9,9,=,123768,09-07-2014,14:58:33
14011,real,36,1,1434,5,5,U,125285,09-07-2014,14:58:33
14011,real,37,1,2369,8,8,X,126734,09-07-2014,14:58:33
14011,real,38,1,1986,4,4,L,129117,09-07-2014,14:58:33
14011,real,39,1,1778,7,7,?,131116,09-07-2014,14:58:33
14011,real,40,1,1866,3,3,?,132916,09-07-2014,14:58:33
14011,real,41,1,2079,6,6,0,134799,09-07-2014,14:58:33
14011,real,42,1,1420,2,2,?,136898,09-07-2014,14:58:33
14011,real,43,1,1314,5,5,U,138348,09-07-2014,14:58:33
14011,real,44,1,973,1,1,–,139681,09-07-2014,14:58:33
14011,real,45,1,1141,9,9,=,140681,09-07-2014,14:58:33
14011,real,46,1,1383,2,2,?,141847,09-07-2014,14:58:33
14011,real,47,1,1615,8,8,X,143247,09-07-2014,14:58:33
14011,real,48,1,2943,3,3,?,144879,09-07-2014,14:58:33
14011,real,49,1,1593,7,7,?,147845,09-07-2014,14:58:33
14011,real,50,1,1208,4,4,L,149462,09-07-2014,14:58:33
14011,real,51,1,1783,6,6,0,150695,09-07-2014,14:58:33
14011,real,52,1,1376,5,5,U,152494,09-07-2014,14:58:33
14011,real,53,1,1176,9,9,=,153894,09-07-2014,14:58:33
14011,real,54,1,1241,4,4,L,155093,09-07-2014,14:58:33
14011,real,55,1,1574,8,8,X,156360,09-07-2014,14:58:33
14011,real,56,1,1399,3,3,?,157959,09-07-2014,14:58:33
14012,practice,1,1,4490,1,1,–,41706,10-22-2018,09:12:59
14012,practice,2,1,3575,3,3,?,46221,10-22-2018,09:12:59
14012,practice,3,1,3816,7,7,?,49820,10-22-2018,09:12:59
14012,practice,4,1,20655,2,2,?,53653,10-22-2018,09:12:59
14012,practice,5,0,201,2,4,L,74331,10-22-2018,09:12:59
14012,practice,6,1,4593,8,8,X,74547,10-22-2018,09:12:59
14012,practice,7,1,3033,1,1,–,79163,10-22-2018,09:12:59
14012,practice,8,1,2880,5,5,U,82212,10-22-2018,09:12:59
14012,practice,9,0,605,3,4,L,85111,10-22-2018,09:12:59
14012,practice,10,1,3485,1,1,–,112054,10-22-2018,09:12:59
14012,practice,11,1,2210,3,3,?,115553,10-22-2018,09:12:59
14012,practice,12,1,1977,7,7,?,117786,10-22-2018,09:12:59
14012,practice,13,1,2281,2,2,?,119786,10-22-2018,09:12:59
14012,practice,14,1,3502,4,4,L,122085,10-22-2018,09:12:59
14012,practice,15,1,2194,8,8,X,125601,10-22-2018,09:12:59
14012,practice,16,1,1594,1,1,–,127817,10-22-2018,09:12:59
14012,practice,17,1,2602,5,5,U,129433,10-22-2018,09:12:59
14012,practice,18,1,2033,4,4,L,132049,10-22-2018,09:12:59
14012,real,1,1,1526,2,2,?,137964,10-22-2018,09:12:59
14012,real,2,1,1800,1,1,–,139514,10-22-2018,09:12:59
14012,real,3,1,1296,3,3,?,141330,10-22-2018,09:12:59
14012,real,4,1,1100,2,2,?,142646,10-22-2018,09:12:59
14012,real,5,1,687,1,1,–,143763,10-22-2018,09:12:59
14012,real,6,1,1475,4,4,L,144463,10-22-2018,09:12:59
14012,real,7,1,1192,2,2,?,145962,10-22-2018,09:12:59
14012,real,8,1,1288,3,3,?,147178,10-22-2018,09:12:59
14012,real,9,1,1379,5,5,U,148495,10-22-2018,09:12:59
14012,real,10,1,2588,2,2,?,149894,10-22-2018,09:12:59
14012,real,11,1,1124,3,3,?,152510,10-22-2018,09:12:59
14012,real,12,1,1318,1,1,–,153660,10-22-2018,09:12:59
14012,real,13,0,1185,5,4,L,154993,10-22-2018,09:12:59
14012,real,14,1,2513,6,6,0,156193,10-22-2018,09:12:59
14012,real,15,1,3549,3,3,?,158725,10-22-2018,09:12:59
14012,real,16,1,2287,1,1,–,162291,10-22-2018,09:12:59
14012,real,17,1,1523,5,5,U,164591,10-22-2018,09:12:59
14012,real,18,1,1414,4,4,L,166140,10-22-2018,09:12:59
14012,real,19,1,1085,2,2,?,167573,10-22-2018,09:12:59
14012,real,20,1,1841,7,7,?,168673,10-22-2018,09:12:59
14012,real,21,1,2087,6,6,0,170539,10-22-2018,09:12:59
14012,real,22,1,1299,3,3,?,172639,10-22-2018,09:12:59
14012,real,23,0,1263,6,5,U,173955,10-22-2018,09:12:59
14012,real,24,1,2300,7,7,?,175238,10-22-2018,09:12:59
14012,real,25,1,896,2,2,?,177554,10-22-2018,09:12:59
14012,real,26,1,1947,8,8,X,178470,10-22-2018,09:12:59
14012,real,27,1,1549,5,5,U,180437,10-22-2018,09:12:59
14012,real,28,1,1102,4,4,L,182003,10-22-2018,09:12:59
14012,real,29,1,1490,6,6,0,183119,10-22-2018,09:12:59
14012,real,30,1,1318,3,3,?,184635,10-22-2018,09:12:59
14012,real,31,1,1649,7,7,?,185968,10-22-2018,09:12:59
14012,real,32,1,1790,2,2,?,187635,10-22-2018,09:12:59
14012,real,33,1,2086,8,8,X,189451,10-22-2018,09:12:59
14012,real,34,1,1363,1,1,–,191550,10-22-2018,09:12:59
14012,real,35,1,1404,9,9,=,192933,10-22-2018,09:12:59
14012,real,36,1,1651,5,5,U,194350,10-22-2018,09:12:59
14012,real,37,1,1553,8,8,X,196016,10-22-2018,09:12:59
14012,real,38,1,1587,4,4,L,197582,10-22-2018,09:12:59
14012,real,39,1,1475,7,7,?,199182,10-22-2018,09:12:59
14012,real,40,1,1144,3,3,?,200681,10-22-2018,09:12:59
14012,real,41,1,2073,6,6,0,201848,10-22-2018,09:12:59
14012,real,42,1,998,2,2,?,203947,10-22-2018,09:12:59
14012,real,43,1,1726,5,5,U,204963,10-22-2018,09:12:59
14012,real,44,1,792,1,1,–,206713,10-22-2018,09:12:59
14012,real,45,1,1976,9,9,=,207529,10-22-2018,09:12:59
