Subject,Trial,Tone1,Tone2,Difference,CorrectResponse,Accuracy,NextTrial.ACC,Reversal,ReversalNumb,DurationThreshold.last,SessionDate,SessionTime
14005,1,150,250,100,second,0,NA,NA,NA,40,08-28-2018,11:13:34
14005,2,500,350,150,first,1,0,1,1,40,08-28-2018,11:13:34
14005,3,380,250,130,first,1,1,0,NA,40,08-28-2018,11:13:34
14005,4,320,430,110,second,1,1,0,NA,40,08-28-2018,11:13:34
14005,5,250,340,90,second,0,1,1,2,40,08-28-2018,11:13:34
14005,6,100,250,150,second,1,0,1,3,40,08-28-2018,11:13:34
14005,7,150,280,130,second,1,1,0,NA,40,08-28-2018,11:13:34
14005,8,320,440,120,second,1,1,0,NA,40,08-28-2018,11:13:34
14005,9,240,350,110,second,1,1,0,NA,40,08-28-2018,11:13:34
14005,10,420,320,100,first,1,1,0,NA,40,08-28-2018,11:13:34
14005,11,410,320,90,first,1,1,0,NA,40,08-28-2018,11:13:34
14005,12,250,330,80,second,1,1,0,NA,40,08-28-2018,11:13:34
14005,13,180,250,70,second,1,1,0,NA,40,08-28-2018,11:13:34
14005,14,250,310,60,second,0,1,1,4,40,08-28-2018,11:13:34
14005,15,260,350,90,second,1,0,1,5,40,08-28-2018,11:13:34
14005,16,360,280,80,first,1,1,0,NA,40,08-28-2018,11:13:34
14005,17,250,320,70,second,1,1,0,NA,40,08-28-2018,11:13:34
14005,18,320,260,60,first,1,1,0,NA,40,08-28-2018,11:13:34
14005,19,350,400,50,second,1,1,0,NA,40,08-28-2018,11:13:34
14005,20,280,240,40,first,1,1,0,NA,40,08-28-2018,11:13:34
14005,21,320,290,30,first,1,1,0,NA,40,08-28-2018,11:13:34
14005,22,250,230,20,first,1,1,0,NA,40,08-28-2018,11:13:34
14005,23,360,350,10,first,0,1,1,6,40,08-28-2018,11:13:34
14005,24,280,240,40,first,1,0,1,7,40,08-28-2018,11:13:34
14005,25,320,290,30,first,1,1,0,NA,40,08-28-2018,11:13:34
14005,26,280,300,20,second,0,1,1,8,40,08-28-2018,11:13:34
14005,27,280,230,50,first,1,0,1,9,40,08-28-2018,11:13:34
14005,28,280,320,40,second,1,1,0,NA,40,08-28-2018,11:13:34
14005,29,250,280,30,second,0,1,1,10,40,08-28-2018,11:13:34
14005,30,350,290,60,first,1,0,1,11,40,08-28-2018,11:13:34
14005,31,350,300,50,first,1,1,0,NA,40,08-28-2018,11:13:34
14005,32,240,280,40,second,0,1,1,12,40,08-28-2018,11:13:34
14005,33,280,350,70,second,1,0,1,13,40,08-28-2018,11:13:34
14005,34,350,410,60,second,1,1,0,NA,40,08-28-2018,11:13:34
14005,35,300,250,50,first,1,1,0,NA,40,08-28-2018,11:13:34
14005,36,280,320,40,second,0,1,1,14,40,08-28-2018,11:13:34
