Subject,Trial,Tone1,Tone2,Difference,CorrectResponse,Accuracy,NextTrial.ACC,Reversal,ReversalNumb,LoudThreshold.last,SessionDate,SessionTime
14000,1,13,23,10,second,1,NA,NA,NA,5,09-24-2017,14:39:07
14000,2,21,13,8,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,3,13,7,6,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,4,13,17,4,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,5,11,13,2,second,0,1,1,1,5,09-24-2017,14:39:07
14000,6,13,5,8,first,1,0,1,2,5,09-24-2017,14:39:07
14000,7,13,7,6,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,8,18,13,5,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,9,17,13,4,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,10,13,10,3,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,11,13,11,2,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,12,13,14,1,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,13,13,12,1,first,0,1,1,3,5,09-24-2017,14:39:07
14000,14,9,13,4,second,0,0,0,NA,5,09-24-2017,14:39:07
14000,15,6,13,7,second,1,0,1,4,5,09-24-2017,14:39:07
14000,16,7,13,6,second,0,1,1,5,5,09-24-2017,14:39:07
14000,17,13,22,9,second,1,0,1,6,5,09-24-2017,14:39:07
14000,18,13,21,8,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,19,13,20,7,second,0,1,1,7,5,09-24-2017,14:39:07
14000,20,23,13,10,first,1,0,1,8,5,09-24-2017,14:39:07
14000,21,22,13,9,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,22,21,13,8,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,23,13,20,7,second,0,1,1,9,5,09-24-2017,14:39:07
14000,24,3,13,10,second,1,0,1,10,5,09-24-2017,14:39:07
14000,25,4,13,9,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,26,13,21,8,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,27,6,13,7,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,28,19,13,6,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,29,8,13,5,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,30,9,13,4,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,31,16,13,3,first,0,1,1,11,5,09-24-2017,14:39:07
14000,32,19,13,6,first,1,0,1,12,5,09-24-2017,14:39:07
14000,33,13,8,5,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,34,17,13,4,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,35,13,16,3,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,36,13,11,2,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,37,13,14,1,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,38,13,12,1,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,39,13,12,1,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,40,12,13,1,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,41,13,14,1,second,0,1,1,13,5,09-24-2017,14:39:07
14000,42,9,13,4,second,1,0,1,14,5,09-24-2017,14:39:07
14000,43,10,13,3,second,0,1,1,15,5,09-24-2017,14:39:07
14000,44,7,13,6,second,0,0,0,NA,5,09-24-2017,14:39:07
14000,45,4,13,9,second,1,0,1,16,5,09-24-2017,14:39:07
14000,46,13,21,8,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,47,13,6,7,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,48,19,13,6,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,49,13,18,5,second,0,1,1,17,5,09-24-2017,14:39:07
14000,50,13,5,8,first,1,0,1,18,5,09-24-2017,14:39:07
14000,51,13,20,7,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,52,13,19,6,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,53,13,8,5,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,54,17,13,4,first,0,1,1,19,5,09-24-2017,14:39:07
14000,55,6,13,7,second,0,0,0,NA,5,09-24-2017,14:39:07
14000,56,13,3,10,first,1,0,1,20,5,09-24-2017,14:39:07
14000,57,22,13,9,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,58,13,5,8,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,59,13,20,7,second,1,1,0,NA,5,09-24-2017,14:39:07
14000,60,19,13,6,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,61,13,8,5,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,62,17,13,4,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,63,16,13,3,first,1,1,0,NA,5,09-24-2017,14:39:07
14000,64,11,13,2,second,0,1,1,21,5,09-24-2017,14:39:07
14001,1,13,3,10,first,1,NA,NA,NA,3,09-24-2017,14:30:35
14001,2,5,13,8,second,0,1,1,1,3,09-24-2017,14:30:35
14001,3,0,13,13,second,1,0,1,2,3,09-24-2017,14:30:35
14001,4,24,13,11,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,5,13,4,9,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,6,6,13,7,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,7,13,18,5,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,8,13,9,4,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,9,13,16,3,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,10,15,13,2,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,11,14,13,1,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,12,12,13,1,second,0,1,1,3,3,09-24-2017,14:30:35
14001,13,13,17,4,second,1,0,1,4,3,09-24-2017,14:30:35
14001,14,13,10,3,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,15,15,13,2,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,16,12,13,1,second,0,1,1,5,3,09-24-2017,14:30:35
14001,17,13,17,4,second,1,0,1,6,3,09-24-2017,14:30:35
14001,18,13,10,3,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,19,11,13,2,second,0,1,1,7,3,09-24-2017,14:30:35
14001,20,8,13,5,second,0,0,0,NA,3,09-24-2017,14:30:35
14001,21,21,13,8,first,1,0,1,8,3,09-24-2017,14:30:35
14001,22,20,13,7,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,23,13,19,6,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,24,13,8,5,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,25,13,17,4,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,26,13,16,3,second,0,1,1,9,3,09-24-2017,14:30:35
14001,27,7,13,6,second,0,0,0,NA,3,09-24-2017,14:30:35
14001,28,13,4,9,first,1,0,1,10,3,09-24-2017,14:30:35
14001,29,5,13,8,second,0,1,1,11,3,09-24-2017,14:30:35
14001,30,13,2,11,first,1,0,1,12,3,09-24-2017,14:30:35
14001,31,13,23,10,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,32,22,13,9,first,0,1,1,13,3,09-24-2017,14:30:35
14001,33,25,13,12,first,1,0,1,14,3,09-24-2017,14:30:35
14001,34,13,24,11,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,35,13,3,10,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,36,4,13,9,second,0,1,1,15,3,09-24-2017,14:30:35
14001,37,1,13,12,second,1,0,1,16,3,09-24-2017,14:30:35
14001,38,2,13,11,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,39,13,23,10,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,40,13,22,9,second,0,1,1,17,3,09-24-2017,14:30:35
14001,41,25,13,12,first,1,0,1,18,3,09-24-2017,14:30:35
14001,42,24,13,11,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,43,13,3,10,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,44,22,13,9,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,45,13,5,8,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,46,20,13,7,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,47,7,13,6,second,0,1,1,19,3,09-24-2017,14:30:35
14001,48,13,4,9,first,1,0,1,20,3,09-24-2017,14:30:35
14001,49,13,21,8,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,50,13,20,7,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,51,7,13,6,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,52,13,8,5,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,53,13,9,4,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,54,16,13,3,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,55,11,13,2,second,0,1,1,21,3,09-24-2017,14:30:35
14001,56,13,18,5,second,1,0,1,22,3,09-24-2017,14:30:35
14001,57,17,13,4,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,58,13,16,3,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,59,15,13,2,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,60,14,13,1,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,61,13,12,1,first,1,1,0,NA,3,09-24-2017,14:30:35
14001,62,12,13,1,second,1,1,0,NA,3,09-24-2017,14:30:35
14001,63,13,14,1,second,0,1,1,23,3,09-24-2017,14:30:35
14001,64,13,9,4,first,1,0,1,24,3,09-24-2017,14:30:35
14010,1,3,13,10,second,1,NA,NA,NA,1,09-28-2017,12:42:32
14010,2,5,13,8,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,3,13,19,6,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,4,13,9,4,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,5,15,13,2,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,6,13,14,1,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,7,12,13,1,second,0,1,1,1,1,09-28-2017,12:42:32
14010,8,9,13,4,second,1,0,1,2,1,09-28-2017,12:42:32
14010,9,13,16,3,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,10,13,15,2,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,11,12,13,1,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,12,13,14,1,second,0,1,1,3,1,09-28-2017,12:42:32
14010,13,17,13,4,first,1,0,1,4,1,09-28-2017,12:42:32
14010,14,13,10,3,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,15,13,15,2,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,16,13,12,1,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,17,12,13,1,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,18,12,13,1,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,19,13,12,1,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,20,12,13,1,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,21,13,14,1,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,22,12,13,1,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,23,13,14,1,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,24,14,13,1,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,25,13,14,1,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,26,13,14,1,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,27,14,13,1,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,28,13,12,1,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,29,13,12,1,first,0,1,1,5,1,09-28-2017,12:42:32
14010,30,13,9,4,first,1,0,1,6,1,09-28-2017,12:42:32
14010,31,16,13,3,first,0,1,1,7,1,09-28-2017,12:42:32
14010,32,13,7,6,first,1,0,1,8,1,09-28-2017,12:42:32
14010,33,13,18,5,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,34,9,13,4,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,35,16,13,3,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,36,15,13,2,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,37,12,13,1,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,38,13,14,1,second,0,1,1,9,1,09-28-2017,12:42:32
14010,39,9,13,4,second,1,0,1,10,1,09-28-2017,12:42:32
14010,40,13,16,3,second,1,1,0,NA,1,09-28-2017,12:42:32
14010,41,15,13,2,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,42,14,13,1,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,43,14,13,1,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,44,13,12,1,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,45,14,13,1,first,0,1,1,11,1,09-28-2017,12:42:32
14010,46,13,17,4,second,1,0,1,12,1,09-28-2017,12:42:32
14010,47,13,10,3,first,1,1,0,NA,1,09-28-2017,12:42:32
14010,48,15,13,2,first,0,1,1,13,1,09-28-2017,12:42:32
