Subject,Block,Trial,SetSize,SubTrial,SubTrialProc,RT,Accuracy,Response,CorrectResponse,MemoryItem,Processing.total,Recall.total,OSpan.Absolute,OSpan.Partial,OSpan.Partial_Block1,OSpan.Partial_Block2,OSpan.MathACC,OSpan.AvgMathTime,SessionDate,SessionTime
14000,1,1,6,1,ProcessingTask,687,1,TRUE,TRUE,P,6,6,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,1,6,2,ProcessingTask,2541,1,TRUE,TRUE,F,6,6,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,1,6,3,ProcessingTask,1570,1,FALSE,FALSE,S,6,6,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,1,6,4,ProcessingTask,1041,1,FALSE,FALSE,T,6,6,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,1,6,5,ProcessingTask,883,1,FALSE,FALSE,L,6,6,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,1,6,6,ProcessingTask,988,1,TRUE,TRUE,Y,6,6,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,1,6,7,Recall,1027,1,P,P,NA,6,6,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,1,6,8,Recall,841,1,F,F,NA,6,6,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,1,6,9,Recall,857,1,S,S,NA,6,6,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,1,6,10,Recall,2484,1,T,T,NA,6,6,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,1,6,11,Recall,637,1,L,L,NA,6,6,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,1,6,12,Recall,605,1,Y,Y,NA,6,6,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,2,3,1,ProcessingTask,639,0,FALSE,TRUE,Q,0,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,2,3,2,ProcessingTask,639,0,TRUE,FALSE,P,0,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,2,3,3,ProcessingTask,1450,0,FALSE,TRUE,T,0,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,2,3,4,Recall,1203,1,Q,Q,NA,0,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,2,3,5,Recall,998,1,P,P,NA,0,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,2,3,6,Recall,761,1,T,T,NA,0,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,1,ProcessingTask,697,1,FALSE,FALSE,Q,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,2,ProcessingTask,1127,1,TRUE,TRUE,H,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,3,ProcessingTask,614,0,FALSE,TRUE,K,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,4,ProcessingTask,810,1,FALSE,FALSE,R,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,5,ProcessingTask,763,1,TRUE,TRUE,Y,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,6,ProcessingTask,722,1,FALSE,FALSE,T,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,7,ProcessingTask,1032,1,FALSE,FALSE,F,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,8,ProcessingTask,1004,1,FALSE,FALSE,L,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,9,Recall,1731,1,Q,Q,NA,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,10,Recall,646,0,P,H,NA,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,11,Recall,4534,0,H,K,NA,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,12,Recall,1706,1,R,R,NA,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,13,Recall,5112,0,T,Y,NA,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,3,8,14,Recall,575,0,Y,T,NA,7,2,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,4,4,1,ProcessingTask,1871,1,FALSE,FALSE,F,3,4,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,4,4,2,ProcessingTask,1555,0,FALSE,TRUE,Q,3,4,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,4,4,3,ProcessingTask,871,1,TRUE,TRUE,K,3,4,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,4,4,4,ProcessingTask,1088,1,TRUE,TRUE,S,3,4,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,4,4,5,Recall,730,1,F,F,NA,3,4,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,4,4,6,Recall,1218,1,Q,Q,NA,3,4,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,4,4,7,Recall,701,1,K,K,NA,3,4,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,4,4,8,Recall,592,1,S,S,NA,3,4,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,5,7,1,ProcessingTask,757,1,FALSE,FALSE,Y,7,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,5,7,2,ProcessingTask,800,1,FALSE,FALSE,S,7,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,5,7,3,ProcessingTask,666,1,TRUE,TRUE,L,7,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,5,7,4,ProcessingTask,872,1,FALSE,FALSE,F,7,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,5,7,5,ProcessingTask,1057,1,FALSE,FALSE,N,7,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,5,7,6,ProcessingTask,293,1,FALSE,FALSE,Q,7,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,5,7,7,ProcessingTask,1078,1,TRUE,TRUE,J,7,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,5,7,8,Recall,794,1,Y,Y,NA,7,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,5,7,9,Recall,824,1,S,S,NA,7,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
14000,1,5,7,10,Recall,605,1,L,L,NA,7,3,30,62,30,32,0.9444444444444444,NA,08-30-2017,09:12:18
