Subject,Trial,Answer,Response,Accuracy,RT,TimeLeft,TotalScore,SessionDate,SessionTime
14000,1,E,E,1,50910,600000,15,08-30-2017,09:27:30
14000,2,G,G,1,13100,548464,15,08-30-2017,09:27:30
14000,3,C,C,1,12488,534828,15,08-30-2017,09:27:30
14000,4,F,F,1,12978,521805,15,08-30-2017,09:27:30
14000,5,H,H,1,15287,508290,15,08-30-2017,09:27:30
14000,6,E,E,1,11552,492469,15,08-30-2017,09:27:30
14000,7,B,B,1,29831,480380,15,08-30-2017,09:27:30
14000,8,B,B,1,18452,450016,15,08-30-2017,09:27:30
14000,9,F,F,1,13895,431036,15,08-30-2017,09:27:30
14000,10,C,C,1,21385,416613,15,08-30-2017,09:27:30
14000,11,H,A,0,36577,394702,15,08-30-2017,09:27:30
14000,12,F,F,1,25341,357593,15,08-30-2017,09:27:30
14000,13,G,B,0,26664,331709,15,08-30-2017,09:27:30
14000,14,G,G,1,39388,304505,15,08-30-2017,09:27:30
14000,15,F,F,1,44703,264571,15,08-30-2017,09:27:30
14000,16,D,D,1,75175,219332,15,08-30-2017,09:27:30
14000,17,E,C,0,78099,143625,15,08-30-2017,09:27:30
14000,18,C,C,1,29403,64984,15,08-30-2017,09:27:30
14001,1,E,E,1,13492,600000,12,08-30-2017,09:29:53
14001,2,G,H,0,11870,585891,12,08-30-2017,09:29:53
14001,3,C,C,1,8322,573496,12,08-30-2017,09:29:53
14001,4,F,F,1,11783,564644,12,08-30-2017,09:29:53
14001,5,H,H,1,10939,552329,12,08-30-2017,09:29:53
14001,6,E,E,1,8535,540853,12,08-30-2017,09:29:53
14001,7,B,B,1,12688,531789,12,08-30-2017,09:29:53
14001,8,B,B,1,11665,518566,12,08-30-2017,09:29:53
14001,9,F,G,0,47141,506371,12,08-30-2017,09:29:53
14001,10,C,C,1,31776,458694,12,08-30-2017,09:29:53
14001,11,H,H,1,49786,426385,12,08-30-2017,09:29:53
14001,12,F,F,1,41821,376067,12,08-30-2017,09:29:53
14001,13,G,G,1,50534,333708,12,08-30-2017,09:29:53
14001,14,G,C,0,61511,282645,12,08-30-2017,09:29:53
14001,15,F,G,0,65107,220586,12,08-30-2017,09:29:53
14001,16,D,D,1,55590,154940,12,08-30-2017,09:29:53
14001,17,E,B,0,84054,98813,12,08-30-2017,09:29:53
14002,1,E,E,1,13594,600000,12,08-30-2017,11:23:44
14002,2,G,G,1,15401,585783,12,08-30-2017,11:23:44
14002,3,C,C,1,12292,569842,12,08-30-2017,11:23:44
14002,4,F,F,1,9759,557006,12,08-30-2017,11:23:44
14002,5,H,H,1,8544,546703,12,08-30-2017,11:23:44
14002,6,E,E,1,7547,537626,12,08-30-2017,11:23:44
14002,7,B,B,1,14016,529535,12,08-30-2017,11:23:44
14002,8,B,B,1,19717,514981,12,08-30-2017,11:23:44
14002,9,F,C,0,17849,494720,12,08-30-2017,11:23:44
14002,10,C,C,1,24045,476340,12,08-30-2017,11:23:44
14002,11,H,A,0,68002,451762,12,08-30-2017,11:23:44
14002,12,F,F,1,35113,383224,12,08-30-2017,11:23:44
14002,13,G,G,1,50706,347569,12,08-30-2017,11:23:44
14002,14,G,G,1,58069,296334,12,08-30-2017,11:23:44
14002,15,F,C,0,96214,237727,12,08-30-2017,11:23:44
14002,16,D,C,0,111187,140971,12,08-30-2017,11:23:44
14003,1,E,E,1,17358,600000,8,08-30-2017,14:18:14
14003,2,G,G,1,12674,582012,8,08-30-2017,14:18:14
14003,3,C,C,1,9129,568802,8,08-30-2017,14:18:14
14003,4,F,B,0,28185,559139,8,08-30-2017,14:18:14
14003,5,H,F,0,40715,530429,8,08-30-2017,14:18:14
14003,6,E,E,1,15965,489177,8,08-30-2017,14:18:14
14003,7,B,B,1,18080,472675,8,08-30-2017,14:18:14
14003,8,B,B,1,28667,454054,8,08-30-2017,14:18:14
14003,9,F,F,1,13039,424850,8,08-30-2017,14:18:14
14003,10,C,C,1,11049,411268,8,08-30-2017,14:18:14
14003,11,H,A,0,12835,399686,8,08-30-2017,14:18:14
14003,12,F,C,0,27650,386317,8,08-30-2017,14:18:14
14003,13,G,H,0,21283,358126,8,08-30-2017,14:18:14
14003,14,G,D,0,13800,336307,8,08-30-2017,14:18:14
14003,15,F,H,0,17351,321979,8,08-30-2017,14:18:14
14003,16,D,C,0,36856,304091,8,08-30-2017,14:18:14
