Subject,Block,Trial,SetSize,SubTrial,SubTrialProc,RT,Accuracy,Response,CorrectResponse,MemoryItem,Processing.total,Recall.total,RotSpan.Absolute,RotSpan.Partial,RotSpan.Partial_Block1,RotSpan.Partial_Block2,RotSpan.RotationACC,RotSpan.RotationDuration,SessionDate,SessionTime
14000,1,1,4,1,ProcessingTask,876,1,TRUE,TRUE,10,4,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,1,4,2,ProcessingTask,563,1,FALSE,FALSE,2,4,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,1,4,3,ProcessingTask,380,1,TRUE,TRUE,4,4,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,1,4,4,ProcessingTask,578,1,TRUE,TRUE,16,4,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,1,4,5,Recall,NA,1,10,10,NA,4,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,1,4,6,Recall,NA,1,2,2,NA,4,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,1,4,7,Recall,NA,0,12,4,NA,4,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,1,4,8,Recall,NA,1,16,16,NA,4,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,2,2,1,ProcessingTask,482,1,FALSE,FALSE,12,2,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,2,2,2,ProcessingTask,771,1,TRUE,TRUE,3,2,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,2,2,3,Recall,NA,1,12,12,NA,2,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,2,2,4,Recall,NA,1,3,3,NA,2,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,3,6,1,ProcessingTask,465,1,FALSE,FALSE,12,6,5,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,3,6,2,ProcessingTask,1138,1,TRUE,TRUE,4,6,5,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,3,6,3,ProcessingTask,1667,1,TRUE,TRUE,7,6,5,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,3,6,4,ProcessingTask,759,1,TRUE,TRUE,1,6,5,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,3,6,5,ProcessingTask,499,1,TRUE,TRUE,10,6,5,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,3,6,6,ProcessingTask,425,1,TRUE,TRUE,2,6,5,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,3,6,7,Recall,NA,1,12,12,NA,6,5,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,3,6,8,Recall,NA,1,4,4,NA,6,5,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,3,6,9,Recall,NA,1,7,7,NA,6,5,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,3,6,10,Recall,NA,1,1,1,NA,6,5,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,3,6,11,Recall,NA,1,10,10,NA,6,5,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,3,6,12,Recall,NA,NA,NA,2,NA,6,5,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,4,5,1,ProcessingTask,1319,1,TRUE,TRUE,13,5,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,4,5,2,ProcessingTask,398,1,TRUE,TRUE,6,5,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,4,5,3,ProcessingTask,562,1,TRUE,TRUE,2,5,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,4,5,4,ProcessingTask,478,1,TRUE,TRUE,9,5,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,4,5,5,ProcessingTask,831,1,FALSE,FALSE,10,5,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,4,5,6,Recall,NA,1,13,13,NA,5,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,4,5,7,Recall,NA,1,6,6,NA,5,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,4,5,8,Recall,NA,0,5,2,NA,5,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,4,5,9,Recall,NA,0,10,9,NA,5,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,4,5,10,Recall,NA,0,9,10,NA,5,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,1,ProcessingTask,1970,1,FALSE,FALSE,11,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,2,ProcessingTask,571,1,FALSE,FALSE,2,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,3,ProcessingTask,996,1,FALSE,FALSE,1,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,4,ProcessingTask,304,1,FALSE,FALSE,10,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,5,ProcessingTask,1316,1,FALSE,FALSE,9,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,6,ProcessingTask,506,1,TRUE,TRUE,12,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,7,ProcessingTask,555,1,TRUE,TRUE,13,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,8,Recall,NA,1,11,11,NA,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,9,Recall,NA,0,5,2,NA,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,10,Recall,NA,0,2,1,NA,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,11,Recall,NA,0,9,10,NA,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,12,Recall,NA,0,12,9,NA,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,13,Recall,NA,0,13,12,NA,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,5,7,14,Recall,NA,NA,NA,13,NA,7,1,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,6,3,1,ProcessingTask,474,1,FALSE,FALSE,4,3,0,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,6,3,2,ProcessingTask,1665,1,TRUE,TRUE,14,3,0,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,6,3,3,ProcessingTask,1679,1,TRUE,TRUE,8,3,0,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,6,3,4,Recall,NA,0,1,4,NA,3,0,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,6,3,5,Recall,NA,0,6,14,NA,3,0,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,1,6,3,6,Recall,NA,0,16,8,NA,3,0,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,1,6,1,ProcessingTask,606,1,TRUE,TRUE,13,6,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,1,6,2,ProcessingTask,1463,1,FALSE,FALSE,8,6,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,1,6,3,ProcessingTask,1558,1,FALSE,FALSE,16,6,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,1,6,4,ProcessingTask,932,1,FALSE,FALSE,2,6,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,1,6,5,ProcessingTask,1370,1,FALSE,FALSE,7,6,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,1,6,6,ProcessingTask,462,1,TRUE,TRUE,9,6,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,1,6,7,Recall,NA,1,13,13,NA,6,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,1,6,8,Recall,NA,1,8,8,NA,6,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,1,6,9,Recall,NA,1,16,16,NA,6,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,1,6,10,Recall,NA,0,3,2,NA,6,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,1,6,11,Recall,NA,0,9,7,NA,6,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,1,6,12,Recall,NA,NA,NA,9,NA,6,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,2,2,1,ProcessingTask,362,1,TRUE,TRUE,2,2,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,2,2,2,ProcessingTask,1078,1,FALSE,FALSE,13,2,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,2,2,3,Recall,NA,1,2,2,NA,2,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,2,2,4,Recall,NA,1,13,13,NA,2,2,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,3,3,1,ProcessingTask,2462,1,FALSE,FALSE,2,3,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,3,3,2,ProcessingTask,1506,1,TRUE,TRUE,6,3,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,3,3,3,ProcessingTask,1236,1,FALSE,FALSE,11,3,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,3,3,4,Recall,NA,1,2,2,NA,3,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,3,3,5,Recall,NA,1,6,6,NA,3,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,3,3,6,Recall,NA,1,11,11,NA,3,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,1,ProcessingTask,1186,1,FALSE,FALSE,4,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,2,ProcessingTask,921,1,FALSE,FALSE,2,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,3,ProcessingTask,1152,1,FALSE,FALSE,9,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,4,ProcessingTask,3239,1,TRUE,TRUE,10,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,5,ProcessingTask,561,1,FALSE,FALSE,12,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,6,ProcessingTask,1240,1,FALSE,FALSE,16,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,7,ProcessingTask,601,1,TRUE,TRUE,13,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,8,Recall,NA,1,4,4,NA,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,9,Recall,NA,1,2,2,NA,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,10,Recall,NA,1,9,9,NA,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,11,Recall,NA,0,12,10,NA,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,12,Recall,NA,0,16,12,NA,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,13,Recall,NA,NA,NA,16,NA,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,4,7,14,Recall,NA,NA,NA,13,NA,7,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,5,5,1,ProcessingTask,2498,1,TRUE,TRUE,15,5,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,5,5,2,ProcessingTask,591,1,FALSE,FALSE,6,5,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,5,5,3,ProcessingTask,515,1,TRUE,TRUE,2,5,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,5,5,4,ProcessingTask,1468,1,TRUE,TRUE,9,5,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,5,5,5,ProcessingTask,4218,1,TRUE,TRUE,13,5,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,5,5,6,Recall,NA,0,7,15,NA,5,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,5,5,7,Recall,NA,1,6,6,NA,5,3,18,30,13,17,1,NA,09-17-2017,10:58:50
14000,2,5,5,8,Recall,NA,1,2,2,NA,5,3,18,30,13,17,1,NA,09-17-2017,10:58:50
