Subject,TrialProc,Trial,WaitTime,RT,Accuracy,Response,Probe1Resp,Probe2Resp,Probe3Resp,AdminTime,SessionDate,SessionTime
14000,practice,1,2000,1871,0,R,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,practice,2,8000,1330,0,D,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,practice,3,4000,720,1,R,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,practice,4,12000,963,1,B,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,practice,5,2000,648,1,D,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,1,4000,1213,0,B,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,2,2000,678,1,R,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,3,2000,1798,0,P,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,4,8000,966,1,D,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,5,12000,1372,1,R,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,6,2000,1428,0,B,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,probe,7,8000,NA,NA,NA,OnTask,3,3,22.795683333333333,09-24-2017,14:04:53
14000,real,8,8000,726,1,R,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,9,4000,807,0,B,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,10,2000,2754,0,P,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,11,8000,829,1,B,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,probe,12,4000,NA,NA,NA,TRI,3,2,22.795683333333333,09-24-2017,14:04:53
14000,real,13,12000,737,1,R,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,14,4000,395,1,D,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,15,4000,990,1,B,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,16,8000,814,1,R,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,17,8000,949,1,R,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,probe,18,12000,NA,NA,NA,OnTask,3,2,22.795683333333333,09-24-2017,14:04:53
14000,real,19,4000,805,0,R,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,20,12000,630,1,B,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,21,4000,866,0,P,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,real,22,8000,1586,1,B,NA,NA,NA,22.795683333333333,09-24-2017,14:04:53
14000,probe,23,2000,NA,NA,NA,TRI,2,2,22.795683333333333,09-24-2017,14:04:53
