Subject,TrialProc,Trial,Condition,RT,Accuracy,Response,Word,Hue,AdminTime,SessionDate,SessionTime
14000,practice,NA,NA,NA,NA,NA,NA,NA,4.267133333333334,10-05-2017,08:49:17
14000,practice,NA,NA,NA,NA,NA,NA,NA,4.267133333333334,10-05-2017,08:49:17
14000,practice,NA,NA,NA,NA,NA,NA,NA,4.267133333333334,10-05-2017,08:49:17
14000,practice,NA,NA,NA,NA,NA,NA,NA,4.267133333333334,10-05-2017,08:49:17
14000,practice,NA,NA,NA,NA,NA,NA,NA,4.267133333333334,10-05-2017,08:49:17
14000,practice,NA,NA,NA,NA,NA,NA,NA,4.267133333333334,10-05-2017,08:49:17
14000,practice,NA,NA,NA,NA,NA,NA,NA,4.267133333333334,10-05-2017,08:49:17
14000,practice,NA,NA,NA,NA,NA,NA,NA,4.267133333333334,10-05-2017,08:49:17
14000,practice,1,congruent,1061,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,practice,2,incongruent,707,1,GREEN,BLUE,green,4.267133333333334,10-05-2017,08:49:17
14000,practice,3,congruent,649,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,practice,4,congruent,708,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,practice,5,congruent,537,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,practice,6,incongruent,844,0,GREEN,GREEN,red,4.267133333333334,10-05-2017,08:49:17
14000,practice,7,incongruent,1309,1,GREEN,RED,green,4.267133333333334,10-05-2017,08:49:17
14000,practice,8,congruent,539,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,practice,9,congruent,543,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,practice,10,congruent,546,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,practice,11,congruent,473,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,practice,12,incongruent,736,1,BLUE,RED,blue,4.267133333333334,10-05-2017,08:49:17
14000,practice,13,incongruent,874,1,BLUE,GREEN,blue,4.267133333333334,10-05-2017,08:49:17
14000,practice,14,congruent,544,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,practice,15,congruent,489,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,practice,16,congruent,577,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,practice,17,congruent,652,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,practice,18,incongruent,1016,1,RED,BLUE,red,4.267133333333334,10-05-2017,08:49:17
14000,practice,19,congruent,426,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,practice,20,incongruent,491,1,GREEN,BLUE,green,4.267133333333334,10-05-2017,08:49:17
14000,practice,21,congruent,569,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,practice,22,congruent,369,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,practice,23,congruent,405,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,practice,24,incongruent,783,1,RED,GREEN,red,4.267133333333334,10-05-2017,08:49:17
14000,real,1,incongruent,890,1,BLUE,RED,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,2,congruent,405,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,3,congruent,417,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,4,congruent,851,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,5,congruent,438,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,6,congruent,572,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,7,congruent,781,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,8,congruent,698,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,9,congruent,469,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,10,incongruent,758,1,BLUE,GREEN,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,11,congruent,457,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,12,congruent,703,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,13,incongruent,636,1,GREEN,BLUE,green,4.267133333333334,10-05-2017,08:49:17
14000,real,14,congruent,482,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,15,congruent,648,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,16,incongruent,459,1,BLUE,RED,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,17,incongruent,590,1,GREEN,RED,green,4.267133333333334,10-05-2017,08:49:17
14000,real,18,incongruent,409,1,RED,BLUE,red,4.267133333333334,10-05-2017,08:49:17
14000,real,19,congruent,460,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,20,incongruent,580,1,GREEN,BLUE,green,4.267133333333334,10-05-2017,08:49:17
14000,real,21,congruent,626,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,22,congruent,424,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,23,congruent,533,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,24,incongruent,664,1,RED,GREEN,red,4.267133333333334,10-05-2017,08:49:17
14000,real,25,congruent,361,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,26,congruent,679,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,27,congruent,412,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,28,incongruent,421,1,GREEN,RED,green,4.267133333333334,10-05-2017,08:49:17
14000,real,29,congruent,400,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,30,incongruent,424,1,BLUE,GREEN,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,31,incongruent,376,1,RED,BLUE,red,4.267133333333334,10-05-2017,08:49:17
14000,real,32,congruent,553,0,BLUE,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,33,congruent,585,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,34,congruent,346,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,35,congruent,586,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,36,incongruent,746,1,RED,GREEN,red,4.267133333333334,10-05-2017,08:49:17
14000,real,37,congruent,876,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,38,congruent,514,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,39,congruent,724,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,40,incongruent,423,1,RED,BLUE,red,4.267133333333334,10-05-2017,08:49:17
14000,real,41,incongruent,746,1,GREEN,BLUE,green,4.267133333333334,10-05-2017,08:49:17
14000,real,42,incongruent,918,0,RED,GREEN,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,43,congruent,657,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,44,congruent,409,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,45,incongruent,1001,1,BLUE,GREEN,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,46,congruent,538,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,47,incongruent,1298,1,BLUE,RED,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,48,congruent,467,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,49,congruent,862,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,50,congruent,761,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,51,incongruent,378,1,RED,GREEN,red,4.267133333333334,10-05-2017,08:49:17
14000,real,52,congruent,450,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,53,incongruent,419,1,RED,BLUE,red,4.267133333333334,10-05-2017,08:49:17
14000,real,54,congruent,819,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,55,congruent,848,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,56,congruent,561,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,57,congruent,852,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,58,incongruent,770,1,BLUE,RED,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,59,incongruent,755,1,GREEN,BLUE,green,4.267133333333334,10-05-2017,08:49:17
14000,real,60,congruent,691,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,61,congruent,582,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,62,congruent,684,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,63,congruent,511,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,64,congruent,434,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,65,congruent,749,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,66,incongruent,667,1,GREEN,RED,green,4.267133333333334,10-05-2017,08:49:17
14000,real,67,congruent,427,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,68,incongruent,473,1,GREEN,RED,green,4.267133333333334,10-05-2017,08:49:17
14000,real,69,congruent,422,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,70,congruent,348,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,71,congruent,471,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,72,incongruent,1048,1,RED,GREEN,red,4.267133333333334,10-05-2017,08:49:17
14000,real,73,incongruent,822,1,RED,BLUE,red,4.267133333333334,10-05-2017,08:49:17
14000,real,74,congruent,473,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,75,congruent,679,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,76,congruent,448,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,77,congruent,392,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,78,congruent,446,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,79,incongruent,660,1,GREEN,BLUE,green,4.267133333333334,10-05-2017,08:49:17
14000,real,80,congruent,564,1,BLUE,BLUE,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,81,congruent,570,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,82,incongruent,1055,1,GREEN,BLUE,green,4.267133333333334,10-05-2017,08:49:17
14000,real,83,incongruent,517,1,RED,GREEN,red,4.267133333333334,10-05-2017,08:49:17
14000,real,84,incongruent,706,1,GREEN,RED,green,4.267133333333334,10-05-2017,08:49:17
14000,real,85,congruent,470,1,GREEN,GREEN,green,4.267133333333334,10-05-2017,08:49:17
14000,real,86,incongruent,360,1,BLUE,GREEN,blue,4.267133333333334,10-05-2017,08:49:17
14000,real,87,congruent,452,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
14000,real,88,congruent,450,1,RED,RED,red,4.267133333333334,10-05-2017,08:49:17
