Subject,TrialProc,Trial,SetSize,Response,Accuracy,CorrectResponse,CorrectRejection,FalseAlarm,Miss,Hit,AdminTime,SessionDate,SessionTime
14000,practice,1,5,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,practice,2,7,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,practice,3,7,same,0,different,0,0,1,0,9.399183333333333,09-24-2017,13:16:51
14000,practice,4,5,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,practice,5,5,same,0,different,0,0,1,0,9.399183333333333,09-24-2017,13:16:51
14000,practice,6,7,same,0,different,0,0,1,0,9.399183333333333,09-24-2017,13:16:51
14000,real,1,7,same,0,different,0,0,1,0,9.399183333333333,09-24-2017,13:16:51
14000,real,2,5,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,3,7,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,4,5,different,0,same,0,1,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,5,7,same,0,different,0,0,1,0,9.399183333333333,09-24-2017,13:16:51
14000,real,6,7,different,1,different,0,0,0,1,9.399183333333333,09-24-2017,13:16:51
14000,real,7,7,different,1,different,0,0,0,1,9.399183333333333,09-24-2017,13:16:51
14000,real,8,5,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,9,5,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,10,7,same,0,different,0,0,1,0,9.399183333333333,09-24-2017,13:16:51
14000,real,11,7,different,0,same,0,1,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,12,5,same,0,different,0,0,1,0,9.399183333333333,09-24-2017,13:16:51
14000,real,13,5,same,0,different,0,0,1,0,9.399183333333333,09-24-2017,13:16:51
14000,real,14,7,same,0,different,0,0,1,0,9.399183333333333,09-24-2017,13:16:51
14000,real,15,7,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,16,5,different,0,same,0,1,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,17,5,different,0,same,0,1,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,18,5,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,19,5,same,0,different,0,0,1,0,9.399183333333333,09-24-2017,13:16:51
14000,real,20,7,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,21,7,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,22,5,different,1,different,0,0,0,1,9.399183333333333,09-24-2017,13:16:51
14000,real,23,5,different,0,same,0,1,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,24,7,same,0,different,0,0,1,0,9.399183333333333,09-24-2017,13:16:51
14000,real,25,5,different,1,different,0,0,0,1,9.399183333333333,09-24-2017,13:16:51
14000,real,26,7,same,0,different,0,0,1,0,9.399183333333333,09-24-2017,13:16:51
14000,real,27,7,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,28,7,different,1,different,0,0,0,1,9.399183333333333,09-24-2017,13:16:51
14000,real,29,7,different,1,different,0,0,0,1,9.399183333333333,09-24-2017,13:16:51
14000,real,30,7,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,31,7,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
14000,real,32,7,different,1,different,0,0,0,1,9.399183333333333,09-24-2017,13:16:51
14000,real,33,7,same,1,same,1,0,0,0,9.399183333333333,09-24-2017,13:16:51
