sub ses blk trl soa cond acc rt
10 1 1 1 0.3 2 1 0.4316
10 1 1 2 0.3 0 1 0.39841
10 1 1 3 0.4 2 1 0.38182
10 1 1 4 0.3 0 1 0.41502
10 1 1 5 0.5 0 1 0.29885
10 1 1 6 0.5 2 1 0.29885
10 1 1 7 0.6 0 1 0.23247
10 1 1 8 0.3 2 1 0.4316
10 1 1 9 0.5 0 1 0.29885
10 1 1 10 0.6 0 1 0.26564
10 1 1 11 0.4 0 1 0.28225
10 1 1 12 0.6 0 1 0.29886
10 1 1 13 0.5 0 1 0.31545
10 1 1 14 0.3 0 1 0.31545
10 1 1 15 0.3 0 1 0.28225
10 1 1 16 0.6 0 0 NA
10 1 1 17 0.6 0 1 0.28201
10 1 1 18 0.5 0 1 0.26589
10 1 1 19 0.6 0 1 0.29885
10 1 1 20 0.6 2 1 0.41507
10 1 1 21 0.5 0 1 0.26567
10 1 1 22 0.3 2 1 0.48118
10 1 1 23 0.6 0 1 0.34869
10 1 1 24 0.3 0 1 0.43161
10 1 1 25 0.4 0 1 0.36522
10 1 1 26 0.4 0 1 0.31546
10 1 1 27 0.6 0 1 0.24908
10 1 1 28 0.4 0 1 0.34863
10 1 1 29 0.6 0 1 0.2823
10 1 1 30 0.4 0 1 0.28232
10 1 1 31 0.4 0 1 0.31544
10 1 1 32 0.6 0 1 0.1993
10 1 1 33 0.5 0 1 0.24908
10 1 1 34 0.6 0 1 0.38182
10 1 1 35 0.6 0 1 0.24909
10 1 1 36 0.3 0 1 0.34863
10 1 1 37 0.6 2 1 0.29891
10 1 1 38 0.6 0 1 0.24887
10 1 1 39 0.5 0 1 0.23247
10 1 1 40 0.6 0 1 0.23248
10 1 1 41 0.4 0 1 0.332
10 1 1 42 0.3 0 1 0.24908
10 1 1 43 0.5 0 1 0.066577
10 1 1 44 0.3 0 1 0.28227
10 1 1 45 0.5 0 1 0.28226
10 1 1 46 0.3 2 1 0.44818
10 1 1 47 0.5 0 1 0.23248
10 1 1 48 0.6 2 1 0.33205
10 1 1 49 0.6 2 1 0.36523
10 1 1 50 0.5 0 1 0.36523
10 1 1 51 0.3 0 1 0.31545
10 1 1 52 0.5 0 1 0.31544
10 1 1 53 0.3 2 1 0.36517
10 1 1 54 0.4 0 1 0.34863
10 1 1 55 0.6 0 1 0.29885
10 1 1 56 0.3 0 1 0.23248
10 1 1 57 0.3 0 1 0.31536
10 1 1 58 0.5 0 1 0.24908
10 1 1 59 0.4 2 1 0.3984
10 1 1 60 0.6 0 1 0.14923
10 1 1 61 0.4 0 1 0.2493
10 1 1 62 0.3 0 1 0.29885
10 1 1 63 0.3 2 1 0.3652
10 1 1 64 0.5 0 1 0.13292
10 1 1 65 0.6 0 1 0.29865
10 1 1 66 0.4 0 1 0.29877
